%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
56.37,G. LATCHANNA,SRIKAKULAM,1,SWA,M,Andhra Pradesh,189771,349154,336648,490667,71.16
38.44,B. RAJAGOPALRAO,SRIKAKULAM,2,INC,M,Andhra Pradesh,129413,349154,336648,490667,71.16
5.19,K.S. RAO,SRIKAKULAM,3,IND,M,Andhra Pradesh,17464,349154,336648,490667,71.16
56.21,V.N. RAO,PARVATHIPURAM (ST),1,SWA,M,Andhra Pradesh,161009,307954,286438,500375,61.54
43.79,B. SATYANARAYANA,PARVATHIPURAM (ST),2,INC,M,Andhra Pradesh,125429,307954,286438,500375,61.54
44.29,K.N. RAO,BOBBILI,1,INC,M,Andhra Pradesh,146553,350963,330872,485448,72.3
21.57,S. SUBBINAIDU,BOBBILI,2,IND,M,Andhra Pradesh,71356,350963,330872,485448,72.3
17.27,C.S. RAO,BOBBILI,3,IND,M,Andhra Pradesh,57128,350963,330872,485448,72.3
16.88,A.A. RAO,BOBBILI,4,IND,M,Andhra Pradesh,55835,350963,330872,485448,72.3
42.04,T. VISWANATHAM,VISAKHAPATNAM,1,IND,M,Andhra Pradesh,136766,340717,325335,523617,65.07
31.57,P. VENKATRAO,VISAKHAPATNAM,2,INC,M,Andhra Pradesh,102693,340717,325335,523617,65.07
14.8,G.B. APPARAO,VISAKHAPATNAM,3,SWA,M,Andhra Pradesh,48152,340717,325335,523617,65.07
5.83,N. SOMAYAJULU,VISAKHAPATNAM,4,IND,M,Andhra Pradesh,18963,340717,325335,523617,65.07
5.77,B.V.S. NAIDU,VISAKHAPATNAM,5,IND,M,Andhra Pradesh,18761,340717,325335,523617,65.07
51.96,B.K. RADHABAI,BHADRACHALAM (ST),1,INC,F,Andhra Pradesh,121630,246715,234098,465192,53.04
23.24,K.P. SANTHARAJU,BHADRACHALAM (ST),2,CPM,M,Andhra Pradesh,54395,246715,234098,465192,53.04
13.85,C. TAMMAIH,BHADRACHALAM (ST),3,CPI,M,Andhra Pradesh,32424,246715,234098,465192,53.04
8.22,S.S. KUMAR,BHADRACHALAM (ST),4,IND,M,Andhra Pradesh,19244,246715,234098,465192,53.04
2.74,T.G.S.S. RAO,BHADRACHALAM (ST),5,IND,M,Andhra Pradesh,6405,246715,234098,465192,53.04
45.25,M. SURYANARAYANAMURTHY,ANAKAPALLI,1,INC,M,Andhra Pradesh,165121,379471,364889,533479,71.13
44.42,V.V. RAMANA,ANAKAPALLI,2,SWA,M,Andhra Pradesh,162097,379471,364889,533479,71.13
10.32,K.S. RAO,ANAKAPALLI,3,IND,M,Andhra Pradesh,37671,379471,364889,533479,71.13
44.35,T.R. MOSALIGANTI,KAKINADA,1,INC,M,Andhra Pradesh,168647,393678,380303,532127,73.98
36.46,P.S. SARMA,KAKINADA,2,CPI,M,Andhra Pradesh,138647,393678,380303,532127,73.98
19.2,P. CHINTA,KAKINADA,3,IND,M,Andhra Pradesh,73009,393678,380303,532127,73.98
57.32,D.S. RAJU,RAJAHMUNDRY,1,INC,M,Andhra Pradesh,227154,410324,396308,530740,77.31
