%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
23.28,N.R. MOTHA,RAJAHMUNDRY,2,IND,M,Andhra Pradesh,92241,410324,396308,530740,77.31
8.99,V.S. VELURI,RAJAHMUNDRY,3,IND,M,Andhra Pradesh,35611,410324,396308,530740,77.31
5.82,B.S. MURTY,RAJAHMUNDRY,4,PSP,M,Andhra Pradesh,23046,410324,396308,530740,77.31
4.61,B. SREERAMAMURTHY,RAJAHMUNDRY,5,IND,M,Andhra Pradesh,18256,410324,396308,530740,77.31
41.26,S. BAYYA,AMALAPURAM (SC),1,INC,M,Andhra Pradesh,141722,358480,343508,518486,69.14
22.84,D. EDA,AMALAPURAM (SC),2,CPI,M,Andhra Pradesh,78456,358480,343508,518486,69.14
20.62,M.R. KANETI,AMALAPURAM (SC),3,CPM,M,Andhra Pradesh,70842,358480,343508,518486,69.14
15.28,V. BATHULA,AMALAPURAM (SC),4,RPI,M,Andhra Pradesh,52488,358480,343508,518486,69.14
44.55,D. BALARAMARAJAU,NARASAPUR,1,INC,M,Andhra Pradesh,185274,427350,415896,544802,78.44
35.76,U. RAMAN,NARASAPUR,2,CPM,M,Andhra Pradesh,148721,427350,415896,544802,78.44
15.85,K. S. RAJU,NARASAPUR,3,CPI,M,Andhra Pradesh,65933,427350,415896,544802,78.44
3.84,G. A. KUMAR,NARASAPUR,4,RPI,M,Andhra Pradesh,15968,427350,415896,544802,78.44
41.83,K. SURYANARAYAN,ELURU,1,INC,M,Andhra Pradesh,163360,404043,390577,508275,79.49
41.33,V. VIMALUDEVI,ELURU,2,CPI,F,Andhra Pradesh,161407,404043,390577,508275,79.49
10.6,V. DAYANANDAN,ELURU,3,IND,M,Andhra Pradesh,41393,404043,390577,508275,79.49
6.25,D. SUBBAYYA,ELURU,4,IND,M,Andhra Pradesh,24417,404043,390577,508275,79.49
35.41,M. ANKINEEDU,GUDIVADA,1,INC,M,Andhra Pradesh,139238,409419,393197,513970,79.66
25.19,Y. NAGABHUSHANAM,GUDIVADA,2,CPM,M,Andhra Pradesh,99040,409419,393197,513970,79.66
23.42,H.R.S. RAO,GUDIVADA,3,SWA,M,Andhra Pradesh,92097,409419,393197,513970,79.66
8.83,J.S. SASTRY,GUDIVADA,4,CPI,M,Andhra Pradesh,34717,409419,393197,513970,79.66
7.15,B. JAGAPATHIRAO,GUDIVADA,5,IND,M,Andhra Pradesh,28105,409419,393197,513970,79.66
0.0,K.L. RAO,VIJAYAWADA,1,INC,M,Andhra Pradesh,0,0,0,522116,0.0
52.06,Y.A. ARASAD,MACHILIPATNAM,1,INC,M,Andhra Pradesh,199885,396723,383978,505282,78.52
31.85,M.H. RAO,MACHILIPATNAM,2,CPM,M,Andhra Pradesh,122293,396723,383978,505282,78.52
12.33,B.S. KRISHNA,MACHILIPATNAM,3,CPI,M,Andhra Pradesh,47336,396723,383978,505282,78.52
2.67,T.D. RAO,MACHILIPATNAM,4,IND,M,Andhra Pradesh,10258,396723,383978,505282,78.52
1.1,L. SATYAM,MACHILIPATNAM,5,IND,M,Andhra Pradesh,4206,396723,383978,505282,78.52
53.93,K. JAGGAIAH,ONGOLE,1,INC,M,Andhra Pradesh,212071,407047,393257,538338,75.61
33.47,M. NARAYANASWAMY,ONGOLE,2,CPM,M,Andhra Pradesh,131613,407047,393257,538338,75.61
10.36,J.L. CHOWDARY,ONGOLE,3,CPI,M,Andhra Pradesh,40723,407047,393257,538338,75.61
2.25,M.V. RAMAMURTHY,ONGOLE,4,IND,M,Andhra Pradesh,8850,407047,393257,538338,75.61
59.29,K. RAGHURAMAIAH,GUNTUR,1,INC,M,Andhra Pradesh,237225,413981,400113,564418,73.35
30.04,N.V. LAXMINARASIMHARAO,GUNTUR,2,IND,M,Andhra Pradesh,120193,413981,400113,564418,73.35
7.46,I. GOVINDARAO,GUNTUR,3,IND,M,Andhra Pradesh,29835,413981,400113,564418,73.35
3.21,C.V. SATYANARAYANA,GUNTUR,4,IND,M,Andhra Pradesh,12860,413981,400113,564418,73.35
46.6,M. SUDARSANAM,NARASARAOPET,1,INC,M,Andhra Pradesh,185963,417272,399094,584076,71.44
30.45,T.K. CHOWDARY,NARASARAOPET,2,SWA,M,Andhra Pradesh,121532,417272,399094,584076,71.44
22.95,P. BRAHMANANDAM,NARASARAOPET,3,CPI,M,Andhra Pradesh,91599,417272,399094,584076,71.44
53.85,R.D. REDDY,KAVALI,1,INC,M,Andhra Pradesh,208098,402038,386472,567859,70.8
41.39,D.K. CHOUDARY,KAVALI,2,SWA,M,Andhra Pradesh,159944,402038,386472,567859,70.8
4.77,R.M. KHAN,KAVALI,3,IND,M,Andhra Pradesh,18430,402038,386472,567859,70.8
32.96,B. ANJANAPPA,NELLORE (SC),1,INC,M,Andhra Pradesh,130981,414702,397413,562683,73.7
28.69,E.V. CHINNAIAH,NELLORE (SC),2,IND,M,Andhra Pradesh,113998,414702,397413,562683,73.7
18.17,T. RAYAPPA,NELLORE (SC),3,CPI,M,Andhra Pradesh,72223,414702,397413,562683,73.7
16.12,M. RAMAKRISHNAIAH,NELLORE (SC),4,SWA,M,Andhra Pradesh,64067,414702,397413,562683,73.7
4.06,U. YARRAIAH,NELLORE (SC),5,IND,M,Andhra Pradesh,16144,414702,397413,562683,73.7
38.56,C. DASS,TIRUPATHI (SC),1,INC,M,Andhra Pradesh,146238,392936,379285,542125,72.48
36.77,C.V.S. MOORTHY,TIRUPATHI (SC),2,SWA,M,Andhra Pradesh,139469,392936,379285,542125,72.48
15.81,C. VENKATIAH,TIRUPATHI (SC),3,IND,M,Andhra Pradesh,59952,392936,379285,542125,72.48
7.01,M.G. VENKATAPPA,TIRUPATHI (SC),4,IND,M,Andhra Pradesh,26587,392936,379285,542125,72.48
1.08,M. KRISHNAMORTHY,TIRUPATHI (SC),5,IND,M,Andhra Pradesh,4107,392936,379285,542125,72.48
0.77,M. VENKATIAH,TIRUPATHI (SC),6,IND,M,Andhra Pradesh,2932,392936,379285,542125,72.48
54.0,N.P.C. NAIDU,CHITTOOR,1,INC,M,Andhra Pradesh,186594,355499,345525,518637,68.54
46.0,N.G. RANGA,CHITTOOR,2,SWA,M,Andhra Pradesh,158931,355499,345525,518637,68.54
52.62,P. PARTHASARATHY,RAJAMPET,1,INC,M,Andhra Pradesh,189874,374210,360841,518951,72.11
34.18,C.L.N. REDDY,RAJAMPET,2,SWA,M,Andhra Pradesh,123325,374210,360841,518951,72.11
8.25,S. SUBBANNA,RAJAMPET,3,IND,M,Andhra Pradesh,29753,374210,360841,518951,72.11
4.96,S.S. PEER,RAJAMPET,4,IND,M,Andhra Pradesh,17889,374210,360841,518951,72.11
49.25,Y.E. REDDY,CUDDAPAH,1,CPI,M,Andhra Pradesh,191736,402943,389302,527110,76.44
39.56,K. RAMASUBBAMMA,CUDDAPAH,2,INC,M,Andhra Pradesh,154017,402943,389302,527110,76.44
11.19,P. RAMIREDDY,CUDDAPAH,3,IND,M,Andhra Pradesh,43549,402943,389302,527110,76.44
47.13,S. R. NEELAM,HINDUPUR,1,INC,M,Andhra Pradesh,144438,320531,306444,496405,64.57
33.35,K. V. S. REEDY,HINDUPUR,2,SWA,M,Andhra Pradesh,102202,320531,306444,496405,64.57
14.13,K. ERUKALAPPA,HINDUPUR,3,IND,M,Andhra Pradesh,43309,320531,306444,496405,64.57
5.38,G. N. S. RAO,HINDUPUR,4,IND,M,Andhra Pradesh,16495,320531,306444,496405,64.57
40.59,P. A. REDDY,ANANTAPUR,1,INC,M,Andhra Pradesh,135685,350828,334266,503317,69.7
21.86,I. SADASIVAN,ANANTAPUR,2,CPI,M,Andhra Pradesh,73071,350828,334266,503317,69.7
19.61,P. H. K. REDDY,ANANTAPUR,3,CPM,M,Andhra Pradesh,65565,350828,334266,503317,69.7
17.93,L. VEDANTHAM,ANANTAPUR,4,IND,M,Andhra Pradesh,59945,350828,334266,503317,69.7
48.82,Y. G. LINGANAGOWDA,KURNOOL,1,SWA,M,Andhra Pradesh,160080,340816,327922,510823,66.72
45.53,D. SANJEEVAYYA,KURNOOL,2,INC,M,Andhra Pradesh,149297,340816,327922,510823,66.72
4.54,S. B. SESHAIAH,KURNOOL,3,IND,M,Andhra Pradesh,14875,340816,327922,510823,66.72
1.12,A. HAMEED,KURNOOL,4,IND,M,Andhra Pradesh,3670,340816,327922,510823,66.72
66.22,P. V.SUBBAIAH,NANDYAL,1,INC,M,Andhra Pradesh,262256,409857,396034,536794,76.35
23.59,S. REDDY,NANDYAL,2,CPI,M,Andhra Pradesh,93431,409857,396034,536794,76.35
10.19,Y.YALLURI,NANDYAL,3,SWA,M,Andhra Pradesh,40347,409857,396034,536794,76.35
47.42,J. B. M. RAO,NAGARKURNOOL (SC),1,INC,M,Andhra Pradesh,129636,283912,273395,488772,58.09
32.91,Y. DANAYYA,NAGARKURNOOL (SC),2,IND,M,Andhra Pradesh,89977,283912,273395,488772,58.09
10.5,M. SINGOTAM,NAGARKURNOOL (SC),3,CPI,M,Andhra Pradesh,28708,283912,273395,488772,58.09
9.17,P. RADHAKRISHNA,NAGARKURNOOL (SC),4,IND,M,Andhra Pradesh,25074,283912,273395,488772,58.09
58.92,J. R. RAO,MAHBUBNAGAR,1,INC,M,Andhra Pradesh,177320,311485,300928,528864,58.9
29.08,M. KISTAYYA,MAHBUBNAGAR,2,IND,M,Andhra Pradesh,87503,311485,300928,528864,58.9
8.96,B. P. PARSA,MAHBUBNAGAR,3,SWA,M,Andhra Pradesh,26977,311485,300928,528864,58.9
3.03,K. V. REDDY,MAHBUBNAGAR,4,IND,M,Andhra Pradesh,9128,311485,300928,528864,58.9
45.23,G. S. MELKOTE,HYDERABAD,1,INC,M,Andhra Pradesh,115709,264510,255801,458524,57.69
27.41,V. R. RAO,HYDERABAD,2,IND,M,Andhra Pradesh,70124,264510,255801,458524,57.69
27.35,A. HUSSAIN,HYDERABAD,3,IND,M,Andhra Pradesh,69968,264510,255801,458524,57.69
50.83,B. A. MIRZA,SECUNDERABAD,1,INC,M,Andhra Pradesh,119346,241660,234774,466291,51.83
15.68,A. LAKSHMINARAYANA,SECUNDERABAD,2,IND,M,Andhra Pradesh,36814,241660,234774,466291,51.83
10.22,S. B. GIRI,SECUNDERABAD,3,IND,M,Andhra Pradesh,23990,241660,234774,466291,51.83
8.73,T. ANJIAH,SECUNDERABAD,4,IND,M,Andhra Pradesh,20496,241660,234774,466291,51.83
7.54,O. B. SALEH,SECUNDERABAD,5,IND,M,Andhra Pradesh,17697,241660,234774,466291,51.83
7.0,S. S. LASHKARI,SECUNDERABAD,6,SSP,M,Andhra Pradesh,16431,241660,234774,466291,51.83
52.05,G. VENKATSWAMY,SIDDIPET (SC),1,INC,M,Andhra Pradesh,161273,322462,309833,489114,65.93
20.48,A. R. DEVRAJ,SIDDIPET (SC),2,CPI,M,Andhra Pradesh,63443,322462,309833,489114,65.93
19.19,LAXMIDASS,SIDDIPET (SC),3,CPM,M,Andhra Pradesh,59448,322462,309833,489114,65.93
5.0,M. SAILU,SIDDIPET (SC),4,SWA,M,Andhra Pradesh,15507,322462,309833,489114,65.93
3.28,I. RAMCHANDER,SIDDIPET (SC),5,IND,M,Andhra Pradesh,10162,322462,309833,489114,65.93
45.12,S. L. BAI,MEDAK,1,INC,F,Andhra Pradesh,127917,296187,283505,498348,59.43
15.26,K. RAMIAH,MEDAK,2,IND,M,Andhra Pradesh,43252,296187,283505,498348,59.43
15.16,J. SHANKERIAH,MEDAK,3,IND,M,Andhra Pradesh,42985,296187,283505,498348,59.43
10.98,C. P. LINGAM,MEDAK,4,SWA,M,Andhra Pradesh,31124,296187,283505,498348,59.43
6.71,R. R. VAIDYA,MEDAK,5,IND,M,Andhra Pradesh,19016,296187,283505,498348,59.43
5.24,M. J. REDDY,MEDAK,6,SSP,M,Andhra Pradesh,14843,296187,283505,498348,59.43
1.54,M. V. CHOUDARY,MEDAK,7,IND,M,Andhra Pradesh,4368,296187,283505,498348,59.43
53.43,M.N. REDDY,NIZAMABAD,1,IND,M,Andhra Pradesh,149632,292527,280051,507608,57.63
28.35,H.C. HEDA,NIZAMABAD,2,INC,M,Andhra Pradesh,79387,292527,280051,507608,57.63
14.79,B.L. GANGARAM,NIZAMABAD,3,IND,M,Andhra Pradesh,41424,292527,280051,507608,57.63
3.43,P.P. SHANKAR,NIZAMABAD,4,IND,M,Andhra Pradesh,9608,292527,280051,507608,57.63
59.52,P.G. REDDY,ADILABAD,1,INC,M,Andhra Pradesh,160494,284595,269666,465742,61.11
31.98,D.S. RAO,ADILABAD,2,CPI,M,Andhra Pradesh,86244,284595,269666,465742,61.11
8.5,D. RAO,ADILABAD,3,IND,M,Andhra Pradesh,22928,284595,269666,465742,61.11
51.66,M.R. KRISHNA,PEDDAPALLI (SC),1,INC,M,Andhra Pradesh,155550,312320,301122,497627,62.76
27.68,PALANIVELU,PEDDAPALLI (SC),2,IND,M,Andhra Pradesh,83355,312320,301122,497627,62.76
12.15,B.R. GANESH,PEDDAPALLI (SC),3,IND,M,Andhra Pradesh,36595,312320,301122,497627,62.76
8.51,ELAIAH,PEDDAPALLI (SC),4,SSP,M,Andhra Pradesh,25622,312320,301122,497627,62.76
32.14,J. R. RAO,KARIMNAGAR,1,INC,M,Andhra Pradesh,87933,287041,273552,513265,55.92
31.35,V. ISWARAIAH,KARIMNAGAR,2,IND,M,Andhra Pradesh,85757,287041,273552,513265,55.92
21.09,J. A. RAO,KARIMNAGAR,3,CPI,M,Andhra Pradesh,57681,287041,273552,513265,55.92
8.83,A. L. SHUKLA,KARIMNAGAR,4,IND,M,Andhra Pradesh,24165,287041,273552,513265,55.92
6.59,A. B. FARUQUI,KARIMNAGAR,5,IND,M,Andhra Pradesh,18016,287041,273552,513265,55.92
42.67,R. S. REDDY.,WARANGAL,1,INC,M,Andhra Pradesh,146715,361830,343863,522827,69.21
22.33,L. S. RAJU,WARANGAL,2,BJS,M,Andhra Pradesh,76770,361830,343863,522827,69.21
18.01,R. Y. RAO,WARANGAL,3,IND,M,Andhra Pradesh,61937,361830,343863,522827,69.21
17.0,P. N. BALASUBRAMANIAN,WARANGAL,4,SWA,M,Andhra Pradesh,58441,361830,343863,522827,69.21
53.12,T. LAKSHMIKANTAMMA,KHAMMAM,1,INC,F,Andhra Pradesh,200534,392684,377538,497926,78.86
23.63,M. K. RAO,KHAMMAM,2,CPM,M,Andhra Pradesh,89206,392684,377538,497926,78.86
17.76,R. JANAKIRAMAYYA,KHAMMAM,3,CPI,M,Andhra Pradesh,67068,392684,377538,497926,78.86
5.49,M. NARASIMHARAO,KHAMMAM,4,BJS,M,Andhra Pradesh,20730,392684,377538,497926,78.86
54.44,M. Y. SALIM,NALGONDA,1,INC,M,Andhra Pradesh,169953,324498,312163,506698,64.04
24.88,B. D. HIKSHAM,NALGONDA,2,CPI,M,Andhra Pradesh,77675,324498,312163,506698,64.04
12.84,M. V. N. REDDY,NALGONDA,3,CPI,M,Andhra Pradesh,40070,324498,312163,506698,64.04
7.84,P. P. RAO,NALGONDA,4,BJS,M,Andhra Pradesh,24465,324498,312163,506698,64.04
45.67,"G. S, REDDY",MIRYALGUDA,1,INC,M,Andhra Pradesh,164336,370735,359799,503494,73.63
33.99,D. V. RAO,MIRYALGUDA,2,CPI,M,Andhra Pradesh,122292,370735,359799,503494,73.63
13.54,A. L. N. REDDY,MIRYALGUDA,3,CPI,M,Andhra Pradesh,48701,370735,359799,503494,73.63
3.79,M. J. REDDY,MIRYALGUDA,4,BJS,M,Andhra Pradesh,13650,370735,359799,503494,73.63
3.01,C. D. NAIDU,MIRYALGUDA,5,SWA,M,Andhra Pradesh,10820,370735,359799,503494,73.63
45.74,J. CHANDA,CACHAR,1,INC,M,Assam,89713,208010,196152,462862,44.94
22.03,A. F. G. OSMANI,CACHAR,2,IND,M,Assam,43203,208010,196152,462862,44.94
19.34,J. N. CHOWDHURY,CACHAR,3,IND,M,Assam,37928,208010,196152,462862,44.94
12.9,C. L. CHAMARIA,CACHAR,4,IND,M,Assam,25308,208010,196152,462862,44.94
58.71,N. R. LASKAR,KARIMGANJ (SC),1,INC,M,Assam,171048,303128,291322,472190,64.2
32.31,M. CHOUDHURY,KARIMGANJ (SC),2,IND,M,Assam,94125,303128,291322,472190,64.2
8.98,D. MAMASUDRA,KARIMGANJ (SC),3,BJS,M,Assam,26149,303128,291322,472190,64.2
61.37,G. G. SWELL,AUTONOMOUS DISTS (ST),1,AHL,M,Assam,112492,190841,183311,371287,51.4
38.63,B. G. MOMIN,AUTONOMOUS DISTS (ST),2,INC,M,Assam,70819,190841,183311,371287,51.4
53.5,J. AHMED,DHUBRI,1,PSP,M,Assam,144141,287387,269431,402189,71.46
28.89,A. ALI,DHUBRI,2,INC,M,Assam,77833,287387,269431,402189,71.46
17.61,N. R. SARKAR,DHUBRI,3,IND,M,Assam,47457,287387,269431,402189,71.46
0.0,R. BRAHMA,KOKRAJHAR (ST),1,INC,M,Assam,0,0,0,415618,0.0
60.12,F. A. AHMED,BARPETA,1,INC,M,Assam,173240,301065,288160,413057,72.89
39.88,P. L. CHOUDHURY,BARPETA,2,BJS,M,Assam,114920,301065,288160,413057,72.89
34.52,D. KALITA,GAUHATI,1,CPI,M,Assam,90208,275000,261339,412702,66.63
33.92,R. D. BARKATAKI,GAUHATI,2,INC,F,Assam,88658,275000,261339,412702,66.63
13.72,A. R. D. GUPTA,GAUHATI,3,IND,M,Assam,35854,275000,261339,412702,66.63
8.45,B. R. DAS,GAUHATI,4,IND,M,Assam,22086,275000,261339,412702,66.63
4.71,A. K. THAKURIA,GAUHATI,5,IND,M,Assam,12306,275000,261339,412702,66.63
4.68,M. R. BORO,GAUHATI,6,IND,M,Assam,12227,275000,261339,412702,66.63
50.8,N. BARUA,MANGALDAI,1,PSP,M,Assam,107718,226863,212048,440526,51.5
33.35,D. D. DAS,MANGALDAI,2,INC,M,Assam,70718,226863,212048,440526,51.5
8.06,D. BORA,MANGALDAI,3,IND,M,Assam,17090,226863,212048,440526,51.5
7.79,M. C. BARUA,MANGALDAI,4,IND,M,Assam,16522,226863,212048,440526,51.5
63.53,B. C. BHAGAVATI,TEZPUR,1,INC,M,Assam,144347,244275,227219,386826,63.15
36.47,G. MAHANTA,TEZPUR,2,PSP,M,Assam,82872,244275,227219,386826,63.15
43.79,L. KETEKI,NOWGONG,1,INC,M,Assam,103752,251522,236948,388255,64.78
24.09,K. BORA,NOWGONG,2,CPI,M,Assam,57086,251522,236948,388255,64.78
24.05,M. A. JALIL,NOWGONG,3,IND,M,Assam,56992,251522,236948,388255,64.78
8.07,P. C. SHARMA,NOWGONG,4,IND,M,Assam,19118,251522,236948,388255,64.78
49.34,B. BARUA,KALIABOR,1,INC,M,Assam,106672,227659,216215,394501,57.71
27.19,K. BEZBARUAH,KALIABOR,2,SSP,M,Assam,58783,227659,216215,394501,57.71
23.48,J. SAIKIA,KALIABOR,3,CPI,M,Assam,50760,227659,216215,394501,57.71
46.24,R. BARUA,JORHAT,1,INC,M,Assam,92519,209122,200103,385806,54.2
23.86,M. C. BARUA,JORHAT,2,PSP,M,Assam,47741,209122,200103,385806,54.2
21.18,K. BORBORUA,JORHAT,3,IND,M,Assam,42390,209122,200103,385806,54.2
8.72,P. M. SARWAN,JORHAT,4,IND,M,Assam,17453,209122,200103,385806,54.2
50.86,B. SASTRI.,LAKHIMPUR,1,INC,M,Assam,102739,213392,202022,397099,53.74
24.28,S. GOSWAMI,LAKHIMPUR,2,CPI,M,Assam,49053,213392,202022,397099,53.74
14.21,P. B. BARGOHAIN,LAKHIMPUR,3,SWA,M,Assam,28711,213392,202022,397099,53.74
10.65,M. N. BORPATRA,LAKHIMPUR,4,IND,M,Assam,21519,213392,202022,397099,53.74
38.16,J. N. HAZARIKA,DIBRUGARH,1,INC,M,Assam,77657,219091,203497,399041,54.9
26.91,A. K. SARMA,DIBRUGARH,2,SSP,M,Assam,54760,219091,203497,399041,54.9
20.24,D. D. LOHIA,DIBRUGARH,3,IND,M,Assam,41190,219091,203497,399041,54.9
11.17,B. PHUKAN,DIBRUGARH,4,BJS,M,Assam,22721,219091,203497,399041,54.9
3.52,K. B. DAS,DIBRUGARH,5,IND,M,Assam,7169,219091,203497,399041,54.9
49.11,B. RAUT,BAGAHA (SC),1,INC,M,Bihar,93073,197351,189532,478691,41.23
22.35,VIDYAKISHORE,BAGAHA (SC),2,SSP,M,Bihar,42363,197351,189532,478691,41.23
16.93,R. R. DUSADH,BAGAHA (SC),3,BJS,M,Bihar,32092,197351,189532,478691,41.23
11.61,J. RAM,BAGAHA (SC),4,SWA,M,Bihar,22004,197351,189532,478691,41.23
38.98,B. MISRA,MOTIHARI,1,INC,M,Bihar,86765,231462,222581,463766,49.91
23.17,A. KUER,MOTIHARI,2,PSP,M,Bihar,51581,231462,222581,463766,49.91
14.96,B. N. SINGH,MOTIHARI,3,CPI,M,Bihar,33288,231462,222581,463766,49.91
12.8,K. K. SINGH,MOTIHARI,4,BJS,M,Bihar,28492,231462,222581,463766,49.91
4.47,S. B. VERMA,MOTIHARI,5,IND,M,Bihar,9956,231462,222581,463766,49.91
3.4,H. L. KUMUD,MOTIHARI,6,SSP,M,Bihar,7576,231462,222581,463766,49.91
2.21,S. S. PRASAD,MOTIHARI,7,SWA,M,Bihar,4923,231462,222581,463766,49.91
34.15,K. N. TIWARI,BETTIAH,1,INC,M,Bihar,78294,239262,229265,484032,49.43
14.31,J. K. SHUKLA,BETTIAH,2,SSP,M,Bihar,32811,239262,229265,484032,49.43
13.73,R. SINGH,BETTIAH,3,BJS,M,Bihar,31472,239262,229265,484032,49.43
11.56,M. D. PURI,BETTIAH,4,IND,M,Bihar,26507,239262,229265,484032,49.43
9.26,N. L. SINGH,BETTIAH,5,IND,M,Bihar,21236,239262,229265,484032,49.43
9.12,C. B. M. MISRA,BETTIAH,6,SWA,M,Bihar,20901,239262,229265,484032,49.43
5.63,S. P. JHUNJHUNWALA,BETTIAH,7,IND,M,Bihar,12901,239262,229265,484032,49.43
2.24,V. P. THAKUR,BETTIAH,8,IND,M,Bihar,5143,239262,229265,484032,49.43
29.93,D. N. TIWARY,GOPALGANJ,1,INC,M,Bihar,71957,248353,240388,518630,47.89
28.68,C. SINGH,GOPALGANJ,2,SSP,M,Bihar,68941,248353,240388,518630,47.89
25.45,A. K. JAIN,GOPALGANJ,3,IND,M,Bihar,61180,248353,240388,518630,47.89
11.04,J. PRATISHASTA,GOPALGANJ,4,BJS,M,Bihar,26548,248353,240388,518630,47.89
4.89,K. PANDEY,GOPALGANJ,5,SWA,M,Bihar,11762,248353,240388,518630,47.89
39.32,M. YUSUF,SIWAN,1,INC,M,Bihar,98206,258446,249789,553081,46.73
29.0,H. SINGH,SIWAN,2,SSP,M,Bihar,72429,258446,249789,553081,46.73
22.02,B. P. MISHRA,SIWAN,3,BJS,M,Bihar,55015,258446,249789,553081,46.73
3.71,L. N. SINGH,SIWAN,4,SWA,M,Bihar,9271,258446,249789,553081,46.73
3.31,K. DUBEY,SIWAN,5,IND,M,Bihar,8259,258446,249789,553081,46.73
2.65,T. PRASAD,SIWAN,6,IND,M,Bihar,6609,258446,249789,553081,46.73
29.89,R. P. SINGH,CHAPRA,1,INC,M,Bihar,83267,290282,278618,563139,51.55
19.76,H. P. YADAV,CHAPRA,2,SSP,M,Bihar,55058,290282,278618,563139,51.55
13.0,A. K. SINGH,CHAPRA,3,IND,M,Bihar,36210,290282,278618,563139,51.55
10.16,M. SHRIWASTAVA,CHAPRA,4,BJS,M,Bihar,28297,290282,278618,563139,51.55
8.21,C. SINGH,CHAPRA,5,JKD,M,Bihar,22875,290282,278618,563139,51.55
5.69,R. DAS,CHAPRA,6,IND,M,Bihar,15855,290282,278618,563139,51.55
5.49,S. N. SINGH,CHAPRA,7,SWA,M,Bihar,15309,290282,278618,563139,51.55
4.1,V. SINGH,CHAPRA,8,IND,M,Bihar,11433,290282,278618,563139,51.55
3.7,H. ROY,CHAPRA,9,IND,M,Bihar,10314,290282,278618,563139,51.55
35.49,M. P. SINGH,MAHARAJGANJ,1,INC,M,Bihar,96212,280751,271134,566098,49.59
29.13,I. SINHA,MAHARAJGANJ,2,CPI,M,Bihar,78968,280751,271134,566098,49.59
14.27,P. R. MISHRA,MAHARAJGANJ,3,SSP,M,Bihar,38686,280751,271134,566098,49.59
10.86,D. P. SINGH,MAHARAJGANJ,4,PSP,M,Bihar,29458,280751,271134,566098,49.59
