%,CANDIDATE,CONSTITUENCY,NUMBER OF SEATS,No.,PARTY,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
30.72,"LASKAR, NIBARAN CHANDRA NA",CACHAR LUSHAL HILLS,2,4,INC,Assam,192847,627706,627706,658171,47.69
29.10,"DEB, SURESH CHANDRA NA",CACHAR LUSHAL HILLS,2,2,INC,Assam,182692,627706,627706,658171,47.69
13.41,"GHOSE, SATYENDRA KISHORE NA",CACHAR LUSHAL HILLS,2,3,KMPP,Assam,84160,627706,627706,658171,47.69
11.42,"PATNI, NITAI CHAND NA",CACHAR LUSHAL HILLS,2,5,KMPP,Assam,71704,627706,627706,658171,47.69
8.40,"DAS, SANAT KUMAR NA",CACHAR LUSHAL HILLS,2,1,BJS,Assam,52708,627706,627706,658171,47.69
6.95,"SUKLABADYA, MAHENDRA CHANDRA NA",CACHAR LUSHAL HILLS,2,6,BJS,Assam,43595,627706,627706,658171,47.69
54.10,BONILY KHONGMEN NA,AUTONOMOUS DISTRICTS,1,2,INC,Assam,59326,109663,109663,360630,30.41
30.08,WILSON READE NA,AUTONOMOUS DISTRICTS,1,3,KJD,Assam,32987,109663,109663,360630,30.41
15.82,LLONG DONALDSON BASAN NA,AUTONOMOUS DISTRICTS,1,1,HPP,Assam,17350,109663,109663,360630,30.41
25.85,JONAB AMJAD ALI NA,GOALPARA GARO HILLS,2,1,SP,Assam,182093,704435,704435,719456,48.96
23.44,SITANATH BRAHMA CHOWDHURY NA,GOALPARA GARO HILLS,2,5,INC,Assam,165144,704435,704435,719456,48.96
22.52,RANI MANJULA DEVI NA,GOALPARA GARO HILLS,2,2,IND,Assam,158651,704435,704435,719456,48.96
16.56,SATISH CHANDRA BASUMATARI NA,GOALPARA GARO HILLS,2,4,TS,Assam,116629,704435,704435,719456,48.96
6.10,SARAT CHANDRA BRAHMA DUTTA NA,GOALPARA GARO HILLS,2,3,IND,Assam,42967,704435,704435,719456,48.96
5.53,SURENDRA MOHAN SEN GUPTA NA,GOALPARA GARO HILLS,2,6,IND,Assam,38951,704435,704435,719456,48.96
43.14,BELIRAM DAS NA,BARPETA,1,3,INC,Assam,76293,176868,176868,332791,53.15
36.16,BIPIN PAL DAS NA,BARPETA,1,1,SP,Assam,63950,176868,176868,332791,53.15
13.58,KAMAKHYA RAM BAROOAH NA,BARPETA,1,4,KMPP,Assam,24013,176868,176868,332791,53.15
7.13,BHABANANDA DUTTA NA,BARPETA,1,2,IND,Assam,12612,176868,176868,332791,53.15
47.45,ROHINI KUMAR CHAUDHURY NA,GAUHATI,1,2,INC,Assam,96122,202596,202596,360331,56.22
35.81,LAKSHYA DHAR CHAUDHURY NA,GAUHATI,1,1,SP,Assam,72553,202596,202596,360331,56.22
16.74,UPENDRA NATH NAVIS NA,GAUHATI,1,3,KMPP,Assam,33921,202596,202596,360331,56.22
50.44,KAMAKHYA PRASAD TRIPATHI NA,DARRANG,1,3,INC,Assam,81775,162120,162120,310934,52.14
29.17,H. C. BARUA NA,DARRANG,1,1,SP,Assam,47298,162120,162120,310934,52.14
20.38,HEM CHANDRA DAS NA,DARRANG,1,2,IND,Assam,33047,162120,162120,310934,52.14
45.83,"BAROOAH, DEV KANTA NA",NOWGONG,1,1,INC,Assam,79673,173832,173832,342855,50.70
26.94,GOSWAMI LAKSHMI PRASAD NA,NOWGONG,1,2,SP,Assam,46829,173832,173832,342855,50.70
19.45,"GOSWAMI, SUKADEV NA",NOWGONG,1,3,KMPP,Assam,33818,173832,173832,342855,50.70
7.77,SHAMSUNNAHAR NA,NOWGONG,1,4,IND,Assam,13512,173832,173832,342855,50.70
54.01,DEBESWAR SARMA NA,GOLAGHAT JORHAT,1,3,INC,Assam,93002,172180,172180,363384,47.38
24.58,BHABESH CHANDRA BARUA NA,GOLAGHAT JORHAT,1,1,SP,Assam,42327,172180,172180,363384,47.38
21.40,NALINI NATH PHUKAN NA,GOLAGHAT JORHAT,1,2,APP,Assam,36851,172180,172180,363384,47.38
53.41,"BURAGOHAIN, SURENDRANATH NA",SIBSAGAR NORTH LAKHIMPUR,1,1,INC,Assam,90279,169015,169015,345910,48.86
18.71,"BARBARUA, LALIT NA",SIBSAGAR NORTH LAKHIMPUR,1,2,IND,Assam,31616,169015,169015,345910,48.86
17.19,"GOGOI, KHAGENDRANATH NA",SIBSAGAR NORTH LAKHIMPUR,1,4,SP,Assam,29049,169015,169015,345910,48.86
10.69,"CHOWDHURI, EMRAN HUSSAIN NA",SIBSAGAR NORTH LAKHIMPUR,1,3,KMPP,Assam,18071,169015,169015,345910,48.86
62.91,"HAZARIKA, JOGENDRA NATH NA",DIBRUGARH,1,4,INC,Assam,93554,148712,148712,347258,42.82
15.36,"SONOWAL, PARASURAM NA",DIBRUGARH,1,2,SP,Assam,22844,148712,148712,347258,42.82
12.96,PHUKAN LOKESWAR NA,DIBRUGARH,1,1,IND,Assam,19276,148712,148712,347258,42.82
