%,CANDIDATE,CONSTITUENCY,NUMBER OF SEATS,No.,PARTY,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
8.77,"SINHA, PABITRA KUMAR NA",DIBRUGARH,1,3,IND,Assam,13038,148712,148712,347258,42.82
48.63,SARANGDHAR SINGH NA,PATALIPUTRA,1,1,INC,Bihar,64992,133645,133645,288982,46.25
28.65,GYAN CHAND NA,PATALIPUTRA,1,2,SP,Bihar,38294,133645,133645,288982,46.25
17.70,NAVADIP CHANDRA GHOSH NA,PATALIPUTRA,1,3,IND,Bihar,23650,133645,133645,288982,46.25
5.02,PRAFULLA RANJAN DAS NA,PATALIPUTRA,1,4,KMPP,Bihar,6709,133645,133645,288982,46.25
50.93,KAILASH PATI SINHA NA,PATNA CENTRAL,1,1,INC,Bihar,66982,131506,131506,236799,55.53
15.65,CHANDRIKA SINGH NA,PATNA CENTRAL,1,2,IND,Bihar,20581,131506,131506,236799,55.53
14.62,BODH NARAYAN PRASAD NA,PATNA CENTRAL,1,3,HMS,Bihar,19225,131506,131506,236799,55.53
13.57,NAGESHWAR PRASAD NA,PATNA CENTRAL,1,4,SP,Bihar,17851,131506,131506,236799,55.53
5.22,CHANDRA MAULA PRASAD NA,PATNA CENTRAL,1,5,IND,Bihar,6867,131506,131506,236799,55.53
46.90,TARKESHWARI DEVI NA,PATNA EAST,1,1,INC,Bihar,62238,132716,132716,250896,52.90
22.14,B. P. JAWAHAR NA,PATNA EAST,1,2,SP,Bihar,29388,132716,132716,250896,52.90
20.40,SHEELBHADRAYAJEE ALIAS LADDU SHARMA NA,PATNA EAST,1,3,FBL(MG),Bihar,27073,132716,132716,250896,52.90
10.56,JADUNANDAN PRASAD NA,PATNA EAST,1,4,IND,Bihar,14017,132716,132716,250896,52.90
50.73,BALRAM BHAGAT NA,PATNA CUM SHAHABAD,1,1,INC,Bihar,69428,136851,136851,287272,47.64
17.31,DEVENDRA PRASAD SINGH NA,PATNA CUM SHAHABAD,1,2,SP,Bihar,23688,136851,136851,287272,47.64
15.09,GOPAL DUTTA SHASTRI NA,PATNA CUM SHAHABAD,1,3,RRP,Bihar,20655,136851,136851,287272,47.64
11.01,ISHWAR DAAL SINGH NA,PATNA CUM SHAHABAD,1,4,IND,Bihar,15071,136851,136851,287272,47.64
5.85,BIRENDRADHARI SINHA NA,PATNA CUM SHAHABAD,1,5,IND,Bihar,8009,136851,136851,287272,47.64
29.95,BRAJESHWAR PRASAD NA,GAYA EAST,2,1,INC,Bihar,124524,415816,415816,572471,36.32
24.79,RAMDHARI DAS NA,GAYA EAST,2,2,INC,Bihar,103069,415816,415816,572471,36.32
13.31,RAKSHA RAM NA,GAYA EAST,2,3,SP,Bihar,55359,415816,415816,572471,36.32
12.31,GOPAL KRISHNA MAHAJAN NA,GAYA EAST,2,4,SP,Bihar,51189,415816,415816,572471,36.32
10.66,SHYAMA BIRTHUAR NA,GAYA EAST,2,5,KMPP,Bihar,44324,415816,415816,572471,36.32
8.98,SHIVA PRASAD SINHA NA,GAYA EAST,2,6,UKS,Bihar,37351,415816,415816,572471,36.32
43.69,BIGESHWAR MISSIR NA,GAYA NORTH,1,1,SP,Bihar,55817,127767,127767,288509,44.29
38.39,JAGANNATH PRASAD SINHA NA,GAYA NORTH,1,2,INC,Bihar,49047,127767,127767,288509,44.29
17.93,CHANDRADEO SHARMA NA,GAYA NORTH,1,3,UKS,Bihar,22903,127767,127767,288509,44.29
38.78,SATYANDRA NARAIN SINGH NA,GAYA WEST,1,1,INC,Bihar,54758,141212,141212,336977,41.91
34.73,BILASH SINGH NA,GAYA WEST,1,2,SP,Bihar,49047,141212,141212,336977,41.91
26.49,KUMAR BADRI NARAYAN SINGH NA,GAYA WEST,1,3,IND,Bihar,37407,141212,141212,336977,41.91
19.67,RAM SUBHAG SINGH NA,SHAHABAD SOUTH,2,1,INC,Bihar,114988,584689,584689,697896,41.89
19.07,JAGJIWAN RAM NA,SHAHABAD SOUTH,2,2,INC,Bihar,111524,584689,584689,697896,41.89
12.67,RADHA MOHAN SINGH NA,SHAHABAD SOUTH,2,3,SP,Bihar,74074,584689,584689,697896,41.89
10.72,CHHATTU DUSADH NA,SHAHABAD SOUTH,2,4,SP,Bihar,62697,584689,584689,697896,41.89
7.71,SHEO PUJAN SINGH NA,SHAHABAD SOUTH,2,5,IND,Bihar,45093,584689,584689,697896,41.89
6.48,DURGA PRASAD PANDE NA,SHAHABAD SOUTH,2,6,IND,Bihar,37868,584689,584689,697896,41.89
6.26,JAGDISH NARAIN RAY NA,SHAHABAD SOUTH,2,7,IND,Bihar,36601,584689,584689,697896,41.89
5.21,P. R. THAKUR NA,SHAHABAD SOUTH,2,8,RRP,Bihar,30459,584689,584689,697896,41.89
4.97,RAJBANS SAHAY NA,SHAHABAD SOUTH,2,9,RRP,Bihar,29047,584689,584689,697896,41.89
3.99,BUDHAN RAI VERMA NA,SHAHABAD SOUTH,2,10,IND,Bihar,23321,584689,584689,697896,41.89
3.25,BADRI NARAIN SHARMA NA,SHAHABAD SOUTH,2,11,KMPP,Bihar,19017,584689,584689,697896,41.89
28.66,KAMAL SINGH NA,SHAHABAD NORTH WEST,1,1,IND,Bihar,43165,150612,150612,364184,41.36
27.07,KALAWATI NA,SHAHABAD NORTH WEST,1,2,INC,Bihar,40773,150612,150612,364184,41.36
16.73,RAGHUNATH SINGH YADAV NA,SHAHABAD NORTH WEST,1,3,IND,Bihar,25198,150612,150612,364184,41.36
14.73,RAM EKWAL RAM NA,SHAHABAD NORTH WEST,1,4,SP,Bihar,22184,150612,150612,364184,41.36
5.78,FAGU RAI NA,SHAHABAD NORTH WEST,1,5,FBL(MG),Bihar,8706,150612,150612,364184,41.36
3.68,BISHWANATH PANDE NA,SHAHABAD NORTH WEST,1,6,KMPP,Bihar,5535,150612,150612,364184,41.36
3.35,RAMA KANT PANDEY NA,SHAHABAD NORTH WEST,1,7,IND,Bihar,5051,150612,150612,364184,41.36
60.97,JHULAN SINHA NA,SARAN NORTH,1,1,INC,Bihar,68062,111627,111627,370681,30.11
20.72,VIDYABHUSHAN SHUKLA NA,SARAN NORTH,1,2,IND,Bihar,23125,111627,111627,370681,30.11
18.31,DHARMADEO VERMA NA,SARAN NORTH,1,3,SP,Bihar,20440,111627,111627,370681,30.11
55.01,MAHENDRA NATH SINGH NA,SARAN CENTRAL,1,1,INC,Bihar,67011,121823,121823,358504,33.98
23.10,SUKDEO PRASAD NA,SARAN CENTRAL,1,2,SP,Bihar,28144,121823,121823,358504,33.98
21.89,MAHAMAYA PRASAD SINHA NA,SARAN CENTRAL,1,3,KMPP,Bihar,26668,121823,121823,358504,33.98
66.29,SATYA NARAIN SINGH NA,SARAN EAST,1,1,INC,Bihar,69468,104790,104790,307256,34.11
23.06,KANHAIYA PRASAD VERMA NA,SARAN EAST,1,2,SP,Bihar,24165,104790,104790,307256,34.11
10.65,BILAS OJHA NA,SARAN EAST,1,3,IND,Bihar,11157,104790,104790,307256,34.11
42.85,DWARKA NATH TIWARI NA,SARAN SOUTH,1,1,INC,Bihar,50277,117340,117340,276217,42.48
26.42,RAJENDRA SINGH NA,SARAN SOUTH,1,2,SP,Bihar,31007,117340,117340,276217,42.48
18.46,TRIGUNANAND SHUKLA NA,SARAN SOUTH,1,3,IND,Bihar,21657,117340,117340,276217,42.48
12.27,JAGARNATH PRASAD SINGH NA,SARAN SOUTH,1,4,KMPP,Bihar,14399,117340,117340,276217,42.48
29.97,BIBHUTI MISSIR NA,SARAN CUM CHAMPARAN,2,1,INC,Bihar,131531,438883,438883,694144,31.61
25.55,BHOLA RAUT NA,SARAN CUM CHAMPARAN,2,2,INC,Bihar,112134,438883,438883,694144,31.61
10.84,JAGAT NATH NA,SARAN CUM CHAMPARAN,2,3,SP,Bihar,47582,438883,438883,694144,31.61
8.60,SHATRUGHAN RAM NA,SARAN CUM CHAMPARAN,2,4,SP,Bihar,37738,438883,438883,694144,31.61
6.85,RAM RAKSHA UPADHYA NA,SARAN CUM CHAMPARAN,2,5,IND,Bihar,30054,438883,438883,694144,31.61
6.60,BADRI NARAYAN NA,SARAN CUM CHAMPARAN,2,7,IND,Bihar,28978,438883,438883,694144,31.61
6.60,BIDYA NAND GIRI NA,SARAN CUM CHAMPARAN,2,6,BJS,Bihar,28959,438883,438883,694144,31.61
4.99,MANGAL PRASAD SHRIVASTAVA NA,SARAN CUM CHAMPARAN,2,8,KMPP,Bihar,21907,438883,438883,694144,31.61
50.32,BIPIN BIHARI VERMA NA,CHAMPARAN NORTH,1,1,INC,Bihar,52424,104179,104179,341318,30.52
29.44,SHATTRU MARDAN SAH NA,CHAMPARAN NORTH,1,2,IND,Bihar,30672,104179,104179,341318,30.52
20.24,SHEIKH AZIZUL HAQUE NA,CHAMPARAN NORTH,1,3,SP,Bihar,21083,104179,104179,341318,30.52
49.83,SYED MAHMOOD NA,CHAMPARAN EAST,1,1,INC,Bihar,69144,138767,138767,327728,42.34
33.84,JAI GOPAL SINHA NA,CHAMPARAN EAST,1,2,SP,Bihar,46962,138767,138767,327728,42.34
16.33,SANT PRASAD SINHA NA,CHAMPARAN EAST,1,3,FBL(MG),Bihar,22661,138767,138767,327728,42.34
38.47,CHANDESWAR NARAIN PRASAD SINHA NA,MUZAFFARPUR NORTH WEST,1,1,INC,Bihar,51720,134435,134435,293890,45.74
36.63,BAIJNATH PD. VERMA NA,MUZAFFARPUR NORTH WEST,1,2,SP,Bihar,49238,134435,134435,293890,45.74
20.51,THAKUR JUGAL KISHORE SINGH NA,MUZAFFARPUR NORTH WEST,1,3,IND,Bihar,27575,134435,134435,293890,45.74
4.39,THAKUR NAG NARAIN SINGH NA,MUZAFFARPUR NORTH WEST,1,4,KMPP,Bihar,5902,134435,134435,293890,45.74
45.58,DIG VIJOY NARAYAN SINGH NA,MUZAFFARPUR NORTH EAST,1,1,INC,Bihar,70603,154884,154884,329849,46.96
24.60,RAM BAHADUR LAL NA,MUZAFFARPUR NORTH EAST,1,2,SP,Bihar,38094,154884,154884,329849,46.96
22.76,NARENDRA PRASAD NA,MUZAFFARPUR NORTH EAST,1,3,KMPP,Bihar,35256,154884,154884,329849,46.96
7.06,RAM PAVITRA TIWARI NA,MUZAFFARPUR NORTH EAST,1,4,IND,Bihar,10931,154884,154884,329849,46.96
58.48,SHYAM NANDAN SAHAY NA,MUZAFFARPUR CENTRAL,1,1,INC,Bihar,82652,141330,141330,332006,42.57
28.05,RADHA MOHAN SHUKLA NA,MUZAFFARPUR CENTRAL,1,2,SP,Bihar,39640,141330,141330,332006,42.57
7.81,SACHIDANANDAN SAHAY NA,MUZAFFARPUR CENTRAL,1,3,KMPP,Bihar,11033,141330,141330,332006,42.57
5.66,BHOLA CHOWDHRY NA,MUZAFFARPUR CENTRAL,1,4,IND,Bihar,8005,141330,141330,332006,42.57
48.14,AWADESHWAR PD. SINHA NA,MUZAFARPUR EAST,1,1,INC,Bihar,67220,139632,139632,298268,46.81
31.49,RAM JANAM OJHA NA,MUZAFARPUR EAST,1,2,SP,Bihar,43975,139632,139632,298268,46.81
8.25,PARMANAND KEJRIWAL NA,MUZAFARPUR EAST,1,3,KMPP,Bihar,11520,139632,139632,298268,46.81
7.62,SHRI KRISHNA PD. CHOWDHRY NA,MUZAFARPUR EAST,1,4,IND,Bihar,10641,139632,139632,298268,46.81
4.49,RAM SUNDER TRIVEDI NA,MUZAFARPUR EAST,1,5,IND,Bihar,6276,139632,139632,298268,46.81
47.87,RAJESHWAR PATEL NA,MUZAFFARPUR CUM,2,2,INC,Bihar,152490,318538,318538,716634,44.45
38.58,RAM CHANDER SHARMA NA,MUZAFFARPUR CUM,2,3,SP,Bihar,122895,318538,318538,716634,44.45
13.55,UMESHWAR CHANDRA PRASAD SINHA NA,MUZAFFARPUR CUM,2,4,IND,Bihar,43153,318538,318538,716634,44.45
UNCONTESTED,RAMESHWAR SAHU NA,MUZAFFARPUR CUM,2,1,INC,Bihar,RETURNED,318538,318538,716634,44.45
51.26,SATYA NARAIN SINHA NA,SAMASTIPUR EAST,1,1,INC,Bihar,63019,122946,122946,339720,36.19
31.55,BADRI NARAIN SINHA NA,SAMASTIPUR EAST,1,2,SP,Bihar,38790,122946,122946,339720,36.19
11.78,RAM PRAKASH SHARMA NA,SAMASTIPUR EAST,1,3,IND,Bihar,14477,122946,122946,339720,36.19
5.42,PHULESHWAR MUKHYA NA,SAMASTIPUR EAST,1,4,IND,Bihar,6660,122946,122946,339720,36.19
58.30,SHRI NARAYAN DAS NA,DARBHANGA CENTRAL,1,1,INC,Bihar,79435,136243,136243,394744,34.51
22.61,RAMNANDAN MISHRA NA,DARBHANGA CENTRAL,1,2,SP,Bihar,30806,136243,136243,394744,34.51
10.45,NAGESHWAR MISHRA NA,DARBHANGA CENTRAL,1,3,IND,Bihar,14244,136243,136243,394744,34.51
8.63,BHOGUDRA JHA NA,DARBHANGA CENTRAL,1,4,CPI,Bihar,11758,136243,136243,394744,34.51
52.70,ANIRUYDH SINHA NA,DARBHANGA EAST,1,1,INC,Bihar,69944,132722,132722,372053,35.67
35.99,LAKSHMAN JHA NA,DARBHANGA EAST,1,2,SP,Bihar,47766,132722,132722,372053,35.67
11.31,HARISH CHANDRA MISHRA NA,DARBHANGA EAST,1,3,IND,Bihar,15012,132722,132722,372053,35.67
38.34,SHYAM NANDAN PRASAD NA,DARBHANGA NORTH,1,1,INC,Bihar,64314,167758,167758,376316,44.58
33.41,KAMESHWAR SINGH NA,DARBHANGA NORTH,1,2,IND,Bihar,56053,167758,167758,376316,44.58
28.25,SURAI NARAYAN SINHA NA,DARBHANGA NORTH,1,3,SP,Bihar,47391,167758,167758,376316,44.58
64.54,LALIT NARAYAN MISRA NA,DARBHANGA CUM BHAGALPUR,1,1,INC,Bihar,94414,146291,146291,331476,44.13
35.46,TAPESHWARI MANDAL NA,DARBHANGA CUM BHAGALPUR,1,2,SP,Bihar,51877,146291,146291,331476,44.13
25.37,BANARSI PD. SINHA NA,MONGHYR SADAR CUM JAMUI,2,1,INC,Bihar,131586,518714,518714,534168,48.55
22.80,NAYAN TARA DAS NA,MONGHYR SADAR CUM JAMUI,2,2,INC,Bihar,118241,518714,518714,534168,48.55
18.90,RAM KISHUN LAL NA,MONGHYR SADAR CUM JAMUI,2,3,SP,Bihar,98050,518714,518714,534168,48.55
15.36,RAMESHWAR YADAV NA,MONGHYR SADAR CUM JAMUI,2,4,SP,Bihar,79669,518714,518714,534168,48.55
10.94,KALIKA PRASAD SINGH NA,MONGHYR SADAR CUM JAMUI,2,5,KMPP,Bihar,56729,518714,518714,534168,48.55
6.64,HARI DASH NA,MONGHYR SADAR CUM JAMUI,2,6,IND,Bihar,34439,518714,518714,534168,48.55
46.36,MATHURA PRASAD MISRA NA,MONGHYR NORTH WEST,1,1,INC,Bihar,53473,115332,115332,216737,53.21
29.78,BRAHAMDEO PD. SINHA NA,MONGHYR NORTH WEST,1,2,SP,Bihar,34345,115332,115332,216737,53.21
23.86,CHANDRA SAKHAR SINHA NA,MONGHYR NORTH WEST,1,3,CPI,Bihar,27514,115332,115332,216737,53.21
50.42,SURESH CHANDRA MISHRA NA,MONGHYR NORTH EAST,1,1,SP,Bihar,73967,146688,146688,271581,54.01
49.58,RAJENDRA PRASAD YADAV NA,MONGHYR NORTH EAST,1,2,INC,Bihar,72721,146688,146688,271581,54.01
31.08,ANUP LAL MEHATA NA,BHAGALPUR CUM PURNEA,2,1,INC,Bihar,159358,512765,512765,640994,40.00
25.19,KIRAI MUSHAHAR NA,BHAGALPUR CUM PURNEA,2,2,SP,Bihar,129144,512765,512765,640994,40.00
24.30,MAHABIR DAS NA,BHAGALPUR CUM PURNEA,2,3,INC,Bihar,124589,512765,512765,640994,40.00
19.44,MURLIDHARI SINGH NA,BHAGALPUR CUM PURNEA,2,4,SP,Bihar,99674,512765,512765,640994,40.00
46.14,BANARSHI PD. JHUNJHUNWALA NA,BHAGALPUR CENTRAL,1,1,INC,Bihar,67332,145939,145939,306142,47.67
23.26,SAHAJANAND KUMAR NA,BHAGALPUR CENTRAL,1,2,SP,Bihar,33942,145939,145939,306142,47.67
13.72,SHIV NARAYAN RAM NA,BHAGALPUR CENTRAL,1,3,KMPP,Bihar,20030,145939,145939,306142,47.67
9.36,RAMESHWAR NATH TEWARI NA,BHAGALPUR CENTRAL,1,4,IND,Bihar,13655,145939,145939,306142,47.67
7.52,SHREE NARAYAN SINHA NA,BHAGALPUR CENTRAL,1,5,BJS,Bihar,10980,145939,145939,306142,47.67
49.75,SUSAMA SEN NA,BHAGALPUR SOUTH,1,1,INC,Bihar,71979,144686,144686,301167,48.04
31.28,BAIJNATH PRASAD SINGH NA,BHAGALPUR SOUTH,1,2,SP,Bihar,45255,144686,144686,301167,48.04
12.57,LOCHAN BHAGAT NA,BHAGALPUR SOUTH,1,3,IND,Bihar,18187,144686,144686,301167,48.04
6.40,PARDUMAN PRASAD SINGH NA,BHAGALPUR SOUTH,1,4,KMPP,Bihar,9265,144686,144686,301167,48.04
74.51,MOHAMMAD ISLAMUDDIN NA,PURNEA NORTH EAST,1,1,INC,Bihar,89754,120467,120467,369596,32.59
17.77,KRISHNA LAL THERARI NA,PURNEA NORTH EAST,1,2,IND,Bihar,21405,120467,120467,369596,32.59
7.73,BISHESWAR DAS NA,PURNEA NORTH EAST,1,3,SP,Bihar,9308,120467,120467,369596,32.59
56.87,PHANI GOPAL SEN GUPTA NA,PURNEA CENTRAL,1,1,INC,Bihar,78720,138412,138412,357038,38.77
18.32,DURGA PRASAD NA,PURNEA CENTRAL,1,2,IND,Bihar,25361,138412,138412,357038,38.77
16.89,ARUNCHANDRA SINHA NA,PURNEA CENTRAL,1,3,SP,Bihar,23384,138412,138412,357038,38.77
7.91,BISHWANATH MUKHERJEE NA,PURNEA CENTRAL,1,4,IND,Bihar,10947,138412,138412,357038,38.77
25.19,BHAGAT JHA (AZAD) NA,PURNEA CUM SANTAL PARGANAS,2,1,INC,Bihar,166049,659217,659217,752822,43.78
22.43,JUGHAR SOREN PAUL NA,PURNEA CUM SANTAL PARGANAS,2,2,JHP,Bihar,147837,659217,659217,752822,43.78
22.38,NARAYAN SOREN NA,PURNEA CUM SANTAL PARGANAS,2,3,INC,Bihar,147531,659217,659217,752822,43.78
18.39,SUDHIR HASDA NA,PURNEA CUM SANTAL PARGANAS,2,4,JHP,Bihar,121248,659217,659217,752822,43.78
8.07,BARRUCHI JHA NA,PURNEA CUM SANTAL PARGANAS,2,5,SP,Bihar,53206,659217,659217,752822,43.78
3.54,LAKHI PRASAD AGRAWAL NA,PURNEA CUM SANTAL PARGANAS,2,6,IND,Bihar,23346,659217,659217,752822,43.78
24.97,RAM RAJ JAJWARE NA,SANTAL PARGANAS CUM,2,1,INC,Bihar,158325,634118,634118,720478,44.01
22.89,LAL HEMBROM NA,SANTAL PARGANAS CUM,2,2,INC,Bihar,145155,634118,634118,720478,44.01
21.13,BARIAR HEMBROM NA,SANTAL PARGANAS CUM,2,3,IND,Bihar,134007,634118,634118,720478,44.01
13.91,SURESH CHANDRA CHOWDHRY NA,SANTAL PARGANAS CUM,2,5,IND,Bihar,88198,634118,634118,720478,44.01
8.70,ANILENDRA NARAYAN SINGH NA,SANTAL PARGANAS CUM,2,4,IND,Bihar,55175,634118,634118,720478,44.01
8.40,CHANDRA MAULESHWAR SINGH NA,SANTAL PARGANAS CUM,2,6,SP,Bihar,53258,634118,634118,720478,44.01
50.34,NAGESHWAR PD. SINHA NA,HAZARIBHAG EAST,1,1,INC,Bihar,65251,129617,129617,335212,38.67
37.69,TARA KISHORE PRASAD NA,HAZARIBHAG EAST,1,2,CNSPJP,Bihar,48857,129617,129617,335212,38.67
11.97,MITHILESH KUMAR SINGH NA,HAZARIBHAG EAST,1,3,SP,Bihar,15509,129617,129617,335212,38.67
57.05,RAM NARAYAN SINGH NA,HAZARIBAGH WEST,1,1,CNSPJP,Bihar,67824,118881,118881,332278,35.78
35.48,JHANI RAM NA,HAZARIBAGH WEST,1,2,INC,Bihar,42183,118881,118881,332278,35.78
7.46,SHEO MANGAL PRASAD NA,HAZARIBAGH WEST,1,3,SP,Bihar,8874,118881,118881,332278,35.78
32.64,ABDUL IBRAHIM NA,RANCHI NORTH EAST,1,1,INC,Bihar,43576,133505,133505,344542,38.75
24.11,AJIT NATH BANERJEE NA,RANCHI NORTH EAST,1,2,SP,Bihar,32185,133505,133505,344542,38.75
18.02,KANDRAP NATH SAH DEO NA,RANCHI NORTH EAST,1,3,CNSPJP,Bihar,24052,133505,133505,344542,38.75
11.58,RAMESHWAR MAHTO NA,RANCHI NORTH EAST,1,4,FBL(MG),Bihar,15462,133505,133505,344542,38.75
5.41,SHYAM KRISHNA SAHAY NA,RANCHI NORTH EAST,1,5,IND,Bihar,7223,133505,133505,344542,38.75
5.17,NABA KUMAR CHOWDHRY NA,RANCHI NORTH EAST,1,6,IND,Bihar,6897,133505,133505,344542,38.75
3.08,GYAN PRAKASH MAHANTHA NA,RANCHI NORTH EAST,1,7,IND,Bihar,4110,133505,133505,344542,38.75
60.86,JAIPAL SINGH NA,RANCHI WEST (ST),1,1,JHP,Bihar,139275,228856,228856,367835,62.22
31.97,JAGANNATH SINGH MANKI NA,RANCHI WEST (ST),1,2,INC,Bihar,73169,228856,228856,367835,62.22
7.17,BISESHWAR KHALKO NA,RANCHI WEST (ST),1,3,CNSPJP,Bihar,16412,228856,228856,367835,62.22
20.72,JITHAN KHERWAR NA,PALAMAU CUM HAZARIBAGH,2,1,INC,Bihar,96034,463405,463405,649178,35.69
18.42,GAJENDRA PRASAD SINHA NA,PALAMAU CUM HAZARIBAGH,2,2,INC,Bihar,85340,463405,463405,649178,35.69
15.90,ALIS KUJUR NA,PALAMAU CUM HAZARIBAGH,2,3,JHP,Bihar,73671,463405,463405,649178,35.69
14.97,JHAWAN SINGH NA,PALAMAU CUM HAZARIBAGH,2,4,JHP,Bihar,69349,463405,463405,649178,35.69
11.24,SUGRIODHAR DUBEY NA,PALAMAU CUM HAZARIBAGH,2,5,CNSPJP,Bihar,52089,463405,463405,649178,35.69
7.19,HARI KRISHNA PRASAD NA,PALAMAU CUM HAZARIBAGH,2,6,SP,Bihar,33308,463405,463405,649178,35.69
5.83,DUKHAN BHAGAT NA,PALAMAU CUM HAZARIBAGH,2,7,SP,Bihar,27031,463405,463405,649178,35.69
5.74,DAVID MUNZNI NA,PALAMAU CUM HAZARIBAGH,2,8,IND,Bihar,26583,463405,463405,649178,35.69
22.36,MOHAN HARI NA,MANBHUM NORTH,2,1,INC,Bihar,97279,435123,435123,688360,31.61
