%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.66,DATTATREYA KONURI KANNAIAH,BAPATLA,6,IND,M,ANDHRA PRADESH,3167,489114,478088,762427,64.15
54.87,K. BRAMHANANDA REDDY,NARASARAOPET,1,INC(I),M,ANDHRA PRADESH,238854,446900,435316,820316,54.48
35.5,POPURI BRAHMANANDAM,NARASARAOPET,2,IND,M,ANDHRA PRADESH,154558,446900,435316,820316,54.48
3.11,V.SANKAR GIRI,NARASARAOPET,3,IND,M,ANDHRA PRADESH,13524,446900,435316,820316,54.48
1.72,DATTATREY KONURI KANNAYYA,NARASARAOPET,4,IND,M,ANDHRA PRADESH,7472,446900,435316,820316,54.48
1.25,PAGADALA ADINARAYANA,NARASARAOPET,5,IND,M,ANDHRA PRADESH,5459,446900,435316,820316,54.48
1.12,P.SATYANARAYANA SASTRY,NARASARAOPET,6,IND,M,ANDHRA PRADESH,4881,446900,435316,820316,54.48
0.67,T.K. KOTHANDA RAM,NARASARAOPET,7,IND,M,ANDHRA PRADESH,2913,446900,435316,820316,54.48
0.63,PATTAN MAHBUB KHAN,NARASARAOPET,8,IND,M,ANDHRA PRADESH,2763,446900,435316,820316,54.48
0.61,SURA SUBBARAYUDU,NARASARAOPET,9,IND,M,ANDHRA PRADESH,2645,446900,435316,820316,54.48
0.52,BETHAPUDI PRASADA RAO,NARASARAOPET,10,IND,M,ANDHRA PRADESH,2247,446900,435316,820316,54.48
57.19,VENKATA REDDI PULI,ONGOLE,1,INC(I),M,ANDHRA PRADESH,266831,478749,466579,816274,58.65
24.79,A.BHAKTHAVASTALA REDDY,ONGOLE,2,JNP,M,ANDHRA PRADESH,115656,478749,466579,816274,58.65
16.71,A. V. K. CHAITANYA,ONGOLE,3,JNP(S),M,ANDHRA PRADESH,77958,478749,466579,816274,58.65
1.31,VENKATESWARA RAO THANNEERU,ONGOLE,4,IND,M,ANDHRA PRADESH,6134,478749,466579,816274,58.65
71.05,D. KAMAKSHAIAH,NELLORE (SC),1,INC(I),M,ANDHRA PRADESH,294326,424286,414269,816504,51.96
16.19,T. P. BHANU RAJU,NELLORE (SC),2,CPM,M,ANDHRA PRADESH,67075,424286,414269,816504,51.96
10.06,INDURUPALLI RAMANAIAH,NELLORE (SC),3,JNP,M,ANDHRA PRADESH,41670,424286,414269,816504,51.96
2.3,D. NARASIMHULU,NELLORE (SC),4,IND,M,ANDHRA PRADESH,9539,424286,414269,816504,51.96
0.4,MATHANGI SHYAMASUNDARA RAJU,NELLORE (SC),5,IND,M,ANDHRA PRADESH,1659,424286,414269,816504,51.96
68.66,PASALA PENCHALAIAH,TIRUPATHI (SC),1,INC(I),M,ANDHRA PRADESH,241965,359863,352421,762941,47.17
24.59,BALAKRISHNAIAH TAMBURA,TIRUPATHI (SC),2,JNP,M,ANDHRA PRADESH,86659,359863,352421,762941,47.17
3.79,JAYARAMAIAH MALLARAPU,TIRUPATHI (SC),3,JNP(S),M,ANDHRA PRADESH,13369,359863,352421,762941,47.17
1.83,MUNASWAMY,TIRUPATHI (SC),4,IND,M,ANDHRA PRADESH,6459,359863,352421,762941,47.17
0.82,T. VEERARAGHAVULU,TIRUPATHI (SC),5,IND,M,ANDHRA PRADESH,2885,359863,352421,762941,47.17
0.31,M. SUBBARAMAIAH,TIRUPATHI (SC),6,IND,M,ANDHRA PRADESH,1084,359863,352421,762941,47.17
51.55,P. RAJAGOPAL NAIDU,CHITTOOR,1,INC(I),M,ANDHRA PRADESH,232249,461430,450508,739000,62.44
38.27,N. P. CHENGALRAYA NAYUDU,CHITTOOR,2,JNP,M,ANDHRA PRADESH,172402,461430,450508,739000,62.44
10.18,THIMMAREDDI PEDDIREDDY,CHITTOOR,3,JNP(S),M,ANDHRA PRADESH,45857,461430,450508,739000,62.44
52.51,P. PARTHASARATHY,RAJAMPET,1,INC(I),M,ANDHRA PRADESH,189311,367287,360546,710540,51.69
41.02,RATHNASABAPATHY BANDARU,RAJAMPET,2,INC(U),M,ANDHRA PRADESH,147910,367287,360546,710540,51.69
2.03,M. VENKATARAMANA,RAJAMPET,3,IND,M,ANDHRA PRADESH,7309,367287,360546,710540,51.69
1.16,K. RAMACHANDRA REDDY,RAJAMPET,4,IND,M,ANDHRA PRADESH,4183,367287,360546,710540,51.69
0.91,K. SADAVALA SUBBANNA,RAJAMPET,5,IND,M,ANDHRA PRADESH,3298,367287,360546,710540,51.69
0.75,S. NAGASESHAGIRI RAO,RAJAMPET,6,IND,M,ANDHRA PRADESH,2689,367287,360546,710540,51.69
0.64,T. KOTHANNA,RAJAMPET,7,IND,M,ANDHRA PRADESH,2295,367287,360546,710540,51.69
0.63,P. L. NARAYANA,RAJAMPET,8,IND,M,ANDHRA PRADESH,2274,367287,360546,710540,51.69
0.35,KOTLA GOPALAIAH,RAJAMPET,9,IND,M,ANDHRA PRADESH,1277,367287,360546,710540,51.69
50.88,K. OBUL REDDY,CUDDAPAH,1,INC(I),M,ANDHRA PRADESH,256204,512879,503497,774582,66.21
40.85,P. V. S. MURTHY,CUDDAPAH,2,JNP,M,ANDHRA PRADESH,205658,512879,503497,774582,66.21
5.05,P. RAGHUNATHA REDDY,CUDDAPAH,3,JNP(S),M,ANDHRA PRADESH,25415,512879,503497,774582,66.21
1.2,MATCHA CHINNA NARAYANA,CUDDAPAH,4,IND,M,ANDHRA PRADESH,6020,512879,503497,774582,66.21
0.85,NADENDLA BABA SAHEB,CUDDAPAH,5,IND,M,ANDHRA PRADESH,4269,512879,503497,774582,66.21
0.79,CHIDELLA KRISHNAIAH,CUDDAPAH,6,IND,M,ANDHRA PRADESH,3965,512879,503497,774582,66.21
0.39,M. VENKATARAMANA,CUDDAPAH,7,IND,M,ANDHRA PRADESH,1966,512879,503497,774582,66.21
58.88,P. BAYAPA REDDY,HINDUPUR,1,INC(I),M,ANDHRA PRADESH,172401,298910,292811,713647,41.88
32.09,K. RAMA CHANDRA REDDI,HINDUPUR,2,JNP,M,ANDHRA PRADESH,93962,298910,292811,713647,41.88
6.83,T. NARASAIAH,HINDUPUR,3,JNP(S),M,ANDHRA PRADESH,20000,298910,292811,713647,41.88
0.94,G. R. RANGANADHAIAH,HINDUPUR,4,IND,M,ANDHRA PRADESH,2767,298910,292811,713647,41.88
0.68,V. V. N. ACHAR,HINDUPUR,5,IND,M,ANDHRA PRADESH,1989,298910,292811,713647,41.88
0.58,T. VENKATASWAMY,HINDUPUR,6,IND,M,ANDHRA PRADESH,1692,298910,292811,713647,41.88
49.28,DARUR PULLAIAH,ANANTAPUR,1,INC(I),M,ANDHRA PRADESH,171838,357991,348722,714608,50.1
28.26,D. NARAYANASWMY,ANANTAPUR,2,JNP,M,ANDHRA PRADESH,98561,357991,348722,714608,50.1
21.98,N. RAJASEKHARA REDDY,ANANTAPUR,3,CPI,M,ANDHRA PRADESH,76649,357991,348722,714608,50.1
0.48,Y. NARRAYANA REDDY,ANANTAPUR,4,IND,M,ANDHRA PRADESH,1674,357991,348722,714608,50.1
77.53,K. VIJAYABHASKARA REDDI,KURNOOL,1,INC(I),M,ANDHRA PRADESH,231889,306276,299088,679063,45.1
9.04,NASIR AHMED,KURNOOL,2,JNP,M,ANDHRA PRADESH,27040,306276,299088,679063,45.1
5.91,K. VENKATA SWAMY,KURNOOL,3,JNP(S),M,ANDHRA PRADESH,17678,306276,299088,679063,45.1
4.36,P. MALLIKARJUNA SASTRI,KURNOOL,4,IND,M,ANDHRA PRADESH,13048,306276,299088,679063,45.1
1.28,GHULAM HUSSAIN,KURNOOL,5,IND,M,ANDHRA PRADESH,3825,306276,299088,679063,45.1
1.06,K. NEELAKANTA REDDY,KURNOOL,6,IND,M,ANDHRA PRADESH,3184,306276,299088,679063,45.1
0.63,ISSAC N.,KURNOOL,7,IND,M,ANDHRA PRADESH,1889,306276,299088,679063,45.1
0.18,M. ABBAS ALI,KURNOOL,8,IND,M,ANDHRA PRADESH,535,306276,299088,679063,45.1
55.78,P. VENKATA SUBBAIAH,NANDYAL,1,INC(I),M,ANDHRA PRADESH,219606,405934,393670,737527,55.04
35.87,ASIF PASHA,NANDYAL,2,INC(U),M,ANDHRA PRADESH,141228,405934,393670,737527,55.04
3.41,PENTRALA SUBBA RAO,NANDYAL,3,IND,M,ANDHRA PRADESH,13424,405934,393670,737527,55.04
2.2,N. VENKATA SUBBAIAH,NANDYAL,4,IND,M,ANDHRA PRADESH,8677,405934,393670,737527,55.04
2.2,S. PEDDA SANKARA REDDY,NANDYAL,5,IND,M,ANDHRA PRADESH,8675,405934,393670,737527,55.04
0.52,A. SULTAN MOHIDDIN,NANDYAL,6,IND,M,ANDHRA PRADESH,2060,405934,393670,737527,55.04
63.03,ANANTHARAMULU MALLU,NAGARKURNOOL (SC),1,INC(I),M,ANDHRA PRADESH,230364,377932,365470,717014,52.71
22.0,M. BHEESHAMDEV,NAGARKURNOOL (SC),2,JNP,M,ANDHRA PRADESH,80405,377932,365470,717014,52.71
11.76,BENDI PARSURAMULU,NAGARKURNOOL (SC),3,JNP(S),M,ANDHRA PRADESH,42989,377932,365470,717014,52.71
2.23,S. B. RAMESH BABU,NAGARKURNOOL (SC),4,IND,M,ANDHRA PRADESH,8133,377932,365470,717014,52.71
0.98,P. SAYANNA,NAGARKURNOOL (SC),5,IND,M,ANDHRA PRADESH,3579,377932,365470,717014,52.71
65.55,MALLIKARJUN,MAHABUBNAGAR,1,INC(I),M,ANDHRA PRADESH,241665,383142,368660,735834,52.07
24.14,J. RAMESHWAR RAO,MAHABUBNAGAR,2,INC(U),M,ANDHRA PRADESH,89004,383142,368660,735834,52.07
3.63,BALAKISTAIAH,MAHABUBNAGAR,3,BSP,M,ANDHRA PRADESH,13380,383142,368660,735834,52.07
2.85,MOHAN REDDY,MAHABUBNAGAR,4,IND,M,ANDHRA PRADESH,10506,383142,368660,735834,52.07
2.18,M. NARAYAN,MAHABUBNAGAR,5,IND,M,ANDHRA PRADESH,8034,383142,368660,735834,52.07
1.65,C. KISTAPPA,MAHABUBNAGAR,6,IND,M,ANDHRA PRADESH,6071,383142,368660,735834,52.07
39.24,K.S. NARAYANA,HYDERABAD,1,INC(I),M,ANDHRA PRADESH,166868,439388,425238,692650,63.44
31.82,ALE NARENDRA,HYDERABAD,2,JNP,M,ANDHRA PRADESH,135304,439388,425238,692650,63.44
26.37,MODH. AMANULLAH KHAN,HYDERABAD,3,IND,M,ANDHRA PRADESH,112132,439388,425238,692650,63.44
1.44,MALADI VENKATA SUBBAMMA,HYDERABAD,4,IND,F,ANDHRA PRADESH,6129,439388,425238,692650,63.44
0.93,J. B.MUTHYAL RAO,HYDERABAD,5,INC(U),M,ANDHRA PRADESH,3966,439388,425238,692650,63.44
0.2,RAJARAM SHASTRY,HYDERABAD,6,RRP,M,ANDHRA PRADESH,839,439388,425238,692650,63.44
49.58,P. SHIV SHANKER,SECUNDERABAD,1,INC(I),M,ANDHRA PRADESH,186238,383890,375602,845037,45.43
41.99,M. SREEDHAR REDDY,SECUNDERABAD,2,JNP,M,ANDHRA PRADESH,157715,383890,375602,845037,45.43
4.69,Y.SIVARAMA SASTRY,SECUNDERABAD,3,JNP(S),M,ANDHRA PRADESH,17598,383890,375602,845037,45.43
1.14,M.M. JAHANGIR ALI,SECUNDERABAD,4,IND,M,ANDHRA PRADESH,4286,383890,375602,845037,45.43
0.43,M. SOJEE,SECUNDERABAD,5,IND,M,ANDHRA PRADESH,1623,383890,375602,845037,45.43
0.42,CHINTA SUBBA RAO,SECUNDERABAD,6,IND,M,ANDHRA PRADESH,1591,383890,375602,845037,45.43
0.33,CHUNDI JAGANNATHAM,SECUNDERABAD,7,IND,M,ANDHRA PRADESH,1226,383890,375602,845037,45.43
0.26,DANNULAL AHIR,SECUNDERABAD,8,IND,M,ANDHRA PRADESH,958,383890,375602,845037,45.43
0.2,S. NANAK SINGH SANDHU,SECUNDERABAD,9,IND,M,ANDHRA PRADESH,757,383890,375602,845037,45.43
0.2,B. R. CHANDRAIAH,SECUNDERABAD,10,IND,M,ANDHRA PRADESH,750,383890,375602,845037,45.43
0.16,B. G. KESKER,SECUNDERABAD,11,IND,M,ANDHRA PRADESH,597,383890,375602,845037,45.43
0.15,N. V. K. S. SOMESWAR RAO,SECUNDERABAD,12,IND,M,ANDHRA PRADESH,578,383890,375602,845037,45.43
0.13,OSMAN BIN SALEH,SECUNDERABAD,13,IND,M,ANDHRA PRADESH,475,383890,375602,845037,45.43
0.11,K. V. BHANU PRAKASH,SECUNDERABAD,14,IND,M,ANDHRA PRADESH,421,383890,375602,845037,45.43
0.08,HARE RAMA D.V.S.S. MURTHY,SECUNDERABAD,15,IND,M,ANDHRA PRADESH,285,383890,375602,845037,45.43
0.07,NARAYANA,SECUNDERABAD,16,IND,M,ANDHRA PRADESH,259,383890,375602,845037,45.43
0.07,SWAMY T.S. DEVE ANAND,SECUNDERABAD,17,IND,M,ANDHRA PRADESH,245,383890,375602,845037,45.43
78.15,NANDI YELLAIAH,SIDDIPET (SC),1,INC(I),M,ANDHRA PRADESH,247670,327242,316933,744000,43.98
17.4,BABU RAO,SIDDIPET (SC),2,JNP(S),M,ANDHRA PRADESH,55138,327242,316933,744000,43.98
4.46,MANNE BALAIAH,SIDDIPET (SC),3,IND,M,ANDHRA PRADESH,14125,327242,316933,744000,43.98
67.93,INDIRA GANDHI,MEDAK,1,INC(I),F,ANDHRA PRADESH,301577,458263,443934,724930,63.21
18.57,S. JAIPAL REDDY,MEDAK,2,JNP,M,ANDHRA PRADESH,82453,458263,443934,724930,63.21
5.89,KESAVA RAO JADAV,MEDAK,3,JNP(S),M,ANDHRA PRADESH,26149,458263,443934,724930,63.21
3.48,GANTA BABU,MEDAK,4,IND,M,ANDHRA PRADESH,15456,458263,443934,724930,63.21
1.47,SAKUNTALA DEVI,MEDAK,5,IND,F,ANDHRA PRADESH,6514,458263,443934,724930,63.21
1.12,K. VENKATSAM,MEDAK,6,IND,M,ANDHRA PRADESH,4970,458263,443934,724930,63.21
0.55,P. V.RAJESWAR RAO,MEDAK,7,IND,M,ANDHRA PRADESH,2441,458263,443934,724930,63.21
0.38,M. LAKSHMI NARAYANA RAO,MEDAK,8,IND,M,ANDHRA PRADESH,1704,458263,443934,724930,63.21
0.32,SARDAR JAGAT SINGH,MEDAK,9,IND,M,ANDHRA PRADESH,1430,458263,443934,724930,63.21
