%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
49.33,RAJAGOPALARAO BODDEPALLI,SRIKAKULAM,1,INC(I),M,ANDHRA PRADESH,197336,411259,400066,647603,63.5
29.58,GOUTHU LATCHANNA,SRIKAKULAM,2,JNP(S),M,ANDHRA PRADESH,118347,411259,400066,647603,63.5
10.8,MAJJI NARAYANA RAO,SRIKAKULAM,3,JNP,M,ANDHRA PRADESH,43205,411259,400066,647603,63.5
5.07,METTA JAGGU BHATLU,SRIKAKULAM,4,IND,M,ANDHRA PRADESH,20275,411259,400066,647603,63.5
3.15,MAJJI SRIRAMULU,SRIKAKULAM,5,IND,M,ANDHRA PRADESH,12619,411259,400066,647603,63.5
1.26,BOMPALLI RAMANNA,SRIKAKULAM,6,IND,M,ANDHRA PRADESH,5042,411259,400066,647603,63.5
0.81,VENKATARAMANA CHODI PILLI,SRIKAKULAM,7,IND,M,ANDHRA PRADESH,3242,411259,400066,647603,63.5
49.03,K.C.SURYANARAYANA DEO VYRICHERLA,PARVATHIPURAM (ST),1,INC(U),M,ANDHRA PRADESH,173179,363668,353210,619702,58.68
44.84,NARSIMHA RAO VISWASRAI,PARVATHIPURAM (ST),2,INC(I),M,ANDHRA PRADESH,158379,363668,353210,619702,58.68
6.13,ARIKA GUMPASWAMY,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,21652,363668,353210,619702,58.68
64.34,P.V.GAJAPATHI RAJU,BOBBILI,1,INC(I),M,ANDHRA PRADESH,189163,300608,294023,651967,46.11
17.36,GEDELA PRASADA RAO,BOBBILI,2,JNP,M,ANDHRA PRADESH,51037,300608,294023,651967,46.11
11.91,YALLA SESIBHUSHANA RAO,BOBBILI,3,JNP(S),M,ANDHRA PRADESH,35021,300608,294023,651967,46.11
2.87,GOTTAPU APPALANAIDU,BOBBILI,4,IND,M,ANDHRA PRADESH,8431,300608,294023,651967,46.11
2.06,RAMABHADRARAJU PAKALAPATI,BOBBILI,5,IND,M,ANDHRA PRADESH,6051,300608,294023,651967,46.11
1.47,APPARAO GUDIVADA,BOBBILI,6,IND,M,ANDHRA PRADESH,4320,300608,294023,651967,46.11
50.5,APPALASWAMY KOMMURU,VISAKHAPATNAM,1,INC(I),M,ANDHRA PRADESH,206581,422972,409037,723703,58.45
42.04,BHATTAM SRIRAMA MURTHY,VISAKHAPATNAM,2,INC(U),M,ANDHRA PRADESH,171946,422972,409037,723703,58.45
3.93,NIDADAVOLU RAMAKRISHNA RAJU,VISAKHAPATNAM,3,IND,M,ANDHRA PRADESH,16072,422972,409037,723703,58.45
3.53,BONU LAKSHAMANA RAO,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,14438,422972,409037,723703,58.45
53.35,B.RADHABAI ANANDA RAO,BHADRACHALAM (ST),1,INC(I),F,ANDHRA PRADESH,147534,286010,276536,669348,42.73
28.64,KARAM CHANDRAIAH,BHADRACHALAM (ST),2,CPI,M,ANDHRA PRADESH,79208,286010,276536,669348,42.73
9.68,RATNABAI TADAPATLA,BHADRACHALAM (ST),3,JNP,F,ANDHRA PRADESH,26760,286010,276536,669348,42.73
3.65,KARAM BAPPANNA DORA,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,10090,286010,276536,669348,42.73
2.61,K.P.SHANTI RAJU,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,7212,286010,276536,669348,42.73
2.07,ALAM LAKSHMAIAH,BHADRACHALAM (ST),6,IND,M,ANDHRA PRADESH,5732,286010,276536,669348,42.73
46.89,APPALA NAIDU S.R.A.S,ANAKAPALLI,1,INC(I),M,ANDHRA PRADESH,178139,392743,379869,702428,55.91
39.23,ANAND GAJAPATHI RAJU PUSAPATI,ANAKAPALLI,2,JNP(S),M,ANDHRA PRADESH,149016,392743,379869,702428,55.91
2.86,PERI SRIRAMA MURTHY,ANAKAPALLI,3,IND,M,ANDHRA PRADESH,10849,392743,379869,702428,55.91
1.98,KOYILADA NUKA RAJU,ANAKAPALLI,4,IND,M,ANDHRA PRADESH,7535,392743,379869,702428,55.91
1.98,PULIBANTI PEDAKOTIPALLI,ANAKAPALLI,5,IND,M,ANDHRA PRADESH,7532,392743,379869,702428,55.91
1.6,D.C.RAJU,ANAKAPALLI,6,IND,M,ANDHRA PRADESH,6088,392743,379869,702428,55.91
1.51,SALLA CHINTHALLI,ANAKAPALLI,7,IND,F,ANDHRA PRADESH,5751,392743,379869,702428,55.91
1.35,K.V.RAMESAM,ANAKAPALLI,8,IND,M,ANDHRA PRADESH,5140,392743,379869,702428,55.91
0.91,SAMALA CHINNAYYA DORA,ANAKAPALLI,9,IND,M,ANDHRA PRADESH,3461,392743,379869,702428,55.91
0.85,SRI BALA SIVA YAGI,ANAKAPALLI,10,IND,M,ANDHRA PRADESH,3239,392743,379869,702428,55.91
0.82,MADANA VEERANNA,ANAKAPALLI,11,IND,M,ANDHRA PRADESH,3119,392743,379869,702428,55.91
61.93,SANJEEVI RAO M.S.,KAKINADA,1,INC(I),M,ANDHRA PRADESH,242901,401031,392214,741257,54.1
20.38,VADDI MUTYALA RAO,KAKINADA,2,JNP,M,ANDHRA PRADESH,79924,401031,392214,741257,54.1
9.01,MULASA SURYANARAYANA,KAKINADA,3,JNP(S),M,ANDHRA PRADESH,35353,401031,392214,741257,54.1
2.95,BANDILI MOSES,KAKINADA,4,IND,M,ANDHRA PRADESH,11568,401031,392214,741257,54.1
1.25,APPARI UMMAMAHESWARA RAO,KAKINADA,5,IND,M,ANDHRA PRADESH,4913,401031,392214,741257,54.1
1.15,BEDAMPUDI SATTEYYA,KAKINADA,6,IND,M,ANDHRA PRADESH,4496,401031,392214,741257,54.1
1.14,SEETHARAMARAJU SARIPELLA,KAKINADA,7,IND,M,ANDHRA PRADESH,4478,401031,392214,741257,54.1
0.98,CHINTA SUBBA RAO,KAKINADA,8,IND,M,ANDHRA PRADESH,3859,401031,392214,741257,54.1
0.88,GURRAM KAMESWA RAO,KAKINADA,9,IND,M,ANDHRA PRADESH,3459,401031,392214,741257,54.1
0.32,MOHAMMED AHMED ALI,KAKINADA,10,IND,M,ANDHRA PRADESH,1263,401031,392214,741257,54.1
53.18,S.B.P.PATTABHI RAMA RAO,RAJAHMUNDRY,1,INC(I),M,ANDHRA PRADESH,249377,477868,468918,756814,63.14
27.91,GADAM KAMALADEVI,RAJAHMUNDRY,2,INC(U),F,ANDHRA PRADESH,130886,477868,468918,756814,63.14
12.73,KANTIPUDI RAMA RAO,RAJAHMUNDRY,3,JNP,M,ANDHRA PRADESH,59704,477868,468918,756814,63.14
2.14,CHANDRAMALLA RAJU,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,10043,477868,468918,756814,63.14
1.86,CHINTA SUBBA RAO,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,8707,477868,468918,756814,63.14
1.09,KATAMRAJU VARREY,RAJAHMUNDRY,6,IND,M,ANDHRA PRADESH,5099,477868,468918,756814,63.14
0.46,M.S.CH. PATTIABHI RAMA RAO,RAJAHMUNDRY,7,IND,M,ANDHRA PRADESH,2177,477868,468918,756814,63.14
0.43,PUTCHALA CHINNAIAL,RAJAHMUNDRY,8,IND,M,ANDHRA PRADESH,2003,477868,468918,756814,63.14
0.2,PENTAIAL SEELI,RAJAHMUNDRY,9,IND,M,ANDHRA PRADESH,922,477868,468918,756814,63.14
61.63,KUSUMA KRISHNAMURTHI,AMALAPURAM (SC),1,INC(I),M,ANDHRA PRADESH,244283,404468,396357,668727,60.48
31.08,ISWARI BAI,AMALAPURAM (SC),2,JNP,F,ANDHRA PRADESH,123193,404468,396357,668727,60.48
5.23,BONTHU VENKATESWARA RAO,AMALAPURAM (SC),3,INC(U),M,ANDHRA PRADESH,20725,404468,396357,668727,60.48
2.06,JANGA SRINIVASA RAO,AMALAPURAM (SC),4,IND,M,ANDHRA PRADESH,8156,404468,396357,668727,60.48
61.56,ALLURI SUBHASCHANDRA BOSE,NARASAPUR,1,INC(I),M,ANDHRA PRADESH,272124,450207,442053,721681,62.38
25.82,UDDARAJU RAMAM,NARASAPUR,2,CPM,M,ANDHRA PRADESH,114156,450207,442053,721681,62.38
11.1,GUDIMETLA VERAHALA REDDY,NARASAPUR,3,JNP,M,ANDHRA PRADESH,49062,450207,442053,721681,62.38
0.89,DOSA VENKATARAMANA RAO,NARASAPUR,4,IND,M,ANDHRA PRADESH,3930,450207,442053,721681,62.38
0.63,MADDALA VEERASWAMY,NARASAPUR,5,IND,M,ANDHRA PRADESH,2781,450207,442053,721681,62.38
59.15,CHITTOORI SUBBARAO CHOWDARY,ELURU,1,INC(I),NA,ANDHRA PRADESH,266805,459574,451083,732089,62.78
18.5,K.SURYANARAYANA,ELURU,2,JNP,M,ANDHRA PRADESH,83470,459574,451083,732089,62.78
18.04,KAPARDE M.V.N.,ELURU,3,CPI,M,ANDHRA PRADESH,81390,459574,451083,732089,62.78
1.28,KRISHNAMURTHY YEERANKI,ELURU,4,IND,M,ANDHRA PRADESH,5768,459574,451083,732089,62.78
1.06,PAYYATI VENKATESHWARA VAIDYA,ELURU,5,IND,M,ANDHRA PRADESH,4760,459574,451083,732089,62.78
0.97,CHAKKA SREERAMULU,ELURU,6,IND,M,ANDHRA PRADESH,4364,459574,451083,732089,62.78
0.53,M.KRISHNAMOHANA RAO THAMMAREDDY,ELURU,7,IND,M,ANDHRA PRADESH,2395,459574,451083,732089,62.78
0.29,MOHD. SHERIFF,ELURU,8,IND,M,ANDHRA PRADESH,1319,459574,451083,732089,62.78
0.18,VASE RAMA RAO,ELURU,9,IND,M,ANDHRA PRADESH,812,459574,451083,732089,62.78
53.93,ANKINEEDU MAGANTI,MACHILIPATNAM,1,INC(I),M,ANDHRA PRADESH,249444,471816,462556,702268,67.18
24.89,BURAGADDA NIRANJANA RAO,MACHILIPATNAM,2,JNP,M,ANDHRA PRADESH,115108,471816,462556,702268,67.18
19.77,K.DURGAPRASAD PARIMKAYALA,MACHILIPATNAM,3,JNP(S),M,ANDHRA PRADESH,91438,471816,462556,702268,67.18
0.92,NUTAKKI RAMABRAHMAM,MACHILIPATNAM,4,IND,M,ANDHRA PRADESH,4235,471816,462556,702268,67.18
0.5,VENKATASWAMY KOONATI,MACHILIPATNAM,5,IND,M,ANDHRA PRADESH,2331,471816,462556,702268,67.18
46.39,VIDYA CHENNUPATI,VIJAYAWADA,1,INC(I),F,ANDHRA PRADESH,240622,528323,518666,765506,69.02
27.36,K.L.RAO,VIJAYAWADA,2,JNP,M,ANDHRA PRADESH,141920,528323,518666,765506,69.02
24.89,DASARI NAGABHUSHANA RAO,VIJAYAWADA,3,CPI,M,ANDHRA PRADESH,129074,528323,518666,765506,69.02
0.71,ALASAPURI RAJAIAH,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,3704,528323,518666,765506,69.02
0.36,VELAMARTHI SIKHAMANI,VIJAYAWADA,5,IND,M,ANDHRA PRADESH,1868,528323,518666,765506,69.02
0.28,C.PURNACHANDRA RAO,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,1478,528323,518666,765506,69.02
48.62,MEDURI NAGESWARA RAO,TENALI,1,INC(I),M,ANDHRA PRADESH,214807,449548,441764,705166,63.75
32.7,LAVU BALAGANGADHARA RAO,TENALI,2,CPM,M,ANDHRA PRADESH,144457,449548,441764,705166,63.75
15.15,ADAMS KONDAMUDI,TENALI,3,JNP,M,ANDHRA PRADESH,66922,449548,441764,705166,63.75
1.28,KAMURU KOTI REDDY,TENALI,4,IND,M,ANDHRA PRADESH,5675,449548,441764,705166,63.75
1.23,CHOPPARA SADHU,TENALI,5,IND,M,ANDHRA PRADESH,5455,449548,441764,705166,63.75
1.01,BALLARAPU RAJA RAO,TENALI,6,IND,M,ANDHRA PRADESH,4448,449548,441764,705166,63.75
57.6,N. G. RANGA,GUNTUR,1,INC(I),M,ANDHRA PRADESH,252961,449094,439166,841689,53.36
21.77,K. SADASIVA RAO,GUNTUR,2,JNP(S),M,ANDHRA PRADESH,95625,449094,439166,841689,53.36
17.72,G. KRISHNA KUMARI,GUNTUR,3,JNP,F,ANDHRA PRADESH,77813,449094,439166,841689,53.36
1.38,VENKATAREDDY KOLLI,GUNTUR,4,IND,M,ANDHRA PRADESH,6081,449094,439166,841689,53.36
1.11,D. SATYANARAYANA MURTHY,GUNTUR,5,IND,M,ANDHRA PRADESH,4885,449094,439166,841689,53.36
0.41,VELAGA ANKAMMA RAO,GUNTUR,6,IND,M,ANDHRA PRADESH,1801,449094,439166,841689,53.36
53.99,ANKINEEDU PRASADA RAO PAMULAPATI,BAPATLA,1,INC(I),M,ANDHRA PRADESH,258116,489114,478088,762427,64.15
22.25,SAMBAIAH PALLAPROLU,BAPATLA,2,JNP(S),M,ANDHRA PRADESH,106375,489114,478088,762427,64.15
20.71,PRAGADA KOTAIAH,BAPATLA,3,JNP,M,ANDHRA PRADESH,99024,489114,478088,762427,64.15
1.57,KALVA VARADARAJULU,BAPATLA,4,IND,M,ANDHRA PRADESH,7517,489114,478088,762427,64.15
0.81,SESHA BRAMHACHARI RAVURI,BAPATLA,5,IND,M,ANDHRA PRADESH,3889,489114,478088,762427,64.15
