%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
0.09,KANNA VENKATESWARA RAO,VIJAYAWADA,10,IND,M,ANDHRA PRADESH,587,633492,623913,864150,73.31
0.09,M.SETHARAMAYYA,VIJAYAWADA,11,IND,M,ANDHRA PRADESH,579,633492,623913,864150,73.31
50.25,NISSANKARARAO VENKATARATNAM,TENALI,1,TDP,M,ANDHRA PRADESH,256766,518765,510954,731629,70.91
48.21,BASAV PUNNAYYA SINGAM,TENALI,2,INC,M,ANDHRA PRADESH,246328,518765,510954,731629,70.91
0.53,VIJAYA KUMAR GURRAM,TENALI,3,IND,M,ANDHRA PRADESH,2716,518765,510954,731629,70.91
0.39,KURRI VENKATA REDDY,TENALI,4,IND,M,ANDHRA PRADESH,1992,518765,510954,731629,70.91
0.25,RATHAREDDY BATHULA,TENALI,5,IND,M,ANDHRA PRADESH,1294,518765,510954,731629,70.91
0.2,NALLAYYA KATARI,TENALI,6,IND,M,ANDHRA PRADESH,1040,518765,510954,731629,70.91
0.09,KANNA VENKATESWARA RAO,TENALI,7,IND,M,ANDHRA PRADESH,442,518765,510954,731629,70.91
0.07,AMIRINENI VEERA RAGHAVAIAH,TENALI,8,IND,M,ANDHRA PRADESH,376,518765,510954,731629,70.91
49.52,N.G.RANGA,GUNTUR,1,INC,M,ANDHRA PRADESH,293589,604181,592866,896875,67.37
47.51,CHANDRASKHARA RAO MOVVA,GUNTUR,2,TDP,M,ANDHRA PRADESH,281695,604181,592866,896875,67.37
1.25,PAGGADALA NAGESWARA RAO,GUNTUR,3,IND,M,ANDHRA PRADESH,7405,604181,592866,896875,67.37
0.45,KANNA SURYANARAYANA,GUNTUR,4,IND,M,ANDHRA PRADESH,2669,604181,592866,896875,67.37
0.38,PUPPALLA PERUMALLU,GUNTUR,5,IND,M,ANDHRA PRADESH,2249,604181,592866,896875,67.37
0.26,YEDDU BHASKARA RAO,GUNTUR,6,IND,M,ANDHRA PRADESH,1531,604181,592866,896875,67.37
0.2,JANAMALA BRAMAIAH,GUNTUR,7,IND,M,ANDHRA PRADESH,1183,604181,592866,896875,67.37
0.18,EEDARA VENKATASUBBA REDDY,GUNTUR,8,IND,M,ANDHRA PRADESH,1058,604181,592866,896875,67.37
0.15,KANCHERLA NAGESWARA RAO,GUNTUR,9,IND,M,ANDHRA PRADESH,884,604181,592866,896875,67.37
0.1,GANGADHARAKOTESWARA RAO DIDUGU,GUNTUR,10,IND,M,ANDHRA PRADESH,603,604181,592866,896875,67.37
52.14,CHIMATA SAMBU,BAPATLA,1,TDP,M,ANDHRA PRADESH,290492,566622,557115,817197,69.34
45.96,RAJESWARA RAO MADDIRALA,BAPATLA,2,INC,M,ANDHRA PRADESH,256072,566622,557115,817197,69.34
0.38,KOTAMRAJU CHALLAGALI,BAPATLA,3,IND,M,ANDHRA PRADESH,2111,566622,557115,817197,69.34
0.34,RONDA SURYANARAYANA REDDY,BAPATLA,4,IND,M,ANDHRA PRADESH,1870,566622,557115,817197,69.34
0.3,DAGGUBATI CHOWDARI,BAPATLA,5,IND,M,ANDHRA PRADESH,1673,566622,557115,817197,69.34
0.22,HARIBABU RAYANA,BAPATLA,6,IND,M,ANDHRA PRADESH,1227,566622,557115,817197,69.34
0.22,THANNIRU VENKATESWARA RAO,BAPATLA,7,IND,M,ANDHRA PRADESH,1207,566622,557115,817197,69.34
0.14,WAYIDULA BAIG,BAPATLA,8,IND,M,ANDHRA PRADESH,790,566622,557115,817197,69.34
0.14,POTHINI VENKATADRI,BAPATLA,9,IND,M,ANDHRA PRADESH,766,566622,557115,817197,69.34
0.11,KOTHA SREEKRISHNA,BAPATLA,10,IND,M,ANDHRA PRADESH,604,566622,557115,817197,69.34
0.05,BAPIREDDY CHINNA CHENNAREDDY,BAPATLA,11,IND,M,ANDHRA PRADESH,303,566622,557115,817197,69.34
49.87,KATURI NARAYANASWAMY,NARASARAOPET,1,TDP,M,ANDHRA PRADESH,295059,602458,591714,884798,68.09
47.46,KASU BRAMANANDA REDDY,NARASARAOPET,2,INC,M,ANDHRA PRADESH,280821,602458,591714,884798,68.09
1.08,KARAMSETTY SRINIVASARAO,NARASARAOPET,3,IND,M,ANDHRA PRADESH,6416,602458,591714,884798,68.09
0.9,TRUPATIRAO JANAPATI,NARASARAOPET,4,IND,M,ANDHRA PRADESH,5351,602458,591714,884798,68.09
0.42,GANGINENI SAMBAIAH,NARASARAOPET,5,IND,M,ANDHRA PRADESH,2494,602458,591714,884798,68.09
0.27,MOHAMMED MOHIDDIN,NARASARAOPET,6,IND,M,ANDHRA PRADESH,1573,602458,591714,884798,68.09
50.89,BEZAWADA PAPIREDDY,ONGOLE,1,TDP,M,ANDHRA PRADESH,287662,575585,565289,875403,65.75
47.68,VENKATA REDDY PULI,ONGOLE,2,INC,M,ANDHRA PRADESH,269519,575585,565289,875403,65.75
0.77,NALAM RAMAIAH,ONGOLE,3,IND,M,ANDHRA PRADESH,4379,575585,565289,875403,65.75
0.25,DATTATRAYA K.KANNAIAH,ONGOLE,4,IND,M,ANDHRA PRADESH,1390,575585,565289,875403,65.75
0.23,IRUKUMATI CHINA KONDAIAH,ONGOLE,5,IND,M,ANDHRA PRADESH,1328,575585,565289,875403,65.75
0.18,SHAIK ABBAS,ONGOLE,6,IND,M,ANDHRA PRADESH,1011,575585,565289,875403,65.75
54.09,PENCHALAIAH PUCHALAPALLI,NELLORE (SC),1,TDP,M,ANDHRA PRADESH,296284,559612,547786,858523,65.18
44.31,OREPALLI VENKATA SUBBAIAH,NELLORE (SC),2,INC,M,ANDHRA PRADESH,242733,559612,547786,858523,65.18
1.04,BILLA DASS,NELLORE (SC),3,IND,M,ANDHRA PRADESH,5690,559612,547786,858523,65.18
0.28,YANATI SANKARAIAH,NELLORE (SC),4,IND,M,ANDHRA PRADESH,1550,559612,547786,858523,65.18
0.28,L. ASEERVADAM,NELLORE (SC),5,IND,M,ANDHRA PRADESH,1529,559612,547786,858523,65.18
52.89,CHINTA MOHAN,TIRUPATHI (SC),1,TDP,M,ANDHRA PRADESH,318467,615351,602153,863056,71.3
47.11,PENCHALAIAH PASALA,TIRUPATHI (SC),2,INC,M,ANDHRA PRADESH,283686,615351,602153,863056,71.3
54.54,N.P.JHANSI LAKSHMI,CHITTOOR,1,TDP,F,ANDHRA PRADESH,332543,622020,609686,815085,76.31
44.5,AMARANADHA REDDY NALLARI,CHITTOOR,2,INC,M,ANDHRA PRADESH,271332,622020,609686,815085,76.31
0.57,DEGALA KRISHNIAH,CHITTOOR,3,IND,M,ANDHRA PRADESH,3495,622020,609686,815085,76.31
0.38,N. RAJAPPA,CHITTOOR,4,IND,M,ANDHRA PRADESH,2316,622020,609686,815085,76.31
60.37,PALAKONDRAYUDU SUGAVASI,RAJAMPET,1,TDP,M,ANDHRA PRADESH,298060,502894,493737,776829,64.74
36.64,A.SAI PRATHAP,RAJAMPET,2,INC,M,ANDHRA PRADESH,180913,502894,493737,776829,64.74
0.76,PALAGIRI PREMCHAND BABU,RAJAMPET,3,IND,M,ANDHRA PRADESH,3743,502894,493737,776829,64.74
0.68,D.MAHABOOB KHAN,RAJAMPET,4,IND,M,ANDHRA PRADESH,3343,502894,493737,776829,64.74
0.64,G.JABBAR KHAN,RAJAMPET,5,IND,M,ANDHRA PRADESH,3142,502894,493737,776829,64.74
0.5,SAIK ABDUL SALAM,RAJAMPET,6,IND,M,ANDHRA PRADESH,2450,502894,493737,776829,64.74
0.28,P.MOHAN REDDY,RAJAMPET,7,IND,M,ANDHRA PRADESH,1372,502894,493737,776829,64.74
0.14,ASADI VENKATADRI,RAJAMPET,8,IND,M,ANDHRA PRADESH,714,502894,493737,776829,64.74
52.11,D.N.REDDY,CUDDAPAH,1,TDP,M,ANDHRA PRADESH,332915,649290,638866,890757,72.89
43.61,OBULA REDDY KANDULA,CUDDAPAH,2,INC,M,ANDHRA PRADESH,278607,649290,638866,890757,72.89
1.91,KARUMULA RANGAMMA REDDY,CUDDAPAH,3,IND,F,ANDHRA PRADESH,12222,649290,638866,890757,72.89
0.4,KANDULA RAJAGOPALA REDDY,CUDDAPAH,4,IND,M,ANDHRA PRADESH,2547,649290,638866,890757,72.89
0.33,CHAVVA VENKATA CHALAMA REDDY,CUDDAPAH,5,IND,M,ANDHRA PRADESH,2139,649290,638866,890757,72.89
0.32,KAKARLA SUBBA REDDY,CUDDAPAH,6,IND,M,ANDHRA PRADESH,2046,649290,638866,890757,72.89
0.29,"RAMA MUNI REDDY, G.",CUDDAPAH,7,IND,M,ANDHRA PRADESH,1834,649290,638866,890757,72.89
0.27,MALLU VENKATA SWAMY REDDY,CUDDAPAH,8,IND,M,ANDHRA PRADESH,1710,649290,638866,890757,72.89
0.17,PONNERI MUNISWAMY,CUDDAPAH,9,IND,M,ANDHRA PRADESH,1116,649290,638866,890757,72.89
0.16,B.BALAIAH,CUDDAPAH,10,IND,M,ANDHRA PRADESH,1013,649290,638866,890757,72.89
0.15,GANUGAPENTA SIDDA REDDY,CUDDAPAH,11,IND,M,ANDHRA PRADESH,928,649290,638866,890757,72.89
0.13,M.RAJASEKHAR REDDY,CUDDAPAH,12,IND,M,ANDHRA PRADESH,800,649290,638866,890757,72.89
0.1,SHAIK RAHIM SAHEB,CUDDAPAH,13,IND,M,ANDHRA PRADESH,607,649290,638866,890757,72.89
0.06,K.C.MADDUIETI REDDY,CUDDAPAH,14,IND,M,ANDHRA PRADESH,382,649290,638866,890757,72.89
63.14,K. RAMACHANDRA REDDY,HINDUPUR,1,TDP,M,ANDHRA PRADESH,349239,567118,553108,790363,71.75
35.06,D. REDDAPPA REDDY,HINDUPUR,2,INC,M,ANDHRA PRADESH,193902,567118,553108,790363,71.75
0.73,M. MAQBOOL,HINDUPUR,3,IND,M,ANDHRA PRADESH,4043,567118,553108,790363,71.75
0.5,BALASUBRAMANYAM,HINDUPUR,4,IND,M,ANDHRA PRADESH,2749,567118,553108,790363,71.75
0.4,P. KAMAPPA,HINDUPUR,5,IND,M,ANDHRA PRADESH,2214,567118,553108,790363,71.75
0.17,Y. ANWAR SAB,HINDUPUR,6,IND,M,ANDHRA PRADESH,961,567118,553108,790363,71.75
59.14,DEVINENI NARAYANA SWAMY,ANANTAPUR,1,TDP,M,ANDHRA PRADESH,302307,522936,511203,798271,65.51
37.88,DARURU PULLAIAH,ANANTAPUR,2,INC,M,ANDHRA PRADESH,193658,522936,511203,798271,65.51
1.03,RENTALA SUDHAKARA GUPTA,ANANTAPUR,3,IND,M,ANDHRA PRADESH,5266,522936,511203,798271,65.51
0.35,JUTURU CHENNAPPA,ANANTAPUR,4,IND,M,ANDHRA PRADESH,1771,522936,511203,798271,65.51
0.31,M.SWAMI RAO,ANANTAPUR,5,IND,M,ANDHRA PRADESH,1575,522936,511203,798271,65.51
0.29,C.VENKATACHALAPATHI,ANANTAPUR,6,IND,M,ANDHRA PRADESH,1486,522936,511203,798271,65.51
0.23,LAKSHMI NARAYANA,ANANTAPUR,7,IND,M,ANDHRA PRADESH,1192,522936,511203,798271,65.51
0.21,MOTAPPA,ANANTAPUR,8,IND,M,ANDHRA PRADESH,1069,522936,511203,798271,65.51
0.16,M.USMAN,ANANTAPUR,9,IND,M,ANDHRA PRADESH,802,522936,511203,798271,65.51
0.13,BAGALOKOTA RAMA RAO,ANANTAPUR,10,IND,M,ANDHRA PRADESH,654,522936,511203,798271,65.51
0.13,YATAM NARAYANA REDDY,ANANTAPUR,11,IND,M,ANDHRA PRADESH,643,522936,511203,798271,65.51
0.09,S.CHINNAPPA SETTY,ANANTAPUR,12,IND,M,ANDHRA PRADESH,474,522936,511203,798271,65.51
0.06,ADAVULA NARAYANA,ANANTAPUR,13,IND,M,ANDHRA PRADESH,306,522936,511203,798271,65.51
49.94,ERASU AYYAPU REDDY,KURNOOL,1,TDP,M,ANDHRA PRADESH,253832,521508,508259,757612,68.84
48.51,KOTLA VIJAYA BHASKARA REDDY,KURNOOL,2,INC,M,ANDHRA PRADESH,246542,521508,508259,757612,68.84
0.7,Y.GURUDASU,KURNOOL,3,IND,M,ANDHRA PRADESH,3576,521508,508259,757612,68.84
0.51,P.BALABADRAIAH,KURNOOL,4,IND,M,ANDHRA PRADESH,2607,521508,508259,757612,68.84
0.19,M.VIJAYA RAJU,KURNOOL,5,IND,M,ANDHRA PRADESH,965,521508,508259,757612,68.84
0.15,SIMHADRI GANGADHARA SETTY,KURNOOL,6,IND,M,ANDHRA PRADESH,737,521508,508259,757612,68.84
54.14,MADDUR SUBBA REDDY,NANDYAL,1,TDP,M,ANDHRA PRADESH,298420,562293,551221,797893,70.47
45.02,PENDEKANTI VENKATA SUBBAIAH,NANDYAL,2,INC,M,ANDHRA PRADESH,248157,562293,551221,797893,70.47
0.47,R.RAMACHANDRA REDDY,NANDYAL,3,IND,M,ANDHRA PRADESH,2568,562293,551221,797893,70.47
0.21,PEERIGE NADIPI SUNKANNA,NANDYAL,4,IND,M,ANDHRA PRADESH,1147,562293,551221,797893,70.47
0.17,VALLURI GANAMMA,NANDYAL,5,IND,F,ANDHRA PRADESH,929,562293,551221,797893,70.47
57.67,V. TULSIRAM,NAGARKURNOOL (SC),1,TDP,M,ANDHRA PRADESH,301089,539610,522089,808999,66.7
40.6,ANANTHARAMULU MALLU,NAGARKURNOOL (SC),2,INC,M,ANDHRA PRADESH,211952,539610,522089,808999,66.7
1.73,NAGAIAH SOURI,NAGARKURNOOL (SC),3,IND,M,ANDHRA PRADESH,9048,539610,522089,808999,66.7
51.89,SUDINI JAIPAL REDDY,MAHABUBNAGAR,1,JNP,M,ANDHRA PRADESH,274064,544525,528152,845699,64.39
36.72,MALLIKARJUN,MAHABUBNAGAR,2,INC,M,ANDHRA PRADESH,193961,544525,528152,845699,64.39
6.2,MD. KAREEMUDDIN KHAN,MAHABUBNAGAR,3,IND,M,ANDHRA PRADESH,32733,544525,528152,845699,64.39
1.79,M.RANGA REDDY,MAHABUBNAGAR,4,IND,M,ANDHRA PRADESH,9472,544525,528152,845699,64.39
1.76,RAJPUT,MAHABUBNAGAR,5,IND,M,ANDHRA PRADESH,9296,544525,528152,845699,64.39
1.63,VENKATPATHI,MAHABUBNAGAR,6,IND,M,ANDHRA PRADESH,8626,544525,528152,845699,64.39
38.13,SULTAN SALAHUDDIN OWAISE,HYDERABAD,1,IND,M,ANDHRA PRADESH,222187,596666,582774,777353,76.76
37.53,K.PRAHBAKARA REDDY,HYDERABAD,2,TDP,M,ANDHRA PRADESH,218706,596666,582774,777353,76.76
22.35,V.HANUMANTH RAO,HYDERABAD,3,INC,M,ANDHRA PRADESH,130272,596666,582774,777353,76.76
0.55,M.YADAIAH,HYDERABAD,4,IND,M,ANDHRA PRADESH,3234,596666,582774,777353,76.76
0.47,SYED MOHD. PASHA QADRI,HYDERABAD,5,IND,M,ANDHRA PRADESH,2767,596666,582774,777353,76.76
0.4,RAJA RAM SHASTRY,HYDERABAD,6,IND,M,ANDHRA PRADESH,2339,596666,582774,777353,76.76
0.31,K.SESHA CHARY,HYDERABAD,7,IND,M,ANDHRA PRADESH,1792,596666,582774,777353,76.76
0.14,NAROTTAM LAL GUPTA,HYDERABAD,8,IND,M,ANDHRA PRADESH,806,596666,582774,777353,76.76
0.12,ABDUL HAKEEM,HYDERABAD,9,IND,M,ANDHRA PRADESH,671,596666,582774,777353,76.76
49.02,T.ANJAIAH,SECUNDERABAD,1,INC,M,ANDHRA PRADESH,246309,513429,502471,856674,59.93
47.33,BANDARU DATTAREYA,SECUNDERABAD,2,BJP,M,ANDHRA PRADESH,237835,513429,502471,856674,59.93
0.85,P.ANJAIAH,SECUNDERABAD,3,IND,M,ANDHRA PRADESH,4278,513429,502471,856674,59.93
0.49,B.YADAIAH,SECUNDERABAD,4,IND,M,ANDHRA PRADESH,2438,513429,502471,856674,59.93
0.29,CHUNIBHAI H.PATEL,SECUNDERABAD,5,IND,M,ANDHRA PRADESH,1479,513429,502471,856674,59.93
0.29,AGHA KHAN,SECUNDERABAD,6,IND,M,ANDHRA PRADESH,1469,513429,502471,856674,59.93
0.26,M.M.JAHANGIR ALI AZAD,SECUNDERABAD,7,IND,M,ANDHRA PRADESH,1303,513429,502471,856674,59.93
0.19,K.GOWRI SHANKAR,SECUNDERABAD,8,IND,M,ANDHRA PRADESH,947,513429,502471,856674,59.93
0.17,DANU VENU BABU,SECUNDERABAD,9,IND,M,ANDHRA PRADESH,870,513429,502471,856674,59.93
0.12,R.CHANDRAKANT,SECUNDERABAD,10,IND,M,ANDHRA PRADESH,621,513429,502471,856674,59.93
0.1,B.R.CHANDRAIAH,SECUNDERABAD,11,IND,M,ANDHRA PRADESH,496,513429,502471,856674,59.93
0.08,DHANNULAL AHIR,SECUNDERABAD,12,IND,M,ANDHRA PRADESH,407,513429,502471,856674,59.93
0.08,D.JAGDISH WAR,SECUNDERABAD,13,IND,M,ANDHRA PRADESH,387,513429,502471,856674,59.93
0.07,N.ANANTHA GOPAL RAO,SECUNDERABAD,14,IND,M,ANDHRA PRADESH,363,513429,502471,856674,59.93
0.07,K.RAM CHANDER,SECUNDERABAD,15,IND,M,ANDHRA PRADESH,359,513429,502471,856674,59.93
