%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
60.68,APPAYYADORA HANUMANTU,SRIKAKULAM,1,TDP,M,ANDHRA PRADESH,298167,503805,491364,692761,72.72
35.35,RAJGOPALARAO BODDEPALLI,SRIKAKULAM,2,INC,M,ANDHRA PRADESH,173699,503805,491364,692761,72.72
2.27,METTA JAGGUBHATLU,SRIKAKULAM,3,IND,M,ANDHRA PRADESH,11143,503805,491364,692761,72.72
1.32,BOMPALLI RAMANNA,SRIKAKULAM,4,IND,M,ANDHRA PRADESH,6485,503805,491364,692761,72.72
0.38,N.S.N. REDDY,SRIKAKULAM,5,IND,M,ANDHRA PRADESH,1870,503805,491364,692761,72.72
54.49,KISHORE CHANDRA SURYAMARAYANA DEO VYRICHERIA,PARVATHIPURAM (ST),1,ICS,M,ANDHRA PRADESH,233175,439168,427938,669060,65.64
43.11,NARASIMHA RAO VISWASA RAYI,PARVATHIPURAM (ST),2,INC,M,ANDHRA PRADESH,184495,439168,427938,669060,65.64
1.28,NIMMALA KRISHNAMURTY,PARVATHIPURAM (ST),3,IND,M,ANDHRA PRADESH,5474,439168,427938,669060,65.64
1.12,ARIKA GUMPA SWAMY,PARVATHIPURAM (ST),4,IND,M,ANDHRA PRADESH,4794,439168,427938,669060,65.64
61.95,ANAND GAJAPATHI RAJU POOSAPATI,BOBBILI,1,TDP,M,ANDHRA PRADESH,315156,524135,508750,702204,74.64
34.9,PENUMETCHA SAMBA SIVA RAJU,BOBBILI,2,INC,M,ANDHRA PRADESH,177573,524135,508750,702204,74.64
2.14,GOTTAPU APPAL NAIDU,BOBBILI,3,IND,M,ANDHRA PRADESH,10911,524135,508750,702204,74.64
1.0,BOTCHA RAMULU,BOBBILI,4,IND,M,ANDHRA PRADESH,5110,524135,508750,702204,74.64
61.1,BHATTAM SREERAMA MURTHY,VISAKHAPATNAM,1,TDP,M,ANDHRA PRADESH,334399,563836,547284,878786,64.16
35.44,APPALASWAMY KOMMURU ALIAS SANJEEVA RAO,VISAKHAPATNAM,2,INC,M,ANDHRA PRADESH,193968,563836,547284,878786,64.16
0.8,NARAYANA MURTHY PATRUDU SUKHAVASI,VISAKHAPATNAM,3,IND,M,ANDHRA PRADESH,4359,563836,547284,878786,64.16
0.71,ICCHAPURAPU VITTAL RAO,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,3863,563836,547284,878786,64.16
0.44,SHAKOOR BABU,VISAKHAPATNAM,5,IND,M,ANDHRA PRADESH,2398,563836,547284,878786,64.16
0.43,DEREDDI NARAYANA REDDY,VISAKHAPATNAM,6,IND,M,ANDHRA PRADESH,2365,563836,547284,878786,64.16
0.43,G.R.RAO,VISAKHAPATNAM,7,IND,M,ANDHRA PRADESH,2356,563836,547284,878786,64.16
0.24,SRI ADIBHATLA GOURI SANKARA SASTRY,VISAKHAPATNAM,8,IND,M,ANDHRA PRADESH,1329,563836,547284,878786,64.16
0.21,VYDULA VENKATA BABJEE RAO,VISAKHAPATNAM,9,IND,M,ANDHRA PRADESH,1139,563836,547284,878786,64.16
0.2,MAMIDI SOMUNAIDU,VISAKHAPATNAM,10,IND,M,ANDHRA PRADESH,1108,563836,547284,878786,64.16
50.3,SODE RAMAIAH,BHADRACHALAM (ST),1,CPI,M,ANDHRA PRADESH,195618,402058,388873,735992,54.63
43.97,B.RADHABAI ANANDARAO,BHADRACHALAM (ST),2,INC,F,ANDHRA PRADESH,170978,402058,388873,735992,54.63
4.7,BAPANNA DORA KARAM,BHADRACHALAM (ST),3,IND,M,ANDHRA PRADESH,18267,402058,388873,735992,54.63
1.03,ALAM LAKSHMAYYA,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,4010,402058,388873,735992,54.63
65.8,APPALANARASIMHAM P.,ANAKAPALLI,1,TDP,M,ANDHRA PRADESH,322347,505324,489910,744527,67.87
30.11,APPALANAIDY S.R.A.S.,ANAKAPALLI,2,INC,M,ANDHRA PRADESH,147531,505324,489910,744527,67.87
0.86,GADDAM VISWANATH,ANAKAPALLI,3,IND,M,ANDHRA PRADESH,4229,505324,489910,744527,67.87
0.82,PERI SRI RAMA MURTHY,ANAKAPALLI,4,IND,M,ANDHRA PRADESH,4028,505324,489910,744527,67.87
0.79,KONETI SATYA RAO,ANAKAPALLI,5,IND,M,ANDHRA PRADESH,3886,505324,489910,744527,67.87
0.62,PULIBANTI PEDAKOTIPALLI,ANAKAPALLI,6,IND,M,ANDHRA PRADESH,3059,505324,489910,744527,67.87
0.44,ADARI ADINARAYANA,ANAKAPALLI,7,IND,M,ANDHRA PRADESH,2180,505324,489910,744527,67.87
0.42,MADANA VEERANNA,ANAKAPALLI,8,IND,M,ANDHRA PRADESH,2075,505324,489910,744527,67.87
0.12,VENKATESWARARAO UPAMAKA,ANAKAPALLI,9,IND,M,ANDHRA PRADESH,575,505324,489910,744527,67.87
60.38,THOTA GOPALA KRISHNA,KAKINADA,1,TDP,M,ANDHRA PRADESH,344038,580660,569750,804480,72.18
37.62,SANJEEVA RAO M.S.,KAKINADA,2,INC,M,ANDHRA PRADESH,214324,580660,569750,804480,72.18
0.77,VADREVU VENKATA SURYA NANDA RAO,KAKINADA,3,IND,M,ANDHRA PRADESH,4364,580660,569750,804480,72.18
0.6,SHAMUEL VEMAVARAPU,KAKINADA,4,IND,M,ANDHRA PRADESH,3439,580660,569750,804480,72.18
0.44,SARAGANAM KONDALA SWAMY NAIDU,KAKINADA,5,IND,M,ANDHRA PRADESH,2499,580660,569750,804480,72.18
0.19,GURRAM KAMESWARA RAO,KAKINADA,6,IND,M,ANDHRA PRADESH,1086,580660,569750,804480,72.18
62.04,SRIHARI RAO,RAJAHMUNDRY,1,TDP,M,ANDHRA PRADESH,381091,623794,614265,815302,76.51
36.99,SATYANARAYANA RAO S.B.P.B.K.,RAJAHMUNDRY,2,INC,M,ANDHRA PRADESH,227213,623794,614265,815302,76.51
0.31,CHANDRAMALLA RAJU,RAJAHMUNDRY,3,IND,M,ANDHRA PRADESH,1887,623794,614265,815302,76.51
0.3,SATHIREDDY VELAGALA,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,1863,623794,614265,815302,76.51
0.22,KOKKIRIPATI KRISHNA,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,1352,623794,614265,815302,76.51
0.14,SOMABATHULA JANARDHANA RAO,RAJAHMUNDRY,6,IND,M,ANDHRA PRADESH,859,623794,614265,815302,76.51
61.24,AITHABATHULA JOGESWARA VENKATA BUTHCI,AMALAPURAM (SC),1,TDP,M,ANDHRA PRADESH,317481,527427,518409,694686,75.92
38.15,KUSUMA KRISHNA MURTHY,AMALAPURAM (SC),2,INC,M,ANDHRA PRADESH,197750,527427,518409,694686,75.92
0.61,CHUTTUGULLA VEERASWAMY,AMALAPURAM (SC),3,IND,M,ANDHRA PRADESH,3178,527427,518409,694686,75.92
65.89,VIJAYA KUMAR RAJU BHUPATHIRAJU,NARASAPUR,1,TDP,M,ANDHRA PRADESH,366534,565988,556257,777048,72.84
30.59,ALLURI SUBHASCHANDRA BOSE,NARASAPUR,2,INC,M,ANDHRA PRADESH,170160,565988,556257,777048,72.84
2.48,CHINTALAPATI GANDHIRAJU,NARASAPUR,3,IND,M,ANDHRA PRADESH,13813,565988,556257,777048,72.84
0.33,OSURI ANJI BABU,NARASAPUR,4,IND,M,ANDHRA PRADESH,1820,565988,556257,777048,72.84
0.28,YERICHERLA SIVAJIRAO,NARASAPUR,5,IND,M,ANDHRA PRADESH,1552,565988,556257,777048,72.84
0.26,UNDAVALLI VEERA VENKATA KRISHNANADA RAO,NARASAPUR,6,IND,M,ANDHRA PRADESH,1455,565988,556257,777048,72.84
0.17,CHANDRA RAO TIRUMANI,NARASAPUR,7,IND,M,ANDHRA PRADESH,923,565988,556257,777048,72.84
59.21,BOLLA BULLI RAMAIAH,ELURU,1,TDP,M,ANDHRA PRADESH,351340,602968,593356,790920,76.24
40.4,VATTI VENKATA RANGA PARTHA SARATHI,ELURU,2,INC,M,ANDHRA PRADESH,239688,602968,593356,790920,76.24
0.21,GUDURI SARVESWARARAO,ELURU,3,IND,M,ANDHRA PRADESH,1228,602968,593356,790920,76.24
0.19,VELAGALA BHASKARA REDDY,ELURU,4,IND,M,ANDHRA PRADESH,1100,602968,593356,790920,76.24
49.84,SAMBASIVARAO KUVURU,MACHILIPATNAM,1,INC,M,ANDHRA PRADESH,272513,554220,546813,741415,74.75
48.17,VADDI RANGARAO,MACHILIPATNAM,2,TDP,M,ANDHRA PRADESH,263420,554220,546813,741415,74.75
1.01,MAJI JANARDANARAO,MACHILIPATNAM,3,IND,M,ANDHRA PRADESH,5534,554220,546813,741415,74.75
0.49,SEELAM SANKARARAO,MACHILIPATNAM,4,IND,M,ANDHRA PRADESH,2699,554220,546813,741415,74.75
0.25,ATMURI RAGHAVAIAH,MACHILIPATNAM,5,IND,M,ANDHRA PRADESH,1364,554220,546813,741415,74.75
0.23,PINNAMANENI APPAJI,MACHILIPATNAM,6,IND,M,ANDHRA PRADESH,1283,554220,546813,741415,74.75
50.97,VADDE SOBHANADREESWARA RAO,VIJAYAWADA,1,TDP,M,ANDHRA PRADESH,318023,633492,623913,864150,73.31
46.41,CHENNUPATI VIDYA,VIJAYAWADA,2,INC,F,ANDHRA PRADESH,289579,633492,623913,864150,73.31
1.01,CHAPARALA PURNACHANDRARAO,VIJAYAWADA,3,IND,M,ANDHRA PRADESH,6283,633492,623913,864150,73.31
0.49,GOGULOTHU BALAJI,VIJAYAWADA,4,IND,M,ANDHRA PRADESH,3035,633492,623913,864150,73.31
0.32,KOTHAGUNDLA VENKATARAMA GURUNADHA RAO,VIJAYAWADA,5,IND,M,ANDHRA PRADESH,2010,633492,623913,864150,73.31
0.19,DEVARAKONDA SUBBA RAO,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,1182,633492,623913,864150,73.31
0.15,TRIPURANENI DHARMA RAO,VIJAYAWADA,7,IND,M,ANDHRA PRADESH,938,633492,623913,864150,73.31
0.15,CHRISTU BHAGAVANDAS NETHALA,VIJAYAWADA,8,IND,M,ANDHRA PRADESH,906,633492,623913,864150,73.31
0.13,SAMUEL WILSON NELAKURTI,VIJAYAWADA,9,IND,M,ANDHRA PRADESH,791,633492,623913,864150,73.31
