%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
69.48,RAJAGOPALARAO BODEPALLI,SRIKAKULAM,1,INC,M,Andhra Pradesh,233171,345636,335617,509486,67.84
28.52,N. G. RANGA,SRIKAKULAM,2,SWA,M,Andhra Pradesh,95710,345636,335617,509486,67.84
2.01,S. VANAJANABHAM,SRIKAKULAM,3,IND,M,Andhra Pradesh,6736,345636,335617,509486,67.84
73.82,BIDDIKA SATYANNARAYANA,PARAVATHIPURAM (ST),1,INC,M,Andhra Pradesh,190975,267804,258699,517345,51.77
15.02,NARASIMHARO VISWASARAI,PARAVATHIPURAM (ST),2,SWA,M,Andhra Pradesh,38847,267804,258699,517345,51.77
11.16,BIDDIKI LAKSHMINARAYANA,PARAVATHIPURAM (ST),3,CPI,M,Andhra Pradesh,28877,267804,258699,517345,51.77
84.51,KARRI NARAYANA RAO,BOBBILI,1,INC,M,Andhra Pradesh,223043,274000,263917,509133,53.82
15.49,ROUTHU CHANDRASEKHARA RAO,BOBBILI,2,SWA,M,Andhra Pradesh,40874,274000,263917,509133,53.82
57.63,P. V. G. RAJU,VISAKHAPATNAM,1,IND,M,Andhra Pradesh,184464,329703,320085,560021,58.87
36.64,TENNETI VISWANATHAM,VISAKHAPATNAM,2,IND,M,Andhra Pradesh,117276,329703,320085,560021,58.87
5.73,S. N. PATRUDU,VISAKHAPATNAM,3,IND,M,Andhra Pradesh,18345,329703,320085,560021,58.87
58.54,B. RADHABAI ANANDA RAO,BHADRACHALAM (ST),1,INC,M,Andhra Pradesh,115367,205533,197066,501947,40.95
24.01,NUPA BOJJI,BHADRACHALAM (ST),2,CPI,M,Andhra Pradesh,47319,205533,197066,501947,40.95
4.8,PUJARI BALARAJU,BHADRACHALAM (ST),3,IND,M,Andhra Pradesh,9450,205533,197066,501947,40.95
4.72,MIRTIWADA PEDABBAI,BHADRACHALAM (ST),4,IND,M,Andhra Pradesh,9297,205533,197066,501947,40.95
