%,CANDIDATE,CONSTITUENCY,NUMBER OF SEATS,No.,PARTY,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
46.86,KASHI NATH PANDE NA,HATA,1,1,INC,Uttar Pradesh,81421,173763,173763,416485,41.72
21.55,GENDA SINGH NA,HATA,1,3,PSP,Uttar Pradesh,37446,173763,173763,416485,41.72
18.69,PROF. SHIBBAN LAL SAXENA NA,HATA,1,5,IND,Uttar Pradesh,32484,173763,173763,416485,41.72
9.89,RAJENDRA NA,HATA,1,2,BJS,Uttar Pradesh,17180,173763,173763,416485,41.72
3.01,MADAN PAL SINGH NA,HATA,1,4,IND,Uttar Pradesh,5232,173763,173763,416485,41.72
52.57,PROF. SHIBBAN LAL SAXENA NA,MAHRAJGANJ,1,1,IND,Uttar Pradesh,92617,176183,176183,395546,44.54
36.80,HARI SHANKER NA,MAHRAJGANJ,1,3,INC,Uttar Pradesh,64836,176183,176183,395546,44.54
10.63,MAHATAM NA,MAHRAJGANJ,1,2,PSP,Uttar Pradesh,18730,176183,176183,395546,44.54
27.27,SINHASAN SINGH NA,GORAKHPUR,2,9,INC,Uttar Pradesh,172662,633241,633241,849617,37.27
26.44,MAHADEO PRASAD NA,GORAKHPUR,2,5,INC,Uttar Pradesh,167456,633241,633241,849617,37.27
9.69,BRIJ LAL NA,GORAKHPUR,2,4,IND,Uttar Pradesh,61371,633241,633241,849617,37.27
6.57,HORI LAL SAXENA NA,GORAKHPUR,2,10,IND,Uttar Pradesh,41606,633241,633241,849617,37.27
6.21,NAGENDRA NATH NA,GORAKHPUR,2,3,PSP,Uttar Pradesh,39333,633241,633241,849617,37.27
5.96,RAGHURAJ NA,GORAKHPUR,2,6,BJS,Uttar Pradesh,37752,633241,633241,849617,37.27
5.34,CHHOTKAN NA,GORAKHPUR,2,2,IND,Uttar Pradesh,33824,633241,633241,849617,37.27
4.69,RAM CHARITTAR NA,GORAKHPUR,2,7,BJS,Uttar Pradesh,29711,633241,633241,849617,37.27
4.35,GAPOO LAL NA,GORAKHPUR,2,1,PSP,Uttar Pradesh,27550,633241,633241,849617,37.27
3.47,LAKSHMI NARAIN NA,GORAKHPUR,2,8,IND,Uttar Pradesh,21976,633241,633241,849617,37.27
30.83,"MALVIYA, KESHVA DEVA NA",BASTI,2,2,INC,Uttar Pradesh,241186,782198,782198,807318,48.44
23.59,RAM GARIB NA,BASTI,2,3,IND,Uttar Pradesh,184549,782198,782198,807318,48.44
23.51,"NAYAR, KRISHNA KARUNAKAR NA",BASTI,2,1,IND,Uttar Pradesh,183890,782198,782198,807318,48.44
22.06,SHEO NARAIN NA,BASTI,2,4,INC,Uttar Pradesh,172573,782198,782198,807318,48.44
51.41,RAM SHANKER LAL NA,DOMARIAGANJ,1,4,INC,Uttar Pradesh,110060,214101,214101,421656,50.78
20.37,DHARAM NATH NA,DOMARIAGANJ,1,2,IND,Uttar Pradesh,43615,214101,214101,421656,50.78
18.52,RAM BIR SINGH NA,DOMARIAGANJ,1,3,BJS,Uttar Pradesh,39660,214101,214101,421656,50.78
9.70,BISHWANATH AGARWAL NA,DOMARIAGANJ,1,1,IND,Uttar Pradesh,20766,214101,214101,421656,50.78
51.50,JOGENDRA SINGH NA,BAHRAICH,1,1,INC,Uttar Pradesh,74975,145581,145581,432205,33.68
31.73,NARSINGH DASS NA,BAHRAICH,1,2,IND,Uttar Pradesh,46196,145581,145581,432205,33.68
16.77,MURLIDHAR NA,BAHRAICH,1,3,BJS,Uttar Pradesh,24410,145581,145581,432205,33.68
59.83,BHAGWAN DIN NA,KAISARGANJ,1,1,INC,Uttar Pradesh,93579,156398,156398,398173,39.28
40.17,MOHAMMAD SAADAT ALI KHAN NA,KAISARGANJ,1,2,IND,Uttar Pradesh,62819,156398,156398,398173,39.28
52.16,ATAL BEHARI BAJPAI NA,BALRAMPUR,1,1,BJS,Uttar Pradesh,118380,226948,226948,442845,51.25
47.84,HYDER HUSSAIN NA,BALRAMPUR,1,2,INC,Uttar Pradesh,108568,226948,226948,442845,51.25
45.35,DINESH PRATAP SINGH NA,GONDA,1,2,INC,Uttar Pradesh,82574,182090,182090,417016,43.66
44.85,SHYAM BEHARI LAL NA,GONDA,1,3,IND,Uttar Pradesh,81676,182090,182090,417016,43.66
9.80,GAURI SHANKER NA,GONDA,1,1,IND,Uttar Pradesh,17840,182090,182090,417016,43.66
26.06,RAM SEWAK YADAV NA,BARA BANKI,2,4,IND,Uttar Pradesh,189600,727552,727552,809955,44.91
21.75,SWAMI RAMANAND NA,BARA BANKI,2,5,INC,Uttar Pradesh,158270,727552,727552,809955,44.91
20.72,HAYAT ULLAH ANSARI NA,BARA BANKI,2,1,INC,Uttar Pradesh,150778,727552,727552,809955,44.91
18.60,NANNHEY LAL NA,BARA BANKI,2,2,IND,Uttar Pradesh,135341,727552,727552,809955,44.91
12.86,BHAGIRATH LAL NA,BARA BANKI,2,3,BJS,Uttar Pradesh,93563,727552,727552,809955,44.91
22.07,RAJA RAM NA,FAIZABAD,2,8,INC,Uttar Pradesh,135741,614954,614954,812128,37.86
19.08,PANNA LAL NA,FAIZABAD,2,4,INC,Uttar Pradesh,117355,614954,614954,812128,37.86
11.42,NAIPAL NA,FAIZABAD,2,3,BJS,Uttar Pradesh,70235,614954,614954,812128,37.86
11.23,MATA PRASAD SINGH NA,FAIZABAD,2,7,CPI,Uttar Pradesh,69072,614954,614954,812128,37.86
11.02,TH. GUR DUTT SINGH NA,FAIZABAD,2,2,BJS,Uttar Pradesh,67743,614954,614954,812128,37.86
7.57,RAM LAKHAN NA,FAIZABAD,2,9,IND,Uttar Pradesh,46571,614954,614954,812128,37.86
6.63,BISHWANATH PD. URF LALLANJI NA,FAIZABAD,2,6,PSP,Uttar Pradesh,40762,614954,614954,812128,37.86
6.34,BADRI DAS NA,FAIZABAD,2,5,PSP,Uttar Pradesh,39009,614954,614954,812128,37.86
4.63,SANAKANANDA GIRI NA,FAIZABAD,2,1,RRP,Uttar Pradesh,28466,614954,614954,812128,37.86
49.43,GOVIND MALVIYA NA,SULTANPUR,1,1,INC,Uttar Pradesh,72227,146128,146128,378911,38.57
33.77,BHASKAR PRATAP SAHI NA,SULTANPUR,1,2,BJS,Uttar Pradesh,49344,146128,146128,378911,38.57
16.81,VIDYADHAR BAJPAI NA,SULTANPUR,1,3,IND,Uttar Pradesh,24557,146128,146128,378911,38.57
60.98,BALKRISHNA VISHWANATH KESKAR NA,MUSAFIRKHANA,1,2,INC,Uttar Pradesh,79941,131086,131086,387572,33.82
39.02,ABDUL WAHID NA,MUSAFIRKHANA,1,1,IND,Uttar Pradesh,51145,131086,131086,387572,33.82
54.38,MUNISHWAR DUTT UPADHYAY NA,PRATAPGARH,1,1,INC,Uttar Pradesh,78399,144172,144172,384272,37.52
45.62,HARI SHARAN SINGH NA,PRATAPGARH,1,2,IND,Uttar Pradesh,65773,144172,144172,384272,37.52
24.08,FEROZE GANDHI NA,RAE BARELI,2,2,INC,Uttar Pradesh,162595,675357,675357,804426,41.98
19.74,NAND KISHORE NA,RAE BARELI,2,5,IND,Uttar Pradesh,133342,675357,675357,804426,41.98
18.70,BAIJ NATH KUREEL NA,RAE BARELI,2,1,INC,Uttar Pradesh,126318,675357,675357,804426,41.98
14.90,CHHOTE LAL NA,RAE BARELI,2,4,BJS,Uttar Pradesh,100651,675357,675357,804426,41.98
13.93,RAGUVENDRA DATT NA,RAE BARELI,2,6,PSP,Uttar Pradesh,94109,675357,675357,804426,41.98
8.64,GURU DAYAL DAS NA,RAE BARELI,2,3,IND,Uttar Pradesh,58342,675357,675357,804426,41.98
26.80,VISHAMBHAR DAYAL NA,UNNAO,2,3,INC,Uttar Pradesh,173684,648107,648107,819996,39.52
25.03,GANGA DEVI NA,UNNAO,2,2,INC,Uttar Pradesh,162211,648107,648107,819996,39.52
24.55,TRIBHUWAN SINGH NA,UNNAO,2,4,PSP,Uttar Pradesh,159093,648107,648107,819996,39.52
23.63,KRISHNA KUMARI NA,UNNAO,2,1,PSP,Uttar Pradesh,153119,648107,648107,819996,39.52
40.75,PULIN BEHARI BANERJI NA,LUCKNOW,1,3,INC,Uttar Pradesh,69519,170579,170579,378020,45.12
33.44,ATAL BEHARI BAJPAI NA,LUCKNOW,1,4,BJS,Uttar Pradesh,57034,170579,170579,378020,45.12
16.73,FAZAL ABBAS KAZMI NA,LUCKNOW,1,2,CPI,Uttar Pradesh,28542,170579,170579,378020,45.12
7.49,CHANDRIKA SINGH KARUNESH NA,LUCKNOW,1,1,IND,Uttar Pradesh,12784,170579,170579,378020,45.12
1.58,LALA NATHU RAM NA,LUCKNOW,1,5,IND,Uttar Pradesh,2700,170579,170579,378020,45.12
27.74,CHHEDA LAL NA,HARDOI,2,2,INC,Uttar Pradesh,235231,847956,847956,867802,48.86
27.33,NIRANJAN SINGH DEV NA,HARDOI,2,3,BJS,Uttar Pradesh,231763,847956,847956,867802,48.86
22.61,SHEODEEN NA,HARDOI,2,4,BJS,Uttar Pradesh,191730,847956,847956,867802,48.86
22.32,KINDER LAL NA,HARDOI,2,1,INC,Uttar Pradesh,189232,847956,847956,867802,48.86
24.27,PRAGI LAL NA,SITAPUR,2,2,INC,Uttar Pradesh,192005,791021,791021,926313,42.70
20.55,UMA NEHRU NA,SITAPUR,2,1,INC,Uttar Pradesh,162544,791021,791021,926313,42.70
17.06,BHOLA NATH VAKIL NA,SITAPUR,2,3,BJS,Uttar Pradesh,134938,791021,791021,926313,42.70
13.71,MADHAV PRASAD MISRA NA,SITAPUR,2,4,PSP,Uttar Pradesh,108444,791021,791021,926313,42.70
12.25,RIKHI LAL NA,SITAPUR,2,6,BJS,Uttar Pradesh,96888,791021,791021,926313,42.70
12.16,MANGLI PRASAD NA,SITAPUR,2,5,PSP,Uttar Pradesh,96202,791021,791021,926313,42.70
45.17,KHUSHWAQT RAI ALIAS BHAIYALAL NA,KHERI,1,1,PSP,Uttar Pradesh,69744,154396,154396,405123,38.11
33.88,RAMESHWAR PRASAD NA,KHERI,1,3,INC,Uttar Pradesh,52313,154396,154396,405123,38.11
20.95,KUNJ BEHARI LAL RATHI NA,KHERI,1,2,BJS,Uttar Pradesh,32339,154396,154396,405123,38.11
32.21,SANTOSH BANERJEE NA,COOCH BEHAR,2,2,INC,West Bengal,247783,769330,769330,812583,47.34
28.67,UPENDRANATH BARMAN NA,COOCH BEHAR,2,1,INC,West Bengal,220572,769330,769330,812583,47.34
22.54,SIBENDRA KUMAR BHATTACHARYA NA,COOCH BEHAR,2,3,FBM,West Bengal,173392,769330,769330,812583,47.34
16.58,KAMALKRISHNA ROY SINGHA NA,COOCH BEHAR,2,4,FBM,West Bengal,127583,769330,769330,812583,47.34
0.00,DEVENDRA MOHAN SARKAR NA,COOCH BEHAR,2,5,PSP,West Bengal,0,769330,769330,812583,47.34
43.27,T. MANAEN NA,DARJEELING,1,3,INC,West Bengal,60460,139729,139729,335292,41.67
35.63,RATANLALL BRAHMIN NA,DARJEELING,1,1,CPI,West Bengal,49785,139729,139729,335292,41.67
21.10,JATINDRA N. MITRA NA,DARJEELING,1,2,IND,West Bengal,29484,139729,139729,335292,41.67
29.12,SELKU MARDI NA,WEST DINAJPUR,2,3,INC,West Bengal,177194,608460,608460,736998,41.28
26.18,CHAPLALKANTA BHATTACHARJEE NA,WEST DINAJPUR,2,2,INC,West Bengal,159310,608460,608460,736998,41.28
20.88,NARENDRA MOHAN SEN NA,WEST DINAJPUR,2,4,CPI,West Bengal,127067,608460,608460,736998,41.28
18.86,SAMUEL NA,WEST DINAJPUR,2,5,PSP,West Bengal,114731,608460,608460,736998,41.28
4.96,KISHORILAL KUNDU NA,WEST DINAJPUR,2,1,IND,West Bengal,30158,608460,608460,736998,41.28
46.47,RENUKA RAY NA,MALDA,1,5,INC,West Bengal,97217,209203,209203,409274,51.12
28.66,S. RAHAMAN NA,MALDA,1,3,IND,West Bengal,59951,209203,209203,409274,51.12
11.08,HARIPRASANNA MISRA NA,MALDA,1,2,HMS,West Bengal,23184,209203,209203,409274,51.12
9.81,DWIJENDRA NATH SINGHA NA,MALDA,1,4,IND,West Bengal,20520,209203,209203,409274,51.12
3.98,DEBENDRA NATH JHA NA,MALDA,1,1,IND,West Bengal,8331,209203,209203,409274,51.12
41.93,MUHAMMAD KHUDA BUKHSH NA,MURSHIDABAD,1,2,INC,West Bengal,85041,202822,202822,423003,47.95
39.76,ABU K. M. ZAKARIA NA,MURSHIDABAD,1,1,PSP,West Bengal,80646,202822,202822,423003,47.95
18.31,BISWANATH ROY NA,MURSHIDABAD,1,3,IND,West Bengal,37135,202822,202822,423003,47.95
50.72,TRIDIB CHOWDHURI NA,BERHAMPORE,1,1,IND,West Bengal,133477,263161,263161,458726,57.37
45.22,NAZRUL HAQUE KHANDOKER NA,BERHAMPORE,1,2,IND,West Bengal,118995,263161,263161,458726,57.37
4.06,BIRENDRA KUMAR MAJUMDAR NA,BERHAMPORE,1,3,IND,West Bengal,10689,263161,263161,458726,57.37
32.49,KAMAL KRISHNA DAS NA,BIRBHUM,2,2,INC,West Bengal,239745,737913,737913,861105,42.85
26.80,ANIL KUMAR CHANDA NA,BIRBHUM,2,1,INC,West Bengal,197747,737913,737913,861105,42.85
22.91,MANMATHA NATH DAS NA,BIRBHUM,2,3,HMS,West Bengal,169045,737913,737913,861105,42.85
17.80,NITYA NARAYAN BANERJEE NA,BIRBHUM,2,4,HMS,West Bengal,131376,737913,737913,861105,42.85
50.48,SUBIMAN GHOSE NA,BURDWAN,1,1,FBM,West Bengal,107670,213290,213290,425282,50.15
49.52,DURGAPADE CHAUDHURI NA,BURDWAN,1,2,INC,West Bengal,105620,213290,213290,425282,50.15
29.60,MONO MOHAN DAS NA,ASANSOL,2,3,INC,West Bengal,186374,629589,629589,790322,39.83
26.01,ATULYA GHOSH NA,ASANSOL,2,1,INC,West Bengal,163725,629589,629589,790322,39.83
20.02,AMBUJA BHUSAN BOSE NA,ASANSOL,2,4,IND,West Bengal,126026,629589,629589,790322,39.83
17.34,AMARENDRA NATH SAHA NA,ASANSOL,2,5,IND,West Bengal,109149,629589,629589,790322,39.83
7.04,MONI MOHAN GHOSE NA,ASANSOL,2,2,IND,West Bengal,44315,629589,629589,790322,39.83
57.24,BIBHUTI BHUSAN DAS GUPTA NA,PURULIA,1,1,IND,West Bengal,75890,132588,132588,366520,36.17
42.76,MAHATO NAGENDRA NATH SINGH DEO NA,PURULIA,1,2,INC,West Bengal,56698,132588,132588,366520,36.17
25.05,PASHUPATI MANDAL NA,BANKURA,2,4,INC,West Bengal,152687,609454,609454,806812,37.77
24.78,RAMGATI BANERJEE NA,BANKURA,2,3,INC,West Bengal,151001,609454,609454,806812,37.77
13.66,BISWA NATH BAURI NA,BANKURA,2,2,IND,West Bengal,83271,609454,609454,806812,37.77
13.55,BAGALA MANDAL NA,BANKURA,2,5,HMS,West Bengal,82576,609454,609454,806812,37.77
12.24,BIRESWAR GHOSE NA,BANKURA,2,1,IND,West Bengal,74591,609454,609454,806812,37.77
10.72,ASHUTOSH LAHIRI NA,BANKURA,2,6,HMS,West Bengal,65328,609454,609454,806812,37.77
35.01,PROVAT KAR NA,HOOGHLY,1,1,CPI,West Bengal,81329,232335,232335,402713,57.69
33.73,SACHINDRA CHOWDHURY NA,HOOGHLY,1,2,INC,West Bengal,78356,232335,232335,402713,57.69
31.27,NIRMAL CH. CHATTERJEE NA,HOOGHLY,1,3,HMS,West Bengal,72650,232335,232335,402713,57.69
51.12,JITENDRA NATH LAHIRI NA,SERAMPORE,1,1,INC,West Bengal,125798,246062,246062,428149,57.47
48.88,TUSAR CHATTOPADHYAY NA,SERAMPORE,1,2,CPI,West Bengal,120264,246062,246062,428149,57.47
48.30,MOHAMMED ELIAS NA,HOWRAH,1,3,CPI,West Bengal,108238,224098,224098,461154,48.60
30.08,SANTOSH KR. DUTT NA,HOWRAH,1,2,INC,West Bengal,67403,224098,224098,461154,48.60
21.62,HARIPADA BHARATI NA,HOWRAH,1,1,BJS,West Bengal,48457,224098,224098,461154,48.60
51.72,AUROBINDA GHOSAL NA,ULUBERIA,1,2,FBM,West Bengal,120506,232984,232984,456093,51.08
39.84,KALOBARAN GHOSH NA,ULUBERIA,1,1,INC,West Bengal,92829,232984,232984,456093,51.08
8.43,JALADHAR BAG NA,ULUBERIA,1,3,IND,West Bengal,19649,232984,232984,456093,51.08
59.65,NIKUNJA BEHARI MAITY NA,GHATAL,1,2,INC,West Bengal,165597,277622,277622,443265,62.63
40.35,NIKUNJA CHOWDHURY NA,GHATAL,1,1,CPI,West Bengal,112025,277622,277622,443265,62.63
26.57,NARASINGHA MALLA UGAL SANDA DEB NA,MIDNAPUR,2,3,INC,West Bengal,194817,733085,733085,857143,42.76
21.86,SUBODH HANSDA NA,MIDNAPUR,2,4,INC,West Bengal,160252,733085,733085,857143,42.76
21.14,RABINDRA NATH MITRA NA,MIDNAPUR,2,5,CPI,West Bengal,155005,733085,733085,857143,42.76
17.54,CHANDRA MOHAN SAREN NA,MIDNAPUR,2,6,PSP,West Bengal,128556,733085,733085,857143,42.76
8.48,AMIYA KRISHNA KHAN NA,MIDNAPUR,2,1,BJS,West Bengal,62171,733085,733085,857143,42.76
4.40,CHARU CHANDRA BESRA NA,MIDNAPUR,2,2,IND,West Bengal,32284,733085,733085,857143,42.76
49.27,PRAMATHA NATH BANDOPADHAYA NA,CONTAI,1,2,PSP,West Bengal,133853,271648,271648,441736,61.50
47.67,BASANTA K. DAS NA,CONTAI,1,1,INC,West Bengal,129491,271648,271648,441736,61.50
3.06,PULIN SEN NA,CONTAI,1,3,IND,West Bengal,8304,271648,271648,441736,61.50
50.75,SATISH CHANDRA SAMANTA NA,TAMULK,1,3,INC,West Bengal,158464,312236,312236,447374,69.79
43.62,GOBINDA CHANDRA BHOWMIK NA,TAMULK,1,2,FBM,West Bengal,136190,312236,312236,447374,69.79
5.63,SURYYA KUMAR CHAKRAVARTY NA,TAMULK,1,1,HMS,West Bengal,17582,312236,312236,447374,69.79
65.04,HIRENDRA NATH MUKHERJEE NA,CALCUTTA CENTRAL,1,1,CPI,West Bengal,135308,208047,208047,395778,52.57
32.88,NALINAKSHA SANYAL NA,CALCUTTA CENTRAL,1,3,INC,West Bengal,68403,208047,208047,395778,52.57
2.08,S. C. ROY NA,CALCUTTA CENTRAL,1,2,IND,West Bengal,4336,208047,208047,395778,52.57
62.68,SADHAN CH. GUPTA NA,CALCUTTA EAST,1,1,CPI,West Bengal,143350,228712,228712,497202,46.00
35.47,RANADEB CHOWDHURY NA,CALCUTTA EAST,1,2,INC,West Bengal,81135,228712,228712,497202,46.00
1.85,SUNIL KRISHNA ROY CHOWDHURY NA,CALCUTTA EAST,1,3,IND,West Bengal,4227,228712,228712,497202,46.00
49.91,ASOKE KUMAR SEN NA,CALCUTTA NORTH WEST,1,3,INC,West Bengal,102807,205994,205994,414217,49.73
47.03,MOHIT MAITRA NA,CALCUTTA NORTH WEST,1,2,IND,West Bengal,96880,205994,205994,414217,49.73
3.06,SANJIB KR. CHOUDHURY NA,CALCUTTA NORTH WEST,1,1,BJS,West Bengal,6307,205994,205994,414217,49.73
50.33,BIREN ROY NA,CALCUTTA SOUTH WEST,1,3,IND,West Bengal,94944,188647,188647,403712,46.73
43.68,ASHIM KRISHNA DUTT NA,CALCUTTA SOUTH WEST,1,1,INC,West Bengal,82406,188647,188647,403712,46.73
5.99,RAJANI MUKHERJEE NA,CALCUTTA SOUTH WEST,1,2,IND,West Bengal,11297,188647,188647,403712,46.73
25.44,KANSARI HALDER NA,DIAMOND HARBOUR,2,4,CPI,West Bengal,247785,974006,974006,925761,52.61
25.18,PURNINDU SEKHAR NASKAR NA,DIAMOND HARBOUR,2,1,INC,West Bengal,245266,974006,974006,925761,52.61
25.13,KAMAL BASU NA,DIAMOND HARBOUR,2,3,CPI,West Bengal,244763,974006,974006,925761,52.61
24.25,NALINI KANTA HALDER NA,DIAMOND HARBOUR,2,2,INC,West Bengal,236192,974006,974006,925761,52.61
0.00,SUSHIL KUMAR SARDAR NA,DIAMOND HARBOUR,2,5,IND,West Bengal,0,974006,974006,925761,52.61
24.08,PARESH NATH KAYAL NA,BASIRHAT,2,2,INC,West Bengal,205832,854749,854749,893132,47.85
21.76,RENU CHAKRAVARTTY NA,BASIRHAT,2,3,CPI,West Bengal,186004,854749,854749,893132,47.85
20.33,PRATIMA BOSE NA,BASIRHAT,2,4,INC,West Bengal,173728,854749,854749,893132,47.85
16.44,DHARMADAS ROY NA,BASIRHAT,2,6,CPI,West Bengal,140516,854749,854749,893132,47.85
10.77,A. K. M. ISHAQUE NA,BASIRHAT,2,1,IND,West Bengal,92014,854749,854749,893132,47.85
3.66,MATINDRA NATH HALDER NA,BASIRHAT,2,7,IND,West Bengal,31258,854749,854749,893132,47.85
2.97,GIRINDRA NATH MONDAL NA,BASIRHAT,2,5,BJS,West Bengal,25397,854749,854749,893132,47.85
54.98,BIMAL COOMAR GHOSE NA,BARRACKPORE,1,1,PSP,West Bengal,132906,241747,241747,430339,56.18
36.35,LABANYA PROVA DUTTA NA,BARRACKPORE,1,2,INC,West Bengal,87879,241747,241747,430339,56.18
5.77,RAGHUNATH PRASAD SINGH NA,BARRACKPORE,1,4,IND,West Bengal,13943,241747,241747,430339,56.18
2.90,NARENDRA NATH DAS GUPTA NA,BARRACKPORE,1,3,BJS,West Bengal,7019,241747,241747,430339,56.18
51.10,ARUN CHANDRA GUHA NA,BARASAT,1,1,INC,West Bengal,139783,273525,273525,483642,56.56
48.90,BHOWANI SANKAR SEN GUPTA NA,BARASAT,1,2,CPI,West Bengal,133742,273525,273525,483642,56.56
0.00,B. ROY NA,BARASAT,1,3,IND,West Bengal,0,273525,273525,483642,56.56
61.21,ILA PAL CHOUDHURY NA,NABADWIP,1,1,INC,West Bengal,134084,219064,219064,409205,53.53
38.79,KUMARESH CHANDRA NA,NABADWIP,1,2,IND,West Bengal,84980,219064,219064,409205,53.53
73.66,SUCHETA KRIPALANI NA,NEWDELHI,1,1,INC,Delhi,76540,103914,103914,192753,53.91
21.87,BAL RAJ NA,NEWDELHI,1,3,BJS,Delhi,22726,103914,103914,192753,53.91
3.63,GURCHARAN KAUR NA,NEWDELHI,1,4,IND,Delhi,3771,103914,103914,192753,53.91
0.84,C. P. AGGARWAL NA,NEWDELHI,1,2,IND,Delhi,877,103914,103914,192753,53.91
0.00,MANMOHINI SAHGAL NA,NEWDELHI,1,5,IND,Delhi,0,103914,103914,192753,53.91
43.01,RADHA RAMAN NA,CHANDNI CHOWK,1,1,INC,Delhi,50758,118019,118019,171563,68.79
30.81,BASANT RAO NA,CHANDNI CHOWK,1,3,BJS,Delhi,36361,118019,118019,171563,68.79
24.28,MIR MUSHTAQ AHMED NA,CHANDNI CHOWK,1,4,PSP,Delhi,28656,118019,118019,171563,68.79
1.90,ABDUL SATAR NA,CHANDNI CHOWK,1,2,IND,Delhi,2244,118019,118019,171563,68.79
54.57,BRAHM PERKASH NA,DELHI SADAR,1,1,INC,Delhi,63848,117007,117007,172245,67.93
41.24,SHYAM CHARAN GUPTA NA,DELHI SADAR,1,4,BJS,Delhi,48248,117007,117007,172245,67.93
1.26,HUKAM CHAND NA,DELHI SADAR,1,5,IND,Delhi,1475,117007,117007,172245,67.93
1.16,GURCHARAN KAUR NA,DELHI SADAR,1,3,IND,Delhi,1360,117007,117007,172245,67.93
0.98,SODHI PINDI DASS NA,DELHI SADAR,1,6,IND,Delhi,1151,117007,117007,172245,67.93
0.79,TRIBHUVAN DATT BHUVANESH NA,DELHI SADAR,1,2,IND,Delhi,925,117007,117007,172245,67.93
0.00,JAGAN NATH S/O MAYYA DASS NA,DELHI SADAR,1,8,IND,Delhi,0,117007,117007,172245,67.93
0.00,JAGAN NATH S/O SALIG RAM NA,DELHI SADAR,1,7,IND,Delhi,0,117007,117007,172245,67.93
26.73,NAVAL PRABHAKAR NA,OUTER DELHI,2,2,INC,Delhi,126252,472404,472404,439791,53.71
26.12,C. KRISHNAN NAIR NA,OUTER DELHI,2,1,INC,Delhi,123377,472404,472404,439791,53.71
10.75,RAM SINGH NA,OUTER DELHI,2,12,IND,Delhi,50770,472404,472404,439791,53.71
8.27,DHANI RAM NA,OUTER DELHI,2,4,SCF,Delhi,39086,472404,472404,439791,53.71
8.09,B. D. JOSHI NA,OUTER DELHI,2,6,CPI,Delhi,38236,472404,472404,439791,53.71
5.89,SHIV NATH NA,OUTER DELHI,2,13,BJS,Delhi,27807,472404,472404,439791,53.71
5.24,V. P. JOSHI NA,OUTER DELHI,2,7,BJS,Delhi,24765,472404,472404,439791,53.71
2.43,RAGHBIR SINGH NA,OUTER DELHI,2,11,IND,Delhi,11503,472404,472404,439791,53.71
2.14,BABU LAL NA,OUTER DELHI,2,3,IND,Delhi,10099,472404,472404,439791,53.71
2.01,KRISHAN MOHAN SINGH NA,OUTER DELHI,2,10,IND,Delhi,9478,472404,472404,439791,53.71
0.89,HARI CHAND NA,OUTER DELHI,2,5,IND,Delhi,4191,472404,472404,439791,53.71
0.73,KARTAR CHAND NA,OUTER DELHI,2,8,IND,Delhi,3440,472404,472404,439791,53.71
0.72,KHARAK SINGH NA,OUTER DELHI,2,9,IND,Delhi,3400,472404,472404,439791,53.71
21.94,YESHWANT SINGH NA,MAHASU,2,1,INC,Himachal Pradesh,47800,217844,217844,320908,33.94
20.83,NEK RAM NA,MAHASU,2,2,INC,Himachal Pradesh,45372,217844,217844,320908,33.94
19.66,HIRA SINGH PAL NA,MAHASU,2,3,PSP,Himachal Pradesh,42838,217844,217844,320908,33.94
14.27,ANOKHI RAM NA,MAHASU,2,7,SCF,Himachal Pradesh,31079,217844,217844,320908,33.94
7.89,SATYA DEV NA,MAHASU,2,4,IND,Himachal Pradesh,17182,217844,217844,320908,33.94
7.57,SARAN DASS NA,MAHASU,2,8,IND,Himachal Pradesh,16483,217844,217844,320908,33.94
4.70,DEVI RAM NA,MAHASU,2,6,IND,Himachal Pradesh,10233,217844,217844,320908,33.94
3.15,A. R. SEWAL NA,MAHASU,2,5,IND,Himachal Pradesh,6857,217844,217844,320908,33.94
63.47,JOGINDER SEN NA,MANDI,1,1,INC,Himachal Pradesh,57530,90640,90640,180306,50.27
36.53,ANAND CHAND NA,MANDI,1,2,IND,Himachal Pradesh,33110,90640,90640,180306,50.27
0.00,MAST RAM NA,MANDI,1,3,CPI,Himachal Pradesh,0,90640,90640,180306,50.27
38.57,PADAM DEV NA,CHAMBA,1,1,INC,Himachal Pradesh,20889,54157,54157,170692,31.73
31.60,TULSI DASS KILA CHAND NA,CHAMBA,1,2,IND,Himachal Pradesh,17114,54157,54157,170692,31.73
18.30,KASHMIR SINGH NA,CHAMBA,1,3,CPI,Himachal Pradesh,9912,54157,54157,170692,31.73
9.01,GURDITTA MALL NA,CHAMBA,1,4,IND,Himachal Pradesh,4880,54157,54157,170692,31.73
2.51,A.R. SEWAL NA,CHAMBA,1,5,IND,Himachal Pradesh,1362,54157,54157,170692,31.73
0.00,MANGAT RAM NA,CHAMBA,1,6,BJS,Himachal Pradesh,0,54157,54157,170692,31.73
0.00,ANAND CHAND NA,CHAMBA,1,7,IND,Himachal Pradesh,0,54157,54157,170692,31.73
31.11,LAISRAM ACHOW SINGH NA,INNER MANIPUR,1,1,IND,Manipur,28881,92844,92844,166959,55.61
29.48,LAISRAM JUGESWAR SINGH NA,INNER MANIPUR,1,4,INC,Manipur,27371,92844,92844,166959,55.61
20.79,THOKCHOM BIRA SINGH NA,INNER MANIPUR,1,2,CPI,Manipur,19298,92844,92844,166959,55.61
