%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
49.12,RAJGOPALARAO BODDEPALLI,SRIKAKULAM,1,INC,M,ANDHRA PRADESH,187125,394514,380951,585062,67.43
46.83,GOUTHU LATCHANNA,SRIKAKULAM,2,BLD,M,ANDHRA PRADESH,178391,394514,380951,585062,67.43
4.05,BOMPALLI RAMANNA,SRIKAKULAM,3,IND,M,ANDHRA PRADESH,15435,394514,380951,585062,67.43
55.0,VYRICHORLA KISHORE CHANDRA SURYANARAYANA DEO,PARVATHIPURAM (ST),1,INC,M,ANDHRA PRADESH,174454,330291,317164,655999,50.35
45.0,SATYA PRASAD THATRAJ VEERAVARA THODARMAL,PARVATHIPURAM (ST),2,BLD,M,ANDHRA PRADESH,142710,330291,317164,655999,50.35
51.75,PUSAPATI VIJAYRAMA GAJAPATHI RAJU,BOBBILI,1,INC,M,ANDHRA PRADESH,171095,342868,330592,635653,53.94
36.15,PEESAPATI PUNDARIKAKSHA CHARI,BOBBILI,2,BLD,M,ANDHRA PRADESH,119507,342868,330592,635653,53.94
4.81,PENTA RAMASWAMY,BOBBILI,3,IND,M,ANDHRA PRADESH,15911,342868,330592,635653,53.94
2.76,APPARAO GUDIVADA,BOBBILI,4,IND,M,ANDHRA PRADESH,9126,342868,330592,635653,53.94
2.23,RAMULU BOTSA,BOBBILI,5,IND,M,ANDHRA PRADESH,7386,342868,330592,635653,53.94
1.53,U. L. N. RAJU,BOBBILI,6,IND,M,ANDHRA PRADESH,5070,342868,330592,635653,53.94
0.76,APPALANAIDU GOTTAPU,BOBBILI,7,IND,M,ANDHRA PRADESH,2497,342868,330592,635653,53.94
51.0,DRONAMRAJU SATYANARAYANA,VISAKHAPATNAM,1,INC,M,ANDHRA PRADESH,171657,348049,336577,626272,55.57
38.28,TENNETI VISWANATHAN,VISAKHAPATNAM,2,BLD,M,ANDHRA PRADESH,128828,348049,336577,626272,55.57
9.97,M. V. BHADRAM,VISAKHAPATNAM,3,CPI,M,ANDHRA PRADESH,33564,348049,336577,626272,55.57
0.75,SURENDRANATH KANDALA,VISAKHAPATNAM,4,IND,M,ANDHRA PRADESH,2528,348049,336577,626272,55.57
59.91,RADHA BAI ANANDA RAO,BHADRACHALAM (ST),1,INC,F,ANDHRA PRADESH,155198,270495,259060,598925,45.16
22.86,P. VANI RAMANARAO,BHADRACHALAM (ST),2,BLD,F,ANDHRA PRADESH,59230,270495,259060,598925,45.16
10.8,SODE RAMAIAH,BHADRACHALAM (ST),3,CPI,M,ANDHRA PRADESH,27966,270495,259060,598925,45.16
4.06,SURABOINA SUVARNA KUMAR,BHADRACHALAM (ST),4,IND,M,ANDHRA PRADESH,10528,270495,259060,598925,45.16
1.54,KARAM BAAPANNA DORA,BHADRACHALAM (ST),5,IND,M,ANDHRA PRADESH,3999,270495,259060,598925,45.16
0.83,TELLAM SUNDARA RAO,BHADRACHALAM (ST),6,IND,M,ANDHRA PRADESH,2139,270495,259060,598925,45.16
54.3,APPALANAIDU S. R. A. S.,ANAKAPALLI,1,INC,M,ANDHRA PRADESH,199228,378738,366879,708066,53.49
44.51,CHALAPATHI RAO P. V.,ANAKAPALLI,2,BLD,M,ANDHRA PRADESH,163292,378738,366879,708066,53.49
1.19,BONU LAKSHMANARAO,ANAKAPALLI,3,IND,M,ANDHRA PRADESH,4359,378738,366879,708066,53.49
61.89,SANJEEVIRAO M. S.,KAKINADA,1,INC,M,ANDHRA PRADESH,269017,446438,434644,656501,68.0
33.53,VADDI MUTYALARAO,KAKINADA,2,BLD,M,ANDHRA PRADESH,145749,446438,434644,656501,68.0
2.57,CHINTA SUBBARAO,KAKINADA,3,IND,M,ANDHRA PRADESH,11151,446438,434644,656501,68.0
1.28,DADALA RAMANAYYA,KAKINADA,4,IND,M,ANDHRA PRADESH,5557,446438,434644,656501,68.0
0.73,CHINTAPALLI APPARAO,KAKINADA,5,IND,M,ANDHRA PRADESH,3170,446438,434644,656501,68.0
61.07,PATTABHIRAMA RAO S. B. P.,RAJAHMUNDRY,1,INC,M,ANDHRA PRADESH,292323,489814,478638,707836,69.2
36.68,MANTHENA VENKATA SURYA SUBBARAJU,RAJAHMUNDRY,2,BLD,M,ANDHRA PRADESH,175564,489814,478638,707836,69.2
1.29,PADMARAJU VARREY,RAJAHMUNDRY,3,IND,M,ANDHRA PRADESH,6157,489814,478638,707836,69.2
0.59,VEMAVARAPU SAMUEL,RAJAHMUNDRY,4,IND,M,ANDHRA PRADESH,2833,489814,478638,707836,69.2
0.37,DADALA RAMANAYYA,RAJAHMUNDRY,5,IND,M,ANDHRA PRADESH,1761,489814,478638,707836,69.2
64.68,KUSUMA KRISHNA MURTY,AMALAPURAM (SC),1,INC,M,ANDHRA PRADESH,271982,431758,420509,639473,67.52
32.34,B. V. RAMANAYYA,AMALAPURAM (SC),2,BLD,M,ANDHRA PRADESH,135993,431758,420509,639473,67.52
2.98,MOHANARAO KANETY,AMALAPURAM (SC),3,IND,M,ANDHRA PRADESH,12534,431758,420509,639473,67.52
55.65,ALLURI SUBHASH CHANDRA BOSE,NARASAPUR,1,INC,M,ANDHRA PRADESH,256519,472161,460973,670999,70.37
30.84,UDDARAJU RAMAM,NARASAPUR,2,CPM,M,ANDHRA PRADESH,142162,472161,460973,670999,70.37
9.19,SATYANARAYANA VANKA,NARASAPUR,3,CPI,M,ANDHRA PRADESH,42358,472161,460973,670999,70.37
3.29,GANTA ARUNAKUMAR,NARASAPUR,4,RPK,M,ANDHRA PRADESH,15189,472161,460973,670999,70.37
0.52,VEGESNA BANGARRAJU,NARASAPUR,5,IND,M,ANDHRA PRADESH,2401,472161,460973,670999,70.37
0.51,VEDANTAM VENKATA SUBBA RAO,NARASAPUR,6,IND,M,ANDHRA PRADESH,2344,472161,460973,670999,70.37
63.62,KOMMAREDDY SURYANARAYANA,ELURU,1,INC,M,ANDHRA PRADESH,290410,467438,456511,669778,69.79
34.25,KRISHNA MURTHY GARAPATI,ELURU,2,BLD,M,ANDHRA PRADESH,156377,467438,456511,669778,69.79
1.8,TAMMINAIDU RAAJAANI ( SIVUDU NAIDU ),ELURU,3,IND,M,ANDHRA PRADESH,8217,467438,456511,669778,69.79
0.33,BANDA SURYA NARAYANA,ELURU,4,IND,M,ANDHRA PRADESH,1507,467438,456511,669778,69.79
57.48,ANKINEEDU MAGANTI,MACHILIPATNAM,1,INC,M,ANDHRA PRADESH,262551,465844,456788,642258,72.53
40.64,VADDE SOBHANADRESWARA RAO,MACHILIPATNAM,2,BLD,M,ANDHRA PRADESH,185622,465844,456788,642258,72.53
1.89,KAKARLA BABU RAO,MACHILIPATNAM,3,IND,M,ANDHRA PRADESH,8615,465844,456788,642258,72.53
52.78,GODEY MURAHARI,VIJAYAWADA,1,INC,M,ANDHRA PRADESH,239733,463707,454169,646465,71.73
26.35,GOTTIPATI MURALI MOHAN,VIJAYAWADA,2,BLD,M,ANDHRA PRADESH,119696,463707,454169,646465,71.73
11.62,DESARI NAGABHUSHANA RAO,VIJAYAWADA,3,CPI,M,ANDHRA PRADESH,52786,463707,454169,646465,71.73
8.28,NANDURI PRASADA RAO,VIJAYAWADA,4,CPM,M,ANDHRA PRADESH,37583,463707,454169,646465,71.73
0.75,KROVVIDY SURYAPRAKASARAO,VIJAYAWADA,5,IND,M,ANDHRA PRADESH,3394,463707,454169,646465,71.73
0.22,CHRISTU BHAGWANDAS NETELA,VIJAYAWADA,6,IND,M,ANDHRA PRADESH,977,463707,454169,646465,71.73
55.76,MEDURI NAGESWARA RAO,TENALI,1,INC,M,ANDHRA PRADESH,244928,448755,439245,659608,68.03
42.62,GUNTURU BAPANAIAH,TENALI,2,CPM,M,ANDHRA PRADESH,187191,448755,439245,659608,68.03
1.14,AVULA SAMBASIVA RAO,TENALI,3,IND,M,ANDHRA PRADESH,5005,448755,439245,659608,68.03
0.48,K. R. SARMA ALIAS KUCHIBHATALA RAMALINGESWARA,TENALI,4,IND,M,ANDHRA PRADESH,2121,448755,439245,659608,68.03
57.43,KOTHA RAGHURAMAIAH,GUNTUR,1,INC,M,ANDHRA PRADESH,290914,518885,506590,790342,65.65
40.54,KASARANEINI SADASIVA RAO,GUNTUR,2,BLD,M,ANDHRA PRADESH,205385,518885,506590,790342,65.65
0.71,BALABHADRADRAPATHRUNI SRINADHA RAO,GUNTUR,3,IND,M,ANDHRA PRADESH,3622,518885,506590,790342,65.65
0.63,DESU ANJANEYULU,GUNTUR,4,IND,M,ANDHRA PRADESH,3205,518885,506590,790342,65.65
0.41,PANDARABOINA SAMBASIVA RAO YADAV,GUNTUR,5,IND,M,ANDHRA PRADESH,2072,518885,506590,790342,65.65
0.27,BABU RAJENDRA PRASAD PULLA,GUNTUR,6,IND,M,ANDHRA PRADESH,1392,518885,506590,790342,65.65
53.84,ANKINEEDU PRASADA RAO PAMULAPATI,BAPATLA,1,INC,M,ANDHRA PRADESH,253438,481558,470721,688651,69.93
44.72,JAGARLAMUDI CHANDRAMOULI,BAPATLA,2,BLD,M,ANDHRA PRADESH,210492,481558,470721,688651,69.93
1.44,DOPPALAPUDI SUBA RAO,BAPATLA,3,IND,M,ANDHRA PRADESH,6791,481558,470721,688651,69.93
58.1,BRAHMANANDA REDDY KASU,NARASARAOPET,1,INC,M,ANDHRA PRADESH,246146,434640,423627,750248,57.93
37.31,ILLURI KOTIREDDY,NARASARAOPET,2,BLD,M,ANDHRA PRADESH,158075,434640,423627,750248,57.93
2.18,PUTHOTA SHOWRAIAH,NARASARAOPET,3,IND,M,ANDHRA PRADESH,9250,434640,423627,750248,57.93
1.51,YAKUB BAIG,NARASARAOPET,4,IND,M,ANDHRA PRADESH,6413,434640,423627,750248,57.93
0.88,SABBASANI MALLA REDDY,NARASARAOPET,5,IND,M,ANDHRA PRADESH,3743,434640,423627,750248,57.93
55.97,PULI VENKATA REDDY,ONGOLE,1,INC,M,ANDHRA PRADESH,252206,462001,450638,741462,62.31
36.14,MUPPAVARAPU VENKAIAH ALIAS VENKAIAH NAIDU,ONGOLE,2,BLD,M,ANDHRA PRADESH,162881,462001,450638,741462,62.31
7.89,GUJJALA YALLAMANDA REDDY,ONGOLE,3,CPI,M,ANDHRA PRADESH,35551,462001,450638,741462,62.31
66.14,KAMAKSHAIAH DODDAVARAPU,NELLORE (SC),1,INC,M,ANDHRA PRADESH,272184,423182,411530,752778,56.22
31.44,PRAPPANCHA BHANURAJU THUMMALAGUNTA,NELLORE (SC),2,CPM,M,ANDHRA PRADESH,129404,423182,411530,752778,56.22
2.42,INDURUPALLI RAMANAIH,NELLORE (SC),3,IND,M,ANDHRA PRADESH,9942,423182,411530,752778,56.22
54.56,BALAKRISHNAIAH TAMBURA,TIRUPATHI (SC),1,INC,M,ANDHRA PRADESH,240394,454492,440608,696337,65.27
45.44,ALLAM KRISHNAIAH,TIRUPATHI (SC),2,BLD,M,ANDHRA PRADESH,200214,454492,440608,696337,65.27
49.98,P. RAJAGOPAL NAIDU,CHITTOOR,1,INC,M,ANDHRA PRADESH,229252,472389,458705,699218,67.56
47.7,N. P. CHANGALRAYA NAIDU,CHITTOOR,2,BLD,M,ANDHRA PRADESH,218805,472389,458705,699218,67.56
1.68,YELLARUBYLU RAMI REDDY,CHITTOOR,3,IND,M,ANDHRA PRADESH,7706,472389,458705,699218,67.56
0.64,P. M. ERRAPPA NAIDU,CHITTOOR,4,IND,M,ANDHRA PRADESH,2942,472389,458705,699218,67.56
54.58,POTHURAJU PARTHASARATHI,RAJAMPET,1,INC,M,ANDHRA PRADESH,233844,442481,428443,666802,66.36
41.85,P. THIMMA REDDY,RAJAMPET,2,BLD,M,ANDHRA PRADESH,179293,442481,428443,666802,66.36
2.34,SANGARAJU SESHAGIRI RAO,RAJAMPET,3,IND,M,ANDHRA PRADESH,10034,442481,428443,666802,66.36
1.23,DEVALAPPALLI VENKATA SUBBAREDDY,RAJAMPET,4,IND,M,ANDHRA PRADESH,5272,442481,428443,666802,66.36
48.84,KANDALA OBUL REDDY,CUDDAPAH,1,INC,M,ANDHRA PRADESH,232351,487025,475761,698750,69.7
47.25,VUTUKURU RAMI REDDY,CUDDAPAH,2,BLD,M,ANDHRA PRADESH,224789,487025,475761,698750,69.7
3.32,Y. ESWARA REDDY,CUDDAPAH,3,CPI,M,ANDHRA PRADESH,15794,487025,475761,698750,69.7
0.59,POLANKI VENKATA SUBBAIAH,CUDDAPAH,4,IND,M,ANDHRA PRADESH,2827,487025,475761,698750,69.7
60.76,P. BAYAPA REDDY,HINDUPUR,1,INC,M,ANDHRA PRADESH,236797,402073,389728,650347,61.82
37.66,K. RAMACHANDRA REDDY,HINDUPUR,2,BLD,M,ANDHRA PRADESH,146764,402073,389728,650347,61.82
1.32,P. NARAYANA,HINDUPUR,3,IND,M,ANDHRA PRADESH,5153,402073,389728,650347,61.82
0.26,A. VENKATA NARAYANA REDDY,HINDUPUR,4,IND,M,ANDHRA PRADESH,1014,402073,389728,650347,61.82
55.43,DARUR PULLAIAH,ANANTAPUR,1,INC,M,ANDHRA PRADESH,215279,401269,388350,640440,62.66
44.57,D. NARAYANASWAMY,ANANTAPUR,2,BLD,M,ANDHRA PRADESH,173071,401269,388350,640440,62.66
75.69,K. VIJAYA BHASKARA REDDY,KURNOOL,1,INC,M,ANDHRA PRADESH,270741,370223,357702,722409,51.25
19.96,SOMAPPA,KURNOOL,2,BLD,M,ANDHRA PRADESH,71385,370223,357702,722409,51.25
3.7,SESHAIAH,KURNOOL,3,IND,M,ANDHRA PRADESH,13221,370223,357702,722409,51.25
0.66,N. ISSAC,KURNOOL,4,IND,M,ANDHRA PRADESH,2355,370223,357702,722409,51.25
53.19,NEELAM SANJEEVA REDDY,NANDYAL,1,BLD,M,ANDHRA PRADESH,258147,496200,485325,675340,73.47
45.83,PENDAKANTI VENKATA SUBBAIAH,NANDYAL,2,INC,M,ANDHRA PRADESH,222404,496200,485325,675340,73.47
0.98,LAKKA DEVANANDAM,NANDYAL,3,IND,M,ANDHRA PRADESH,4774,496200,485325,675340,73.47
67.34,MAILALA BHEESHMA DEV,NAGARKURNOOL (SC),1,INC,M,ANDHRA PRADESH,238388,368824,354013,643692,57.3
32.66,PUTTAPAGA PADHAKRISHNA,NAGARKURNOOL (SC),2,BLD,M,ANDHRA PRADESH,115625,368824,354013,643692,57.3
62.98,J. RAMESHWARA RAO,MAHABUBNAGAR,1,INC,M,ANDHRA PRADESH,216455,355740,343697,698700,50.91
35.49,D. K. SATYA REDDY,MAHABUBNAGAR,2,BLD,M,ANDHRA PRADESH,121966,355740,343697,698700,50.91
1.54,M. SUDARSHAN REDDY,MAHABUBNAGAR,3,IND,M,ANDHRA PRADESH,5276,355740,343697,698700,50.91
46.0,K. S. NARAYANA,HYDERABAD,1,INC,M,ANDHRA PRADESH,156295,351047,339773,586201,59.89
26.85,SULTAN SALAHUDDIN OWAISI,HYDERABAD,2,IND,M,ANDHRA PRADESH,91227,351047,339773,586201,59.89
25.51,MIR AHMED ALI KHAN,HYDERABAD,3,BLD,M,ANDHRA PRADESH,86689,351047,339773,586201,59.89
0.92,RAJA RAM SHASTRY,HYDERABAD,4,RRP,M,ANDHRA PRADESH,3138,351047,339773,586201,59.89
0.71,GUMMAKONDA SRINIVASA REDDY,HYDERABAD,5,IND,M,ANDHRA PRADESH,2424,351047,339773,586201,59.89
48.62,M. M. HASHIM,SECUNDERABAD,1,INC,M,ANDHRA PRADESH,160230,337559,329532,615045,54.88
47.46,T. LAXMI KANTAMMA,SECUNDERABAD,2,BLD,F,ANDHRA PRADESH,156383,337559,329532,615045,54.88
1.41,D. V. S. S. MURTHY,SECUNDERABAD,3,IND,M,ANDHRA PRADESH,4638,337559,329532,615045,54.88
1.0,K. JOSEPH REDDY,SECUNDERABAD,4,IND,M,ANDHRA PRADESH,3287,337559,329532,615045,54.88
0.89,Y. RAJENDRA BABU,SECUNDERABAD,5,IND,M,ANDHRA PRADESH,2917,337559,329532,615045,54.88
0.43,M. SOJEE,SECUNDERABAD,6,IND,M,ANDHRA PRADESH,1413,337559,329532,615045,54.88
0.2,B. G. KESKAR,SECUNDERABAD,7,HMS,M,ANDHRA PRADESH,664,337559,329532,615045,54.88
64.21,G.VENKATASWAMY,SIDDIPET (SC),1,INC,M,ANDHRA PRADESH,232377,377927,361884,616118,61.34
35.79,T.N. SADALAKSHMI,SIDDIPET (SC),2,BLD,F,ANDHRA PRADESH,129507,377927,361884,616118,61.34
67.0,MALLIKARJUN,MEDAK,1,INC,M,ANDHRA PRADESH,239813,371104,357921,635388,58.41
26.91,NARASIMBA REDDY,MEDAK,2,BLD,M,ANDHRA PRADESH,96303,371104,357921,635388,58.41
3.25,SHANKERAIAH,MEDAK,3,IND,M,ANDHRA PRADESH,11630,371104,357921,635388,58.41
1.55,RADHEY SHYAM,MEDAK,4,IND,M,ANDHRA PRADESH,5532,371104,357921,635388,58.41
1.12,MIRZA JAMIL AHMED BAIG,MEDAK,5,IND,M,ANDHRA PRADESH,4006,371104,357921,635388,58.41
0.18,SIRIPURAM LAKSHMIKANTHA RAO,MEDAK,6,IND,M,ANDHRA PRADESH,637,371104,357921,635388,58.41
70.66,MUDAGANTI RAM GOPAL REDDY,NIZAMABAD,1,INC,M,ANDHRA PRADESH,252291,372331,357028,568014,65.55
26.02,GANGAREDDY,NIZAMABAD,2,BLD,M,ANDHRA PRADESH,92898,372331,357028,568014,65.55
1.69,SAMALA VITHAL REDDY,NIZAMABAD,3,IND,M,ANDHRA PRADESH,6051,372331,357028,568014,65.55
1.62,B. RAMA KRISHNA RAO,NIZAMABAD,4,IND,M,ANDHRA PRADESH,5788,372331,357028,568014,65.55
57.47,G. NARSIMHA REDDY,ADILABAD,1,INC,M,ANDHRA PRADESH,167410,310466,291306,548091,56.64
33.04,GOPIDI GANGA REDDY,ADILABAD,2,BLD,M,ANDHRA PRADESH,96244,310466,291306,548091,56.64
9.49,THAKUR MUKTESHWAR SINGH,ADILABAD,3,IND,M,ANDHRA PRADESH,27652,310466,291306,548091,56.64
65.4,V. TULSIRAM,PEDDAPALLI (SC),1,INC,M,ANDHRA PRADESH,209187,332640,319868,638114,52.13
32.55,BANGARU LAKSHMAN,PEDDAPALLI (SC),2,BLD,M,ANDHRA PRADESH,104110,332640,319868,638114,52.13
1.12,ANDE BHANUMURTHY,PEDDAPALLI (SC),3,IND,M,ANDHRA PRADESH,3581,332640,319868,638114,52.13
0.93,G. VENKATAIAH,PEDDAPALLI (SC),4,IND,M,ANDHRA PRADESH,2990,332640,319868,638114,52.13
58.83,M. SATYANARAYAN RAO,KARIMNAGAR,1,INC,M,ANDHRA PRADESH,210349,370915,357532,650519,57.02
26.93,JUVVADI GAUTMA RAO,KARIMNAGAR,2,BLD,M,ANDHRA PRADESH,96301,370915,357532,650519,57.02
12.32,CHENNAMANENI RAJESWARA RAO,KARIMNAGAR,3,CPI,M,ANDHRA PRADESH,44055,370915,357532,650519,57.02
1.91,ALETI RAJA PRABHAKAR REDDY,KARIMNAGAR,4,IND,M,ANDHRA PRADESH,6827,370915,357532,650519,57.02
59.32,P. V. NARSIMHA RAO,HANAMKONDA,1,INC,M,ANDHRA PRADESH,231593,403940,390384,615143,65.67
39.43,P. JANARDHAN REDDY,HANAMKONDA,2,BLD,M,ANDHRA PRADESH,153910,403940,390384,615143,65.67
1.25,CHAKKILLA SATYANARAYANA,HANAMKONDA,3,IND,M,ANDHRA PRADESH,4881,403940,390384,615143,65.67
65.49,S. B. GIRI,WARANGAL,1,INC,M,ANDHRA PRADESH,251211,396277,383587,581239,68.18
33.52,JANGAREDDY CHANDABATLA,WARANGAL,2,BLD,M,ANDHRA PRADESH,128589,396277,383587,581239,68.18
0.99,PRABHAKAR RAO,WARANGAL,3,IND,M,ANDHRA PRADESH,3787,396277,383587,581239,68.18
51.3,JALAGAM KONDALA RAO,KHAMMAM,1,INC,M,ANDHRA PRADESH,208617,419829,406643,596499,70.38
30.16,YALAMANCHILI RADHA KRUSHNA MURTHY,KHAMMAM,2,CPM,M,ANDHRA PRADESH,122628,419829,406643,596499,70.38
17.84,NALLAMALA PRASADA RAO,KHAMMAM,3,CPI,M,ANDHRA PRADESH,72530,419829,406643,596499,70.38
0.71,K. I. VIDYA SAGAR,KHAMMAM,4,IND,M,ANDHRA PRADESH,2868,419829,406643,596499,70.38
53.37,MOHD. ABDUL LATEEF,NALGONDA,1,INC,M,ANDHRA PRADESH,208892,403761,391382,631059,63.98
26.03,MAREPALLI JAGAN MOHAN REDDY,NALGONDA,2,BLD,M,ANDHRA PRADESH,101858,403761,391382,631059,63.98
20.6,DHARMA BHIKSHAM BOMMAGANI,NALGONDA,3,CPI,M,ANDHRA PRADESH,80632,403761,391382,631059,63.98
49.4,G. S. REDDY,MIRYALGUDA,1,INC,M,ANDHRA PRADESH,217430,451295,440145,667777,67.58
38.11,BHIMIREDDI NARASIMHA REDDY,MIRYALGUDA,2,CPM,M,ANDHRA PRADESH,167751,451295,440145,667777,67.58
9.27,KATKURI RAMACHANDRA REDDY,MIRYALGUDA,3,CPI,M,ANDHRA PRADESH,40808,451295,440145,667777,67.58
3.22,MOGILI PULLAIAH,MIRYALGUDA,4,IND,M,ANDHRA PRADESH,14156,451295,440145,667777,67.58
0.0,RINCHIN KHANDU KHIMRE,ARUNACHAL WEST,1,INC,M,ARUNACHAL PRADESH,0,0,0,121887,0.0
56.34,BAKIN PERTIN,ARUNACHAL EAST,1,IND,M,ARUNACHAL PRADESH,28557,52764,50690,93770,56.27
41.25,NYEODEK YONGGAM,ARUNACHAL EAST,2,INC,M,ARUNACHAL PRADESH,20909,52764,50690,93770,56.27
2.41,AKEN LEGO,ARUNACHAL EAST,3,IND,M,ARUNACHAL PRADESH,1224,52764,50690,93770,56.27
54.61,NIHAR RANJAN LASKAR,KARIMGANJ (SC),1,INC,M,ASSAM,127454,239772,233396,535378,44.79
41.63,LILAMOY DAS,KARIMGANJ (SC),2,BLD,M,ASSAM,97154,239772,233396,535378,44.79
2.5,RADHAKANTA TANTY,KARIMGANJ (SC),3,SUC,M,ASSAM,5835,239772,233396,535378,44.79
1.27,ANANTA KUMAR BARDHAN,KARIMGANJ (SC),4,IND,M,ASSAM,2953,239772,233396,535378,44.79
55.74,RASHIDA HAQUE CHOUDHURY,SILCHAR,1,INC,F,ASSAM,138638,255921,248723,471251,54.31
44.26,NOORUL HUDA,SILCHAR,2,CPM,M,ASSAM,110085,255921,248723,471251,54.31
66.31,BIREN SINGH ENGTI,AUTONOMOUS DISTRICT (ST),1,INC,M,ASSAM,62475,100430,94222,227812,44.08
33.69,SONARAM THAOSEN,AUTONOMOUS DISTRICT (ST),2,IND,M,ASSAM,31747,100430,94222,227812,44.08
45.68,AHMMAD HOSSEN,DHUBRI,1,INC,M,ASSAM,151328,340929,331267,503545,67.71
45.5,ZAHIRUL ISLAM,DHUBRI,2,BLD,M,ASSAM,150738,340929,331267,503545,67.71
8.81,GIASUDDIN AHMED,DHUBRI,3,IND,M,ASSAM,29201,340929,331267,503545,67.71
56.49,CHARAN NARZARY,KOKRAJHAR (ST),1,IND,M,ASSAM,186808,344818,330713,550061,62.69
43.51,DHARANIDHAR BASUMATARI,KOKRAJHAR (ST),2,INC,M,ASSAM,143905,344818,330713,550061,62.69
56.96,ISMAIL HOSSAIN KHAN,BARPETA,1,INC,M,ASSAM,196832,355264,345550,558853,63.57
43.04,BISWA GOSWAMI,BARPETA,2,BLD,M,ASSAM,148718,355264,345550,558853,63.57
52.52,RENUKA DEVI BARKTAKI,GAUHATI,1,BLD,F,ASSAM,149255,291598,284205,553272,52.7
39.69,DINESH CHANDRA GOSWAMI,GAUHATI,2,INC,M,ASSAM,112815,291598,284205,553272,52.7
7.79,DHIRESWAR KALITA,GAUHATI,3,CPI,M,ASSAM,22135,291598,284205,553272,52.7
56.05,HIRALAL PATOWARY,MANGALDOI,1,BLD,M,ASSAM,162603,303095,290113,560297,54.1
38.81,DHARANIDHAR DAS,MANGALDOI,2,INC,M,ASSAM,112601,303095,290113,560297,54.1
5.14,PRABHAT KHATANIAR,MANGALDOI,3,SUC,M,ASSAM,14909,303095,290113,560297,54.1
51.22,PURNANARAYAN SINHA,TEZPUR,1,BLD,M,ASSAM,129527,267332,252906,457513,58.43
48.78,BIJOY CHANDRA BHAGAVATI,TEZPUR,2,INC,M,ASSAM,123379,267332,252906,457513,58.43
57.2,DEV KANTA BOROOAH,NOWGONG,1,INC,M,ASSAM,176605,319288,308769,577927,55.25
39.64,INDRESWAR GOSWAMI,NOWGONG,2,BLD,M,ASSAM,122386,319288,308769,577927,55.25
3.17,IFTIKHAR IBNE MANSUR,NOWGONG,3,IND,M,ASSAM,9778,319288,308769,577927,55.25
53.93,BEDABRATA BARUA,KALIABOR,1,INC,M,ASSAM,155428,299220,288179,585312,51.12
29.24,AJIT KUMAR SARMAH,KALIABOR,2,BLD,M,ASSAM,84271,299220,288179,585312,51.12
15.63,SHAMSUL HUDA,KALIABOR,3,RCI,M,ASSAM,45047,299220,288179,585312,51.12
1.19,SARBESWAR PATHAK,KALIABOR,4,IND,M,ASSAM,3433,299220,288179,585312,51.12
49.44,TARUN GOGOI,JORHAT,1,INC,M,ASSAM,148902,311008,301198,585721,53.1
39.91,DULAL CHANDRA BARUA,JORHAT,2,BLD,M,ASSAM,120215,311008,301198,585721,53.1
10.65,JOGEN GOGOI,JORHAT,3,CPI,M,ASSAM,32081,311008,301198,585721,53.1
50.27,HAREN BHUMJI,DIBRUGARH,1,INC,M,ASSAM,119882,248898,238494,502862,49.5
44.31,GOLAP BORBORA,DIBRUGARH,2,BLD,M,ASSAM,105673,248898,238494,502862,49.5
5.43,NAGENDRA NATH DAS,DIBRUGARH,3,IND,M,ASSAM,12939,248898,238494,502862,49.5
59.06,LALIT KUMAR DOLEY,LAKHIMPUR,1,INC,M,ASSAM,162750,287875,275575,555812,51.79
35.39,MOHANANDA BORA,LAKHIMPUR,2,BLD,M,ASSAM,97518,287875,275575,555812,51.79
4.58,ABHIRAM SANGA,LAKHIMPUR,3,IND,M,ASSAM,12627,287875,275575,555812,51.79
0.97,LUCY GOGOI,LAKHIMPUR,4,IND,F,ASSAM,2680,287875,275575,555812,51.79
50.43,JAGANNATH PRASAD,BAGAHA (SC),1,BLD,M,BIHAR,138443,280285,274525,602588,46.51
35.61,BHOLA RAUT,BAGAHA (SC),2,INC,M,BIHAR,97755,280285,274525,602588,46.51
13.96,KAILAS BAITHA,BAGAHA (SC),3,CPI,M,BIHAR,38327,280285,274525,602588,46.51
58.74,FAZLUR RAHMAN,BETTIAH,1,BLD,M,BIHAR,186486,323082,317498,641326,50.38
28.4,KEDAR PANDEY,BETTIAH,2,INC,M,BIHAR,90158,323082,317498,641326,50.38
8.95,RAMASHRAY SINGH,BETTIAH,3,CPM,M,BIHAR,28416,323082,317498,641326,50.38
2.6,MAYA DEVI,BETTIAH,4,IND,F,BIHAR,8263,323082,317498,641326,50.38
0.85,LAXMI KANT TIWARY,BETTIAH,5,IND,M,BIHAR,2697,323082,317498,641326,50.38
0.47,CHHEDI KHAN,BETTIAH,6,IND,M,BIHAR,1478,323082,317498,641326,50.38
46.71,THAKUR RAMPATI SINGH,MOTIHARI,1,BLD,M,BIHAR,167732,366506,359129,658880,55.63
26.11,BIBHUTI MISHRA,MOTIHARI,2,INC,M,BIHAR,93779,366506,359129,658880,55.63
25.1,KAMLA MISHRA MADHUKAR,MOTIHARI,3,CPI,M,BIHAR,90151,366506,359129,658880,55.63
1.18,JAGDISH PURBEY,MOTIHARI,4,IND,M,BIHAR,4222,366506,359129,658880,55.63
