%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
38.32,SHYAM SUNDAR MAHAPATRA,BALASORE,2,INC,M,ORISSA,130758,350771,341260,615737,56.97
5.94,PITAMBAR PANDA,BALASORE,3,CPI,M,ORISSA,20283,350771,341260,615737,56.97
60.97,BAIRAGI JENA,BHADRAK (SC),1,BLD,M,ORISSA,198977,336054,326377,614684,54.67
39.03,ARJUN CHARAN SETHI,BHADRAK (SC),2,INC,M,ORISSA,127400,336054,326377,614684,54.67
55.56,RAMA CHANDRA MALLICK,JAJPUR (SC),1,BLD,M,ORISSA,171191,316767,308095,611181,51.83
39.45,BAISHNAB CHARAN MALLICK,JAJPUR (SC),2,INC,M,ORISSA,121531,316767,308095,611181,51.83
4.99,BAISHNAB JENA,JAJPUR (SC),3,SUC,M,ORISSA,15373,316767,308095,611181,51.83
68.64,BIJAYANANDA PATTANAYAK,KENDRAPARA,1,BLD,M,ORISSA,265868,396224,387360,629067,62.99
31.36,BHAGABATA PRASAD MOHANTY,KENDRAPARA,2,INC,M,ORISSA,121492,396224,387360,629067,62.99
55.03,SARAT KUMAR KAR,CUTTACK,1,BLD,M,ORISSA,176445,330152,320631,623921,52.92
36.19,JANAKI BALAV PATNAIK,CUTTACK,2,INC,M,ORISSA,116043,330152,320631,623921,52.92
4.32,NARASINGH MISRA,CUTTACK,3,IND,M,ORISSA,13864,330152,320631,623921,52.92
3.31,NARAYAN DAS,CUTTACK,4,IND,M,ORISSA,10605,330152,320631,623921,52.92
1.15,SARANGDHAR MUDULI,CUTTACK,5,IND,M,ORISSA,3674,330152,320631,623921,52.92
57.3,PRADYUMNA KISHORE BAL,JAGATSINGHPUR,1,BLD,M,ORISSA,228620,410182,399021,654214,62.7
29.74,BASUDEV MOHAPATRA,JAGATSINGHPUR,2,INC,M,ORISSA,118669,410182,399021,654214,62.7
12.96,LOKANATH CHOUDHURY,JAGATSINGHPUR,3,CPI,M,ORISSA,51732,410182,399021,654214,62.7
62.2,PADMACHARAN SAMANTASINHAR,PURI,1,BLD,M,ORISSA,179802,300554,289063,624267,48.15
37.8,BANAMALI PATNAIK,PURI,2,INC,M,ORISSA,109261,300554,289063,624267,48.15
44.9,SIVAJI PATNAIK,BHUBANESWAR,1,CPM,M,ORISSA,106960,246013,238229,609164,40.39
42.6,CHINTAMANI PANIGRAHI,BHUBANESWAR,2,INC,M,ORISSA,101491,246013,238229,609164,40.39
12.5,GANGADHAR PAIKARAY,BHUBANESWAR,3,CPI,M,ORISSA,29778,246013,238229,609164,40.39
41.79,RAMA CHANDRA RATH,ASKA,1,INC,M,ORISSA,121721,301729,291261,658693,45.81
40.49,ANANTA NARAYAN SINGHDEO,ASKA,2,BLD,M,ORISSA,117944,301729,291261,658693,45.81
15.3,DUTI KRUSHNA PANDA,ASKA,3,CPI,M,ORISSA,44554,301729,291261,658693,45.81
2.42,K. SHYAMBABU SUBUDHI,ASKA,4,IND,M,ORISSA,7042,301729,291261,658693,45.81
57.82,JAGANNATH RAO R.,BERHAMPUR,1,INC,M,ORISSA,119132,214711,206039,607072,35.37
33.51,VARAHAGIRI SHANKER GIRI,BERHAMPUR,2,BLD,M,ORISSA,69043,214711,206039,607072,35.37
5.09,VENKATA RAMANA TATA,BERHAMPUR,3,IND,M,ORISSA,10483,214711,206039,607072,35.37
3.58,AMARESH PRASAD MISRA,BERHAMPUR,4,IND,M,ORISSA,7381,214711,206039,607072,35.37
55.06,GIRIDHAR GOMANGO,KORAPUT (ST),1,INC,M,ORISSA,78494,151124,142559,581428,25.99
44.94,MUTIKA PAPANNA,KORAPUT (ST),2,BLD,M,ORISSA,64065,151124,142559,581428,25.99
51.14,KHAGAPATI PRADHANI,NOWRANGPUR (ST),1,INC,M,ORISSA,68196,144408,133361,522394,27.64
48.86,RABISINGH MAJHI,NOWRANGPUR (ST),2,BLD,M,ORISSA,65165,144408,133361,522394,27.64
64.6,PRATAP KESHARI DEO,KALAHANDI,1,IND,M,ORISSA,117816,193140,182371,542033,35.63
35.4,GANGADHAR HOTA,KALAHANDI,2,BLD,M,ORISSA,64555,193140,182371,542033,35.63
48.41,SRIBATCHA DIGAL,PHULBANI (SC),1,BLD,M,ORISSA,97359,209232,201099,633850,33.01
47.1,BAKSHI NAYAK,PHULBANI (SC),2,INC,M,ORISSA,94716,209232,201099,633850,33.01
4.49,ANIRUDHA DIPA,PHULBANI (SC),3,IND,M,ORISSA,9024,209232,201099,633850,33.01
63.09,AINTHU SAHOO,BOLANGIR,1,BLD,M,ORISSA,139103,232260,220482,572122,40.6
36.91,ANANGA UDAYA SINGH DEO,BOLANGIR,2,INC,M,ORISSA,81379,232260,220482,572122,40.6
59.49,GANANATH PRADHAN,SAMBALPUR,1,BLD,M,ORISSA,176221,314774,296208,660200,47.68
40.51,BANAMALI BABU,SAMBALPUR,2,INC,M,ORISSA,119987,314774,296208,660200,47.68
47.27,PABITRA MOHAN PRADHAN,DEOGARH,1,BLD,M,ORISSA,117057,258428,247615,611756,42.24
43.22,BADKUMAR PRATAP GANGADEB,DEOGARH,2,INC,M,ORISSA,107015,258428,247615,611756,42.24
9.51,PRASANNA KUMAR PANDA,DEOGARH,3,CPI,M,ORISSA,23543,258428,247615,611756,42.24
56.69,DEBENDRA SATPATHY,DHENKANAL,1,BLD,M,ORISSA,143008,261634,252278,590280,44.32
38.98,RAJA KAMAKHYA PRASAD SINGH DEO MAHINDRA,DHENKANAL,2,INC,M,ORISSA,98348,261634,252278,590280,44.32
4.33,KASHINATH NANDA,DHENKANAL,3,IND,M,ORISSA,10922,261634,252278,590280,44.32
53.24,DEBANANDA AMAT,SUNDARGARH (ST),1,BLD,M,ORISSA,114640,225858,215326,564294,40.02
32.55,GAJADHAR MAJHI,SUNDARGARH (ST),2,INC,M,ORISSA,70087,225858,215326,564294,40.02
10.81,PAULUS TOPNO,SUNDARGARH (ST),3,JKD,M,ORISSA,23269,225858,215326,564294,40.02
3.4,SIWANTI KERKETTA,SUNDARGARH (ST),4,SUC,F,ORISSA,7330,225858,215326,564294,40.02
60.42,GOVINDA MUNDA,KEONJHAR (ST),1,BLD,M,ORISSA,113790,194821,188346,561230,34.71
35.07,RAHAS BIHARI MOHAPAPATRA,KEONJHAR (ST),2,INC,M,ORISSA,66045,194821,188346,561230,34.71
4.52,KUMAR MAJHI,KEONJHAR (ST),3,IND,M,ORISSA,8511,194821,188346,561230,34.71
50.89,YAGYA DATT,GURDASPUR,1,BLD,M,PUNJAB,204802,412085,402451,563497,73.13
43.9,PRABODH CHANDER,GURDASPUR,2,INC,M,PUNJAB,176680,412085,402451,563497,73.13
2.22,PIARA LAL,GURDASPUR,3,IND,M,PUNJAB,8946,412085,402451,563497,73.13
1.11,SURJIT SINGH,GURDASPUR,4,IND,M,PUNJAB,4486,412085,402451,563497,73.13
1.01,SANADATTA ALIAS SANAULLAH,GURDASPUR,5,IND,M,PUNJAB,4054,412085,402451,563497,73.13
