%,CANDIDATE,CONSTITUENCY,No.,PARTY,SEX,TERRITORY,VOTES,TOTAL VOTES POLLED,TOTAL VALID VOTES,TOTAL ELECTORS,TOTAL POLL PERCENTAGE
42.6,BODDIPALLI RAJAGOPALA ROW,SRIKAKULAM,1,INC,M,Andhra Pradesh,112172,273876,263343,443080,61.81
30.51,SUGGU SRINIVASA REDDY,SRIKAKULAM,2,SWA,M,Andhra Pradesh,80357,273876,263343,443080,61.81
14.22,KAPPAGANTULA SUBHA RAO,SRIKAKULAM,3,IND,M,Andhra Pradesh,37439,273876,263343,443080,61.81
6.7,GUNDA APPANANMMA,SRIKAKULAM,4,IND,F,Andhra Pradesh,17640,273876,263343,443080,61.81
5.98,SARDAR SREEPADA,SRIKAKULAM,5,IND,M,Andhra Pradesh,15735,273876,263343,443080,61.81
58.79,BIDDIKA SATYANARAYANA,PARVATHIPURAM (ST),1,INC,M,Andhra Pradesh,131625,236178,223878,420816,56.12
41.21,VISWASARAYAI NARSIMHA RAO,PARVATHIPURAM (ST),2,SWA,M,Andhra Pradesh,92253,236178,223878,420816,56.12
52.02,RAVU VENKATA GOPALAKRISHNA RANGA RAO,CHEEPURUPALLI,1,INC,M,Andhra Pradesh,135315,270080,260106,410167,65.85
42.43,KERRI NARAYANARAO,CHEEPURUPALLI,2,SWA,M,Andhra Pradesh,110351,270080,260106,410167,65.85
5.55,SETTY SUBBINAIDU,CHEEPURUPALLI,3,IND,M,Andhra Pradesh,14440,270080,260106,410167,65.85
70.01,VIJAYA ANANADA,VISAKHAPATNAM,1,INC,M,Andhra Pradesh,159423,235021,227704,397925,59.06
29.99,MADDI PATTABHIRAMA REDDY,VISAKHAPATNAM,2,SWA,M,Andhra Pradesh,68281,235021,227704,397925,59.06
37.95,MISSULA SURYANARAYANAMURTHY,ANAKAPALLI,1,INC,M,Andhra Pradesh,96895,265407,255307,427862,62.03
31.68,VILLURI VENKATARAMANA,ANAKAPALLI,2,SWA,M,Andhra Pradesh,80885,265407,255307,427862,62.03
30.37,JAYANTHY VENKATACHALA KAMESWARA VALLABHARAO,ANAKAPALLI,3,CPI,M,Andhra Pradesh,77527,265407,255307,427862,62.03
38.09,MATCHARASA MATCHARAJU,NARSIPATNAM (ST),1,INC,M,Andhra Pradesh,73518,201536,192986,407319,49.48
37.4,KARAM BAPANNA DORA,NARSIPATNAM (ST),2,SWA,M,Andhra Pradesh,72171,201536,192986,407319,49.48
24.51,PUJARI BALARAJU,NARSIPATNAM (ST),3,CPI,M,Andhra Pradesh,47297,201536,192986,407319,49.48
55.14,DATLA SATYANARAYANA RAJU,RAJAHMUNDRY (ST),1,INC,M,Andhra Pradesh,175602,328655,318487,450040,73.03
16.4,NALLA REDDI NAIDU,RAJAHMUNDRY (ST),2,IND,M,Andhra Pradesh,52228,328655,318487,450040,73.03
15.66,ALLAKA CHINA VEERABHADRAM,RAJAHMUNDRY (ST),3,IND,M,Andhra Pradesh,49868,328655,318487,450040,73.03
12.81,AVASARALA RAMA RAO,RAJAHMUNDRY (ST),4,JS,M,Andhra Pradesh,40789,328655,318487,450040,73.03
45.39,MOSALIKANTI THIRUMALA RAO,KAKINADA,1,INC,M,Andhra Pradesh,143575,324570,316290,454089,71.48
39.49,CHELIKANI VENKATA RAMA RAO,KAKINADA,2,CPI,M,Andhra Pradesh,124891,324570,316290,454089,71.48
15.12,YELETI SESHAGIRI RAO,KAKINADA,3,SWA,M,Andhra Pradesh,47824,324570,316290,454089,71.48
46.49,BAYYA SURYANARAYANA MURTHY,AMALAPRUAM (SC),1,INC,M,Andhra Pradesh,151439,336739,325773,478247,70.41
42.63,KENETI MOHANA RAO,AMALAPRUAM (SC),2,CPI,M,Andhra Pradesh,138869,336739,325773,478247,70.41
10.89,GANTA ARUNAKUMAR,AMALAPRUAM (SC),3,REP,M,Andhra Pradesh,35465,336739,325773,478247,70.41
50.04,DATLA BALARAMARAJU,NARASAPUR,1,INC,M,Andhra Pradesh,181878,369317,363473,478392,77.2
46.0,UDDARAJU RAMAM,NARASAPUR,2,CPI,M,Andhra Pradesh,167209,369317,363473,478392,77.2
3.96,MEKALA RANGAYYA,NARASAPUR,3,SWA,M,Andhra Pradesh,14386,369317,363473,478392,77.2
47.44,VIRAMACHANENI VIMALADEVI,ELURU,1,CPI,F,Andhra Pradesh,159379,343907,335961,470098,73.16
47.0,KUMARI MOTHEY VEDAKUMARI,ELURU,2,INC,F,Andhra Pradesh,157910,343907,335961,470098,73.16
5.56,KOMMAREDDI BAPAYYA,ELURU,3,SWA,M,Andhra Pradesh,18672,343907,335961,470098,73.16
48.96,MANGANTI ANKINEEDU,GUDIVADA,1,INC,M,Andhra Pradesh,186452,388490,380787,493266,78.76
44.57,YARLAGADDA VENKATAKRISHNARAO,GUDIVADA,2,CPI,M,Andhra Pradesh,169718,388490,380787,493266,78.76
4.39,KOGANTI DURGA PRASADARAO,GUDIVADA,3,SWA,M,Andhra Pradesh,16718,388490,380787,493266,78.76
2.07,PAYYETI VENKATA RAO,GUDIVADA,4,JS,M,Andhra Pradesh,7899,388490,380787,493266,78.76
50.97,K.L.RAO,VIJAYWADA,1,INC,M,Andhra Pradesh,177794,354882,348802,449300,78.99
44.38,NANDURI DURGA MALLIKHARJUNA PRASADA RAO,VIJAYWADA,2,CPI,M,Andhra Pradesh,154811,354882,348802,449300,78.99
4.64,BONU VENKATESWARA RAO,VIJAYWADA,3,JS,M,Andhra Pradesh,16197,354882,348802,449300,78.99
44.13,MANDALI VENKATASWAMY,MASULIPATNAM,1,IND,M,Andhra Pradesh,153720,356309,348302,475481,74.94
42.92,MANDALI VENKATA KRISHNARAO,MASULIPATNAM,2,INC,M,Andhra Pradesh,149508,356309,348302,475481,74.94
11.48,GADIREDDI HANUMANTHA RAO,MASULIPATNAM,3,SWA,M,Andhra Pradesh,39989,356309,348302,475481,74.94
1.46,LANKA SATYAM,MASULIPATNAM,4,IND,M,Andhra Pradesh,5085,356309,348302,475481,74.94
40.33,KOLLA VENKAIAH,TENALI,1,CPI,M,Andhra Pradesh,143396,364145,355537,479831,75.89
33.6,NADIMPALLI VENKATALAKSHMI NARASIMHA RAO,TENALI,2,INC,M,Andhra Pradesh,119469,364145,355537,479831,75.89
26.07,GOGINENI RANGANAYAKULU,TENALI,3,SWA,M,Andhra Pradesh,92672,364145,355537,479831,75.89
57.52,KOTHA RAGHU RAMAIAH,GUNTUR,1,INC,M,Andhra Pradesh,204533,368813,355564,516008,71.47
29.42,SASTLA VENKATA LAKSHMINARASIMHAM,GUNTUR,2,IND,M,Andhra Pradesh,104591,368813,355564,516008,71.47
6.97,KOLLI BASIVEREDDI,GUNTUR,3,JS,M,Andhra Pradesh,24782,368813,355564,516008,71.47
6.09,KARUMANCHI VENKATESWARARAO,GUNTUR,4,IND,M,Andhra Pradesh,21658,368813,355564,516008,71.47
39.69,MADALA NARAYANASWAMY,ONGOLE,1,CPI,M,Andhra Pradesh,127120,331215,320319,513758,64.47
38.95,T.S. PAULUS,ONGOLE,2,INC,M,Andhra Pradesh,124777,331215,320319,513758,64.47
21.36,NANDIPATI VEERACHARI,ONGOLE,3,SWA,M,Andhra Pradesh,68422,331215,320319,513758,64.47
49.03,GUJJULA YELLAMANDA REDDY,MARKAPUR,1,CPI,M,Andhra Pradesh,146909,310167,299620,474652,65.35
40.08,CHEGIREDDY BALIREDDY,MARKAPUR,2,INC,M,Andhra Pradesh,120082,310167,299620,474652,65.35
10.89,M. EDWARD,MARKAPUR,3,IND,M,Andhra Pradesh,32629,310167,299620,474652,65.35
51.95,BEZWADA GOPALA REDDY,KAVALI,1,INC,M,Andhra Pradesh,167031,330499,321496,478746,69.03
43.26,BEZWADA RAMACHANDRA REDDY,KAVALI,2,SWA,M,Andhra Pradesh,139068,330499,321496,478746,69.03
4.79,POCHIRAJU NAGABHUSHANA RAO,KAVALI,3,JS,M,Andhra Pradesh,15397,330499,321496,478746,69.03
